"","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"154",1,0,0.153846153846154,0.0769230769230769,0.230769230769231,0.0769230769230769,0,0.230769230769231,0.153846153846154,0.0769230769230769,0
"155",0,1,0,0,0,0,0,0,0,0,0
"156",0,1,0,0,0,0,0,0,0,0,0
"157",0,1,0,0,0,0,0,0,0,0,0
"158",1,0,0,0.666666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0
"159",0,1,0,0,0,0,0,0,0,0,0
"160",0,1,0,0,0,0,0,0,0,0,0
"161",0,1,0,0,0,0,0,0,0,0,0
"162",1,0,0,0.111111111111111,0.111111111111111,0,0.222222222222222,0,0.333333333333333,0.222222222222222,0
"163",1,0,0,0.25,0.25,0.25,0,0,0.25,0,0
"164",0,1,0,0,0,0,0,0,0,0,0
"165",1,0,0,0,0,0.5,0,0,0,0.5,0
"166",0,1,0,0,0,0,0,0,0,0,0
"167",1,0,0,0.181818181818182,0.272727272727273,0.0909090909090909,0,0.454545454545455,0,0,0
"168",1,0,0,0.5,0.5,0,0,0,0,0,0
"169",1,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0
"170",0,1,0,0,0,0,0,0,0,0,0
"171",1,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0
"172",1,0,0,0,0,0,0,0.5,0.5,0,0
"173",1,0,0,0.5,0,0,0,0,0.5,0,0
"174",0,1,0,0,0,0,0,0,0,0,0
"175",0,1,0,0,0,0,0,0,0,0,0
"176",0,1,0,0,0,0,0,0,0,0,0
"177",1,0,1,0,0,0,0,0,0,0,0
"178",0,1,0,0,0,0,0,0,0,0,0
"179",1,0,0.125,0.375,0.25,0.0833333333333333,0,0.125,0.0416666666666667,0,0
"180",1,0,0,0,1,0,0,0,0,0,0
"181",0,1,0,0,0,0,0,0,0,0,0
"182",1,0,0,1,0,0,0,0,0,0,0
"183",1,0,0,0,1,0,0,0,0,0,0
"184",1,0,0,1,0,0,0,0,0,0,0
"185",0,1,0,0,0,0,0,0,0,0,0
"186",0,1,0,0,0,0,0,0,0,0,0
"187",1,0,0.5,0,0,0,0,0.333333333333333,0,0.166666666666667,0
"188",1,0,0,0,1,0,0,0,0,0,0
"189",0,1,0,0,0,0,0,0,0,0,0
"190",0,1,0,0,0,0,0,0,0,0,0
"191",1,0,0.15625,0.09375,0.15625,0.125,0,0.1875,0.125,0.15625,0
"192",1,0,0,0.25,0,0.25,0,0,0.5,0,0
"193",1,0,0.0526315789473684,0.157894736842105,0.157894736842105,0.157894736842105,0.105263157894737,0.0526315789473684,0.157894736842105,0.157894736842105,0
"194",1,0,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.416666666666667,0.0833333333333333,0
"195",0,1,0,0,0,0,0,0,0,0,0
"196",1,0,0.181818181818182,0.113636363636364,0.0681818181818182,0.136363636363636,0.0681818181818182,0.0454545454545455,0.159090909090909,0.227272727272727,0
"197",1,0,0.2,0.1,0,0.2,0.1,0.1,0.1,0.2,0
"198",0,1,0,0,0,0,0,0,0,0,0
"199",1,0,0,0,0,0,0,0,1,0,0
"200",0,1,0,0,0,0,0,0,0,0,0
"201",1,0,0.0487804878048781,0.146341463414634,0.121951219512195,0.146341463414634,0.146341463414634,0.121951219512195,0.219512195121951,0.0487804878048781,0
"202",1,0,0.153846153846154,0.230769230769231,0,0.230769230769231,0,0,0.0769230769230769,0.307692307692308,0
"203",1,0,0.133333333333333,0.2,0,0.0666666666666667,0.133333333333333,0.0666666666666667,0.133333333333333,0.266666666666667,0
"204",1,0,0,0.2,0.133333333333333,0,0.0666666666666667,0.266666666666667,0.133333333333333,0.2,0
"205",1,0,0.0434782608695652,0.173913043478261,0.0434782608695652,0.217391304347826,0.0434782608695652,0.130434782608696,0.173913043478261,0.173913043478261,0
"206",0,1,0,0,0,0,0,0,0,0,0
"207",0,1,0,0,0,0,0,0,0,0,0
"208",1,0,0.1875,0.3125,0.125,0,0.0625,0,0.1875,0.125,0
"209",1,0,0,0.4,0.2,0.2,0,0,0.2,0,0
"210",1,0,0,0,0,0.5,0,0.5,0,0,0
"211",1,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"212",0,1,0,0,0,0,0,0,0,0,0
"213",1,0,0,1,0,0,0,0,0,0,0
"214",1,0,0.1,0.1,0.2,0.1,0,0.2,0,0.3,0
"215",0,1,0,0,0,0,0,0,0,0,0
"216",0,1,0,0,0,0,0,0,0,0,0
"217",0,1,0,0,0,0,0,0,0,0,0
"218",1,0,0,0.2,0.4,0.2,0,0.2,0,0,0
"219",1,0,0,0,0,0,0,0,1,0,0
"220",0,1,0,0,0,0,0,0,0,0,0
"221",1,0,0,0,0,0.5,0,0.5,0,0,0
"222",1,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0
"223",0,1,0,0,0,0,0,0,0,0,0
"224",0,1,0,0,0,0,0,0,0,0,0
"225",1,0,0.153846153846154,0.0769230769230769,0.0769230769230769,0.0769230769230769,0,0.230769230769231,0.153846153846154,0.230769230769231,0
"226",1,0,0.3125,0,0.1875,0.1875,0.125,0,0.0625,0.125,0
"227",0,1,0,0,0,0,0,0,0,0,0
"228",1,0,0,0.25,0,0,0,0,0.25,0.5,0
"229",0,1,0,0,0,0,0,0,0,0,0
"230",0,1,0,0,0,0,0,0,0,0,0
"231",1,0,0,0,0,0,0,1,0,0,0
"232",1,0,0,0,0,0,0,1,0,0,0
"233",0,1,0,0,0,0,0,0,0,0,0
