"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"129","sdsN",0,1,0,0,0,0,0,0,0,0,0
"130","sdsR",1,0,0,1,0,0,0,0,0,0,0
"131","selB",0,1,0,0,0,0,0,0,0,0,0
"132","sgrR",1,0,0,0.5,0,0,0,0.5,0,0,0
"133","sgrS",1,0,0,0.833333333333333,0,0,0,0.166666666666667,0,0,0
"134","sibC",0,1,0,0,0,0,0,0,0,0,0
"135","spf",1,0,0,0,0,0,0,0,1,0,0
"136","sraG",0,1,0,0,0,0,0,0,0,0,0
"137","srsR",0,1,0,0,0,0,0,0,0,0,0
"138","stfZ",1,0,0,1,0,0,0,0,0,0,0
"139","sutR",0,1,0,0,0,0,0,0,0,0,0
"140","sxy",1,0,0,1,0,0,0,0,0,0,0
"141","symR",0,1,0,0,0,0,0,0,0,0,0
"142","tdcR",0,1,0,0,0,0,0,0,0,0,0
"143","thrS",0,1,0,0,0,0,0,0,0,0,0
"144","torR",0,1,0,0,0,0,0,0,0,0,0
"145","treR",0,1,0,0,0,0,0,0,0,0,0
"146","trpR",0,1,0,0,0,0,0,0,0,0,0
"147","tyrR",1,0,0,1,0,0,0,0,0,0,0
"148","uhpA",0,1,0,0,0,0,0,0,0,0,0
"149","uidR",0,1,0,0,0,0,0,0,0,0,0
"150","uxuR",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0
"151","xapR",0,1,0,0,0,0,0,0,0,0,0
"152","xylR",1,0,0,0,0,1,0,0,0,0,0
"153","xynR",0,1,0,0,0,0,0,0,0,0,0
"154","ycjW",0,1,0,0,0,0,0,0,0,0,0
"155","ydeO",1,0,0,0.5,0,0.25,0,0,0.25,0,0
"156","yeiL",1,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0
"157","yiaU",0,1,0,0,0,0,0,0,0,0,0
"158","yidZ",0,1,0,0,0,0,0,0,0,0,0
"159","yjjQ",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0
"160","yoeB",1,0,0,0,0,0,0,0,1,0,0
"161","zur",0,1,0,0,0,0,0,0,0,0,0
"162","rnhA",0,1,0,0,0,0,0,0,0,0,0
"163","minD",0,1,0,0,0,0,0,0,0,0,0
"164","emrE",0,1,0,0,0,0,0,0,0,0,0
"165","mrcB",0,1,0,0,0,0,0,0,0,0,0
"166","dnaQ",0,1,0,0,0,0,0,0,0,0,0
"167","minE",0,1,0,0,0,0,0,0,0,0,0
"168","ffh",0,1,0,0,0,0,0,0,0,0,0
"169","minC",0,1,0,0,0,0,0,0,0,0,0
