"","V1","FBL_number","No_FBL","FBL"
"461","pyrI",0,0,1
"462","slmA",0,0,1
"463","rluD",0,0,1
"464","xylE",0,0,1
"465","yjdI",0,0,1
"466","ydcI",0,0,1
"467","rihB",0,0,1
"468","ydbL",0,0,1
"469","ldhA",0,0,1
"470","ssuB",0,0,1
"471","yggF",0,0,1
"472","ytjA",0,0,1
"473","yidE",0,0,1
"474","rbfA",0,0,1
"475","yjfY",0,0,1
"476","yohJ",0,0,1
"477","csgC",0,0,1
"478","ynfN",0,0,1
"479","ymgE",0,0,1
"480","gspF",0,0,1
"481","iclR",0,0,1
"482","flgA",0,0,1
"483","proW",0,0,1
"484","flhB",0,0,1
"485","csdA",0,0,1
"486","ribF",0,0,1
"487","yjdC",0,0,1
"488","msbA",0,0,1
"489","narX",0,0,1
"490","aspS",0,0,1
"491","asnS",0,0,1
"492","otsA",0,0,1
"493","ybdG",0,0,1
"494","leuS",0,0,1
"495","folC",0,0,1
"496","hscB",0,0,1
"497","parC",0,0,1
"498","cof",0,0,1
"499","yciK",0,0,1
"500","ftsN",0,0,1
"501","yciT",0,0,1
"502","accA",0,0,1
"503","ispH",0,0,1
"504","rpoD",17,0,1
"505","ansP",0,0,1
"506","yhhS",0,0,1
"507","ligA",0,0,1
"508","pepA",0,0,1
"509","trkH",0,0,1
"510","sapA",0,0,1
"511","cysS",0,0,1
"512","topA",0,0,1
"513","ynfC",0,0,1
"514","ybaB",0,0,1
"515","waaQ",0,0,1
"516","sbcD",0,0,1
"517","glmS",0,0,1
"518","yheS",0,0,1
"519","udk",0,0,1
"520","nupC",0,0,1
"521","glyQ",0,0,1
"522","dsbD",0,0,1
"523","hisS",0,0,1
"524","rfbB",0,0,1
"525","bcp",0,0,1
"526","pspE",0,0,1
"527","ybjL",0,0,1
"528","nhaR",0,0,1
"529","dsbG",0,0,1
"530","ypjD",0,0,1
"531","pheT",0,0,1
"532","rpmA",0,0,1
"533","waaG",0,0,1
"534","fabF",0,0,1
"535","ydbJ",0,0,1
"536","waaA",0,0,1
"537","menE",0,0,1
"538","yobD",0,0,1
"539","creB",0,0,1
"540","narP",0,0,1
"541","yciA",0,0,1
"542","prfA",0,0,1
"543","valS",0,0,1
"544","yibN",0,0,1
"545","dacA",0,0,1
"546","recF",0,0,1
"547","evgS",0,0,1
"548","ileS",0,0,1
"549","ispG",0,0,1
"550","gyrA",0,0,1
"551","yqaA",0,0,1
"552","rfbA",0,0,1
"553","yjjA",0,0,1
"554","blr",0,0,1
"555","katE",0,0,1
"556","ibpA",0,0,1
"557","lolB",0,0,1
"558","yggT",0,0,1
"559","ydgK",0,0,1
"560","yccS",0,0,1
"561","sspB",0,0,1
"562","proY",0,0,1
"563","yjeH",0,0,1
"564","ybcI",0,0,1
"565","acrD",0,0,1
"566","holC",0,0,1
"567","acpT",0,0,1
"568","dacB",0,0,1
"569","accB",0,0,1
"570","dnaE",0,0,1
"571","rdgC",0,0,1
"572","yehM",0,0,1
"573","usg",0,0,1
"574","gudD",0,0,1
"575","nrdA",0,0,1
"576","ygeA",0,0,1
"577","evgA",0,0,1
"578","aat",0,0,1
"579","rpsU",0,0,1
"580","yfcO",0,0,1
"581","ispD",0,0,1
"582","tdk",0,0,1
"583","aroK",0,0,1
"584","aphA",0,0,1
"585","truB",0,0,1
"586","tyrP",0,0,1
"587","trxC",0,0,1
"588","purE",0,0,1
"589","hycH",0,0,1
"590","ibpB",0,0,1
"591","glpG",0,0,1
"592","ucpA",0,0,1
"593","ygdD",0,0,1
"594","fhuA",0,0,1
"595","artQ",0,0,1
"596","yqgF",0,0,1
"597","sbmC",0,0,1
"598","yfaA",0,0,1
"599","hisA",0,0,1
"600","yghW",0,0,1
"601","ygbA",0,0,1
"602","rnhB",0,0,1
"603","waaC",0,0,1
"604","infB",0,0,1
"605","yceJ",0,0,1
