"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"62","yfdK",0,1,0,0,0,0,0,0,0,0,0,0,0
"63","yhaJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"64","yhbP",0,1,0,0,0,0,0,0,0,0,0,0,0
"65","yhhM",0,1,0,0,0,0,0,0,0,0,0,0,0
"66","yibL",0,1,0,0,0,0,0,0,0,0,0,0,0
"67","yidB",0,1,0,0,0,0,0,0,0,0,0,0,0
"68","yifN",0,1,0,0,0,0,0,0,0,0,0,0,0
"69","yihD",0,1,0,0,0,0,0,0,0,0,0,0,0
"70","yjaG",0,1,0,0,0,0,0,0,0,0,0,0,0
"71","yjbD",0,1,0,0,0,0,0,0,0,0,0,0,0
"72","yjdJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"73","yjjX",0,1,0,0,0,0,0,0,0,0,0,0,0
"74","ykgJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"75","ymfK",0,1,0,0,0,0,0,0,0,0,0,0,0
"76","ymgA",1,0,0,0,0,0,0,0,0,0,1,0,0
"77","ynjH",1,0,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"78","yoaF",0,1,0,0,0,0,0,0,0,0,0,0,0
"79","yoaH",0,1,0,0,0,0,0,0,0,0,0,0,0
"80","yrdA",0,1,0,0,0,0,0,0,0,0,0,0,0
"81","zipA",0,1,0,0,0,0,0,0,0,0,0,0,0
"82","alaX",1,0,0,0,0,0,0,0,0,0,1,0,0
"83","ansA",0,1,0,0,0,0,0,0,0,0,0,0,0
"84","argQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"85","argZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"86","artI",1,0,0,0,0,0,0,0,0,0,1,0,0
"87","artP",1,0,0,0,0,0,0,0,0,0,1,0,0
"88","fbaA",1,0,0,0,0,0,0,0,0,0,1,0,0
"89","glnS",1,0,0,0,0,0,0,0,0,0,1,0,0
"90","glnW",1,0,0,0,0,0,0,0,0,0,1,0,0
"91","gltT",1,0,0.133333333333333,0,0,0,0,0.0666666666666667,0,0,0.8,0,0
"92","gltU",1,0,0.2,0,0,0,0,0,0,0,0.8,0,0
"93","gltV",1,0,0.285714285714286,0,0,0,0,0,0,0,0.714285714285714,0,0
"94","gltW",1,0,0.285714285714286,0,0,0,0,0,0,0,0.714285714285714,0,0
"95","ileT",1,0,0.2,0,0,0,0,0,0,0,0.8,0,0
"96","ileU",1,0,0.285714285714286,0,0,0,0,0,0,0,0.714285714285714,0,0
"97","leuW",1,0,0,0,0,0,0,0,0,0,1,0,0
"98","lysQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"99","lysT",1,0,0,0,0,0,0,0,0,0,1,0,0
"100","lysW",1,0,0,0,0,0,0,0,0,0,1,0,0
"101","lysY",0,1,0,0,0,0,0,0,0,0,0,0,0
"102","lysZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","malE",1,0,0,0,0,0,0,0,0,0.0740740740740741,0.925925925925925,0,0
"104","metT",1,0,0,0,0,0,0,0,0,0,1,0,0
"105","metU",1,0,0,0,0,0,0,0,0,0,1,0,0
"106","nuoA",1,0,0,0.0434782608695652,0,0,0,0.0434782608695652,0,0.0434782608695652,0.826086956521739,0.0434782608695652,0
"107","nuoB",1,0,0,0.0689655172413793,0,0,0,0,0,0.0689655172413793,0.793103448275862,0.0689655172413793,0
"108","oppA",1,0,0,0,0,0,0.125,0,0,0,0.875,0,0
"109","pepQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"110","potC",0,1,0,0,0,0,0,0,0,0,0,0,0
"111","pssA",0,1,0,0,0,0,0,0,0,0,0,0,0
"112","rfaD",1,0,0,0,0,0,0,0,0.181818181818182,0,0.818181818181818,0,0
"113","ribE",1,0,0,0,0,0,0,0,0,0,1,0,0
"114","serT",1,0,0,0,0,0,0,0,0,0,1,0,0
"115","thrV",1,0,0.285714285714286,0,0,0,0,0,0,0,0.714285714285714,0,0
"116","tyrT",1,0,0,0,0,0,0,0,0,0,1,0,0
"117","tyrV",1,0,0,0,0,0,0,0,0,0,1,0,0
"118","yfdH",0,1,0,0,0,0,0,0,0,0,0,0,0
"119","yfaZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"120","ampD",0,1,0,0,0,0,0,0,0,0,0,0,0
"121","cueR",0,1,0,0,0,0,0,0,0,0,0,0,0
"122","intR",0,1,0,0,0,0,0,0,0,0,0,0,0
"123","priC",0,1,0,0,0,0,0,0,0,0,0,0,0
"124","seqA",1,0,0,0,0,0,0,0,0,0,1,0,0
"125","yajG",0,1,0,0,0,0,0,0,0,0,0,0,0
"126","ytfP",0,1,0,0,0,0,0,0,0,0,0,0,0
"127","yeaQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"128","osmY",1,0,0,0,0,0,0,0.113636363636364,0,0.0227272727272727,0.772727272727272,0.0909090909090909,0
"129","hdeA",1,0,0.0196078431372549,0,0,0,0.0196078431372549,0.0392156862745098,0,0.0392156862745098,0.882352941176471,0,0
"130","yahO",0,1,0,0,0,0,0,0,0,0,0,0,0
"131","alaT",1,0,0.2,0,0,0,0,0,0,0,0.8,0,0
"132","alaU",1,0,0.285714285714286,0,0,0,0,0,0,0,0.714285714285714,0,0
"133","aroA",0,1,0,0,0,0,0,0,0,0,0,0,0
"134","cyoB",1,0,0,0.0487804878048781,0,0,0,0,0,0.024390243902439,0.926829268292683,0,0
"135","dadA",0,1,0,0,0,0,0,0,0,0,0,0,0
"136","atpH",0,1,0,0,0,0,0,0,0,0,0,0,0
"137","atpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"138","atpE",0,1,0,0,0,0,0,0,0,0,0,0,0
"139","atpF",0,1,0,0,0,0,0,0,0,0,0,0,0
"140","atpG",0,1,0,0,0,0,0,0,0,0,0,0,0
"141","cheA",1,0,0,0,0,0,0,0,0,0,1,0,0
"142","cheB",1,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0
"143","cheW",1,0,0,0,0,0,0,0,0,0,1,0,0
"144","cheZ",1,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0
"145","eno",1,0,0,0,0,0,0,0,0.25,0,0.75,0,0
"146","flgH",1,0,0.0909090909090909,0,0,0.363636363636364,0,0,0,0,0.545454545454546,0,0
"147","fliP",1,0,0.0625,0,0,0.4375,0,0,0,0,0.5,0,0
"148","fliQ",1,0,0.0625,0,0,0.4375,0,0,0,0,0.5,0,0
