"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"121","yidZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"122","yjjQ",1,0,1,0,0,0,0,0,0,0,0,0,0
"123","yoeB",0,1,0,0,0,0,0,0,0,0,0,0,0
"124","zur",0,1,0,0,0,0,0,0,0,0,0,0,0
"125","rnhA",0,1,0,0,0,0,0,0,0,0,0,0,0
"126","minD",0,1,0,0,0,0,0,0,0,0,0,0,0
"127","emrE",0,1,0,0,0,0,0,0,0,0,0,0,0
"128","mrcB",0,1,0,0,0,0,0,0,0,0,0,0,0
"129","dnaQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"130","minE",0,1,0,0,0,0,0,0,0,0,0,0,0
"131","ffh",0,1,0,0,0,0,0,0,0,0,0,0,0
"132","minC",0,1,0,0,0,0,0,0,0,0,0,0,0
"133","ffs",0,1,0,0,0,0,0,0,0,0,0,0,0
"134","dnaC",0,1,0,0,0,0,0,0,0,0,0,0,0
"135","ppa",0,1,0,0,0,0,0,0,0,0,0,0,0
"136","dosP",0,1,0,0,0,0,0,0,0,0,0,0,0
"137","mdfA",0,1,0,0,0,0,0,0,0,0,0,0,0
"138","ggt",0,1,0,0,0,0,0,0,0,0,0,0,0
"139","vsr",0,1,0,0,0,0,0,0,0,0,0,0,0
"140","glnE",0,1,0,0,0,0,0,0,0,0,0,0,0
"141","mutH",0,1,0,0,0,0,0,0,0,0,0,0,0
"142","dxr",0,1,0,0,0,0,0,0,0,0,0,0,0
"143","secM",0,1,0,0,0,0,0,0,0,0,0,0,0
"144","clcA",0,1,0,0,0,0,0,0,0,0,0,0,0
"145","pgsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"146","mnmE",0,1,0,0,0,0,0,0,0,0,0,0,0
"147","topB",0,1,0,0,0,0,0,0,0,0,0,0,0
"148","rcsC",0,1,0,0,0,0,0,0,0,0,0,0,0
"149","mrdB",0,1,0,0,0,0,0,0,0,0,0,0,0
"150","clsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"151","gldA",0,1,0,0,0,0,0,0,0,0,0,0,0
"152","menD",0,1,0,0,0,0,0,0,0,0,0,0,0
"153","truA",0,1,0,0,0,0,0,0,0,0,0,0,0
"154","dnaT",0,1,0,0,0,0,0,0,0,0,0,0,0
"155","rodZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"156","cyaY",0,1,0,0,0,0,0,0,0,0,0,0,0
"157","recE",0,1,0,0,0,0,0,0,0,0,0,0,0
"158","hokC",0,1,0,0,0,0,0,0,0,0,0,0,0
"159","ftsP",0,1,0,0,0,0,0,0,0,0,0,0,0
"160","murJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"161","ushA",0,1,0,0,0,0,0,0,0,0,0,0,0
"162","fre",0,1,0,0,0,0,0,0,0,0,0,0,0
"163","panE",0,1,0,0,0,0,0,0,0,0,0,0,0
"164","btuC",0,1,0,0,0,0,0,0,0,0,0,0,0
"165","tag",0,1,0,0,0,0,0,0,0,0,0,0,0
"166","insO",0,1,0,0,0,0,0,0,0,0,0,0,0
"167","hemC",0,1,0,0,0,0,0,0,0,0,0,0,0
"168","murB",0,1,0,0,0,0,0,0,0,0,0,0,0
"169","proA",0,1,0,0,0,0,0,0,0,0,0,0,0
"170","nfi",0,1,0,0,0,0,0,0,0,0,0,0,0
"171","lit",0,1,0,0,0,0,0,0,0,0,0,0,0
"172","hemG",0,1,0,0,0,0,0,0,0,0,0,0,0
"173","rcsF",0,1,0,0,0,0,0,0,0,0,0,0,0
"174","mcrA",0,1,0,0,0,0,0,0,0,0,0,0,0
"175","recT",0,1,0,0,0,0,0,0,0,0,0,0,0
"176","zapA",0,1,0,0,0,0,0,0,0,0,0,0,0
"177","aes",0,1,0,0,0,0,0,0,0,0,0,0,0
"178","endA",0,1,0,0,0,0,0,0,0,0,0,0,0
"179","lplA",0,1,0,0,0,0,0,0,0,0,0,0,0
"180","kup",0,1,0,0,0,0,0,0,0,0,0,0,0
"181","cybC",0,1,0,0,0,0,0,0,0,0,0,0,0
"182","yicR",0,1,0,0,0,0,0,0,0,0,0,0,0
"183","ftsB",0,1,0,0,0,0,0,0,0,0,0,0,0
"184","nadK",0,1,0,0,0,0,0,0,0,0,0,0,0
"185","barA",0,1,0,0,0,0,0,0,0,0,0,0,0
"186","guaC",0,1,0,0,0,0,0,0,0,0,0,0,0
"187","mog",0,1,0,0,0,0,0,0,0,0,0,0,0
"188","ptrB",0,1,0,0,0,0,0,0,0,0,0,0,0
"189","pbpC",0,1,0,0,0,0,0,0,0,0,0,0,0
"190","etk",0,1,0,0,0,0,0,0,0,0,0,0,0
"191","uhpC",0,1,0,0,0,0,0,0,0,0,0,0,0
"192","lpxM",0,1,0,0,0,0,0,0,0,0,0,0,0
"193","ldcA",0,1,0,0,0,0,0,0,0,0,0,0,0
"194","tsaD",0,1,0,0,0,0,0,0,0,0,0,0,0
"195","solA",0,1,0,0,0,0,0,0,0,0,0,0,0
"196","rusA",0,1,0,0,0,0,0,0,0,0,0,0,0
"197","cobB",0,1,0,0,0,0,0,0,0,0,0,0,0
"198","pdxB",0,1,0,0,0,0,0,0,0,0,0,0,0
"199","yajL",0,1,0,0,0,0,0,0,0,0,0,0,0
"200","nagZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"201","lptE",0,1,0,0,0,0,0,0,0,0,0,0,0
"202","dacD",0,1,0,0,0,0,0,0,0,0,0,0,0
"203","fcl",0,1,0,0,0,0,0,0,0,0,0,0,0
"204","basS",0,1,0,0,0,0,0,0,0,0,0,0,0
"205","tesB",0,1,0,0,0,0,0,0,0,0,0,0,0
"206","trkG",0,1,0,0,0,0,0,0,0,0,0,0,0
"207","yggX",0,1,0,0,0,0,0,0,0,0,0,0,0
"208","gpp",0,1,0,0,0,0,0,0,0,0,0,0,0
"209","gdx",0,1,0,0,0,0,0,0,0,0,0,0,0
"210","macB",0,1,0,0,0,0,0,0,0,0,0,0,0
"211","sapD",0,1,0,0,0,0,0,0,0,0,0,0,0
"212","rlmA",0,1,0,0,0,0,0,0,0,0,0,0,0
"213","xanQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"214","gmm",0,1,0,0,0,0,0,0,0,0,0,0,0
"215","opgB",0,1,0,0,0,0,0,0,0,0,0,0,0
"216","djlA",0,1,0,0,0,0,0,0,0,0,0,0,0
"217","sdhE",0,1,0,0,0,0,0,0,0,0,0,0,0
"218","plsC",0,1,0,0,0,0,0,0,0,0,0,0,0
"219","bcr",0,1,0,0,0,0,0,0,0,0,0,0,0
"220","torS",0,1,0,0,0,0,0,0,0,0,0,0,0
"221","mdtK",0,1,0,0,0,0,0,0,0,0,0,0,0
"222","fsaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"223","mnmC",0,1,0,0,0,0,0,0,0,0,0,0,0
"224","clcB",0,1,0,0,0,0,0,0,0,0,0,0,0
"225","truD",0,1,0,0,0,0,0,0,0,0,0,0,0
"226","ygdG",0,1,0,0,0,0,0,0,0,0,0,0,0
"227","rbbA",0,1,0,0,0,0,0,0,0,0,0,0,0
"228","yaaW",0,1,0,0,0,0,0,0,0,0,0,0,0
"229","kefF",0,1,0,0,0,0,0,0,0,0,0,0,0
"230","ltaE",0,1,0,0,0,0,0,0,0,0,0,0,0
"231","cpsB",0,1,0,0,0,0,0,0,0,0,0,0,0
"232","selU",0,1,0,0,0,0,0,0,0,0,0,0,0
"233","radA",0,1,0,0,0,0,0,0,0,0,0,0,0
"234","ybfF",0,1,0,0,0,0,0,0,0,0,0,0,0
"235","rhsC",0,1,0,0,0,0,0,0,0,0,0,0,0
