"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"129","gatZ",1,0,0,1,0,0,0,0,0,0,0,0,0
"130","glcC",1,0,0,0.6,0.2,0,0.2,0,0,0,0,0,0
"131","gltA",1,0,0.2,0.4,0.1,0.3,0,0,0,0,0,0,0
"132","gltB",1,0,0.215384615384615,0.261538461538462,0.0923076923076923,0.169230769230769,0.0461538461538462,0.0153846153846154,0.0923076923076923,0.0153846153846154,0.0769230769230769,0.0153846153846154,0
"133","gltD",1,0,0.215384615384615,0.261538461538462,0.0923076923076923,0.169230769230769,0.0461538461538462,0.0153846153846154,0.0923076923076923,0.0153846153846154,0.0769230769230769,0.0153846153846154,0
"134","gpmA",1,0,0,0.4,0.2,0,0,0,0.2,0,0.2,0,0
"135","grxA",0,1,0,0,0,0,0,0,0,0,0,0,0
"136","gshA",0,1,0,0,0,0,0,0,0,0,0,0,0
"137","gshB",0,1,0,0,0,0,0,0,0,0,0,0,0
"138","hemB",1,0,0,0,0,0,0,1,0,0,0,0,0
"139","hsdR",0,1,0,0,0,0,0,0,0,0,0,0,0
"140","hsdS",0,1,0,0,0,0,0,0,0,0,0,0,0
"141","hslJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"142","iap",0,1,0,0,0,0,0,0,0,0,0,0,0
"143","idi",0,1,0,0,0,0,0,0,0,0,0,0,0
"144","ispF",0,1,0,0,0,0,0,0,0,0,0,0,0
"145","kgtP",1,0,0,0,1,0,0,0,0,0,0,0,0
"146","lipA",0,1,0,0,0,0,0,0,0,0,0,0,0
"147","lldD",0,1,0,0,0,0,0,0,0,0,0,0,0
"148","lpxD",1,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0,0,0,0
"149","lysC",0,1,0,0,0,0,0,0,0,0,0,0,0
"150","map",1,0,0.25,0.25,0,0.375,0,0,0.125,0,0,0,0
"151","marB",1,0,0.25,0.425,0.025,0.05,0.075,0,0.075,0.025,0.075,0,0
"152","marR",1,0,0.44,0.28,0,0.16,0,0,0.12,0,0,0,0
"153","mdaB",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0
"154","mdtG",0,1,0,0,0,0,0,0,0,0,0,0,0
"155","menF",0,1,0,0,0,0,0,0,0,0,0,0,0
"156","metN",0,1,0,0,0,0,0,0,0,0,0,0,0
"157","mltC",0,1,0,0,0,0,0,0,0,0,0,0,0
"158","mqo",1,0,0,0,1,0,0,0,0,0,0,0,0
