"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"260","flhC",1,0,0.0614035087719298,0.342105263157895,0.377192982456141,0.0087719298245614,0.0175438596491228,0.131578947368421,0.0087719298245614,0,0.0175438596491228,0.0350877192982456
"261","glpF",1,0,0,0.5,0,0,0,0,0,0,0,0.5
"262","cspA",1,0,0.25,0.5,0,0.25,0,0,0,0,0,0
"263","glpT",1,0,0.166666666666667,0.2,0.0666666666666667,0.0333333333333333,0.133333333333333,0.1,0,0.266666666666667,0,0.0333333333333333
"264","flhD",1,0,0.0598290598290598,0.350427350427351,0.376068376068376,0.00854700854700855,0.0170940170940171,0.128205128205128,0.00854700854700855,0,0.0170940170940171,0.0341880341880342
"265","pspC",1,0,0.8,0,0,0.2,0,0,0,0,0,0
"266","pspA",1,0,0.8,0,0,0.2,0,0,0,0,0,0
"267","pspB",1,0,0.8,0,0,0.2,0,0,0,0,0,0
"268","miaA",1,0,1,0,0,0,0,0,0,0,0,0
"269","secE",0,1,0,0,0,0,0,0,0,0,0,0
"270","speE",0,1,0,0,0,0,0,0,0,0,0,0
"271","tsx",1,0,0,0.5,0.25,0,0,0,0,0,0.25,0
"272","rplY",0,1,0,0,0,0,0,0,0,0,0,0
"273","speD",0,1,0,0,0,0,0,0,0,0,0,0
"274","ybfA",0,1,0,0,0,0,0,0,0,0,0,0
"275","yhjR",0,1,0,0,0,0,0,0,0,0,0,0
"276","potA",0,1,0,0,0,0,0,0,0,0,0,0
"277","speB",1,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0
"278","stpA",1,0,0,0.5,0.25,0,0.25,0,0,0,0,0
"279","thiI",0,1,0,0,0,0,0,0,0,0,0,0
"280","rpsA",0,1,0,0,0,0,0,0,0,0,0,0
"281","pcnB",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0
"282","yhbE",1,0,0,1,0,0,0,0,0,0,0,0
"283","yidC",0,1,0,0,0,0,0,0,0,0,0,0
"284","secA",0,1,0,0,0,0,0,0,0,0,0,0
"285","yqgB",0,1,0,0,0,0,0,0,0,0,0,0
"286","rnpA",0,1,0,0,0,0,0,0,0,0,0,0
"287","pyrG",0,1,0,0,0,0,0,0,0,0,0,0
"288","yebC",0,1,0,0,0,0,0,0,0,0,0,0
"289","pyrF",1,0,1,0,0,0,0,0,0,0,0,0
"290","queA",0,1,0,0,0,0,0,0,0,0,0,0
"291","rpsT",0,1,0,0,0,0,0,0,0,0,0,0
"292","rpsF",1,0,0,1,0,0,0,0,0,0,0,0
"293","yhdZ",1,0,1,0,0,0,0,0,0,0,0,0
"294","atpB",0,1,0,0,0,0,0,0,0,0,0,0
"295","metK",1,0,0,0.333333333333333,0.333333333333333,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0
"296","ydiY",0,1,0,0,0,0,0,0,0,0,0,0
"297","soxS",1,0,0.0625,0.5,0.375,0,0.0625,0,0,0,0,0
"298","rnb",0,1,0,0,0,0,0,0,0,0,0,0
"299","potB",0,1,0,0,0,0,0,0,0,0,0,0
"300","guaA",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"301","greA",1,0,0,0,0,0,0,0,1,0,0,0
"302","ybfE",1,0,0,1,0,0,0,0,0,0,0,0
"303","spoT",0,1,0,0,0,0,0,0,0,0,0,0
"304","rpsB",0,1,0,0,0,0,0,0,0,0,0,0
"305","aroA",0,1,0,0,0,0,0,0,0,0,0,0
"306","modA",1,0,0.6,0,0,0.2,0,0,0.2,0,0,0
"307","atpE",0,1,0,0,0,0,0,0,0,0,0,0
"308","priB",1,0,0,0.5,0.5,0,0,0,0,0,0,0
"309","prfC",0,1,0,0,0,0,0,0,0,0,0,0
"310","purB",0,1,0,0,0,0,0,0,0,0,0,0
"311","tsf",0,1,0,0,0,0,0,0,0,0,0,0
"312","cobS",0,1,0,0,0,0,0,0,0,0,0,0
"313","yfhL",0,1,0,0,0,0,0,0,0,0,0,0
"314","apt",0,1,0,0,0,0,0,0,0,0,0,0
"315","yhcN",0,1,0,0,0,0,0,0,0,0,0,0
"316","gpt",0,1,0,0,0,0,0,0,0,0,0,0
"317","uraA",0,1,0,0,0,0,0,0,0,0,0,0
"318","yehS",0,1,0,0,0,0,0,0,0,0,0,0
"319","glgS",1,0,0.25,0.75,0,0,0,0,0,0,0,0
"320","ymdA",1,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0
"321","ybgI",0,1,0,0,0,0,0,0,0,0,0,0
"322","motA",1,0,0,1,0,0,0,0,0,0,0,0
"323","yihX",0,1,0,0,0,0,0,0,0,0,0,0
"324","yfdY",0,1,0,0,0,0,0,0,0,0,0,0
"325","rsd",1,0,0.3,0.3,0,0.1,0.1,0,0.2,0,0,0
"326","cheA",1,0,0,1,0,0,0,0,0,0,0,0
"327","uspA",1,0,0.125,0.125,0,0.375,0.375,0,0,0,0,0
"328","mrr",0,1,0,0,0,0,0,0,0,0,0,0
"329","srmB",0,1,0,0,0,0,0,0,0,0,0,0
"330","yecA",0,1,0,0,0,0,0,0,0,0,0,0
"331","yaeH",0,1,0,0,0,0,0,0,0,0,0,0
"332","flgI",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0
"333","ygiC",1,0,0.428571428571429,0,0,0.285714285714286,0,0,0.285714285714286,0,0,0
"334","yjaB",0,1,0,0,0,0,0,0,0,0,0,0
"335","yigI",0,1,0,0,0,0,0,0,0,0,0,0
"336","yiiS",1,0,1,0,0,0,0,0,0,0,0,0
"337","grxB",0,1,0,0,0,0,0,0,0,0,0,0
"338","yacL",1,0,0,1,0,0,0,0,0,0,0,0
"339","ybhC",0,1,0,0,0,0,0,0,0,0,0,0
"340","arcA",0,1,0,0,0,0,0,0,0,0,0,0
"341","ygdR",0,1,0,0,0,0,0,0,0,0,0,0
"342","ybjX",0,1,0,0,0,0,0,0,0,0,0,0
"343","flgH",1,0,0.272727272727273,0,0,0.727272727272727,0,0,0,0,0,0
"344","mscL",0,1,0,0,0,0,0,0,0,0,0,0
"345","yjeI",0,1,0,0,0,0,0,0,0,0,0,0
"346","hdhA",0,1,0,0,0,0,0,0,0,0,0,0
"347","ycbZ",0,1,0,0,0,0,0,0,0,0,0,0
"348","osmE",1,0,0,0.125,0.125,0,0.1875,0.1875,0.0625,0.1875,0,0.125
"349","rof",0,1,0,0,0,0,0,0,0,0,0,0
"350","elaB",0,1,0,0,0,0,0,0,0,0,0,0
"351","yqjC",0,1,0,0,0,0,0,0,0,0,0,0
"352","yhaH",0,1,0,0,0,0,0,0,0,0,0,0
"353","ndk",0,1,0,0,0,0,0,0,0,0,0,0
"354","atpF",0,1,0,0,0,0,0,0,0,0,0,0
"355","ytfK",1,0,0.333333333333333,0.333333333333333,0,0,0.222222222222222,0,0,0.111111111111111,0,0
