"","V1","FBL_number","No_FBL","FBL"
"404","yneE",0,0,1
"405","ynfB",0,0,1
"406","zntR",0,0,1
"409","dnaA",13,0,1
"410","dnaN",0,0,1
"411","entE",0,0,1
"412","fecA",0,0,1
"413","fecB",0,0,1
"414","fecC",0,0,1
"415","fecD",0,0,1
"416","fecE",0,0,1
"417","fepA",0,0,1
"418","fhuC",0,0,1
"422","fucK",0,0,1
"423","galK",0,0,1
"424","gntT",0,0,1
"426","gpsA",0,0,1
"428","hslR",0,0,1
"429","hupA",2,0,1
"430","hybA",0,0,1
"431","idnT",0,0,1
"432","lnt",0,0,1
"434","malF",0,0,1
"435","malG",0,0,1
"436","malK",0,0,1
"437","malM",0,0,1
"438","malP",0,0,1
"442","mltB",0,0,1
"444","murG",0,0,1
"446","narY",0,0,1
"447","nrdF",0,0,1
"448","pflC",0,0,1
"450","phoB",9,0,1
"451","phoU",0,0,1
"452","aceE",0,0,1
"454","adk",0,0,1
"455","ahpC",0,0,1
"456","aldA",0,0,1
"457","apaG",0,0,1
"458","argS",0,0,1
"460","avtA",0,0,1
"461","can",0,0,1
"462","wzzB",0,0,1
"463","cyoA",0,0,1
"464","cyoC",0,0,1
"465","cyoD",0,0,1
"466","cyoE",0,0,1
"468","dld",0,0,1
"469","dsbB",0,0,1
"470","emrA",0,0,1
"471","fabI",0,0,1
"472","fadR",0,0,1
"473","fdx",0,0,1
"474","fnr",15,0,1
"475","folE",0,0,1
"476","fpr",0,0,1
"477","galF",0,0,1
"481","gltX",0,0,1
"483","gnd",0,0,1
"484","gpt",0,0,1
"485","guaA",0,0,1
"486","hha",0,0,1
"488","iadA",0,0,1
"494","lldP",0,0,1
"495","lysP",0,0,1
"496","mdtJ",0,0,1
"498","menB",0,0,1
"499","mepA",0,0,1
"500","metG",0,0,1
"501","metK",0,0,1
"503","mipA",0,0,1
"504","mreB",0,0,1
"507","nadE",0,0,1
"508","ndh",0,0,1
"509","ndk",0,0,1
"510","nemA",0,0,1
"511","nuoG",0,0,1
"512","nuoH",0,0,1
"513","nuoI",0,0,1
"514","nuoJ",0,0,1
"515","nuoK",0,0,1
"516","nuoL",0,0,1
"517","ompR",9,0,1
"518","oppB",0,0,1
"519","oppC",0,0,1
"520","oppD",0,0,1
"522","pal",0,0,1
"524","pepB",0,0,1
"525","pepN",0,0,1
"527","pmrD",0,0,1
"528","psiF",0,0,1
"529","pstA",0,0,1
"530","pstB",0,0,1
"531","pstC",0,0,1
"532","pstS",0,0,1
"533","rne",0,0,1
"534","tdcB",0,0,1
"535","tdcC",0,0,1
"539","pflA",0,0,1
"540","pgi",0,0,1
"541","pheM",0,0,1
"543","ppsA",0,0,1
"546","ptsG",0,0,1
"547","ptsH",0,0,1
"548","ptsI",0,0,1
"549","purU",0,0,1
"550","pyrG",0,0,1
"551","rcsB",16,0,1
"552","relA",0,0,1
"554","rfbD",0,0,1
"555","rfe",0,0,1
"557","uxaC",0,0,1
"561","ycdZ",0,0,1
"562","ycjF",0,0,1
"564","yddB",0,0,1
"566","rho",0,0,1
"567","ribA",0,0,1
"568","rmf",0,0,1
"569","rnb",0,0,1
"570","rnt",0,0,1
"571","rsd",0,0,1
"572","rsuA",0,0,1
"573","sdhC",0,0,1
"575","serC",0,0,1
"579","surA",0,0,1
"580","tatE",0,0,1
"583","tolQ",0,0,1
"584","tpiA",0,0,1
"585","yhdT",0,0,1
"589","yicG",0,0,1
"590","yihF",0,0,1
"591","yjaB",0,0,1
"592","yjeJ",0,0,1
"594","yjgM",0,0,1
"599","yaiA",0,0,1
"600","ybgC",0,0,1
"601","ybhB",0,0,1
"603","ycdX",0,0,1
"604","ycdY",0,0,1
"605","ychH",0,0,1
"608","yeaC",0,0,1
"610","yeeN",0,0,1
"611","yjhD",0,0,1
"612","ykgF",0,0,1
"613","ymdB",0,0,1
"614","yoaE",0,0,1
"615","yohK",0,0,1
"616","yqfA",0,0,1
"618","yeeZ",0,0,1
"619","yehS",0,0,1
"621","yfaE",0,0,1
"622","yfcZ",0,0,1
"626","ygdI",0,0,1
"627","yhjR",0,0,1
"628","yieP",0,0,1
"629","yjbQ",0,0,1
"630","aidB",0,0,1
"631","ssuD",0,0,1
"632","tauA",0,0,1
"634","tauC",0,0,1
"635","csgA",0,0,1
"637","csgE",0,0,1
"640","iraP",0,0,1
"641","tcyJ",0,0,1
"644","gadE",69,0,1
"646","gadX",110,0,1
"652","rpoS",254,0,1
"653","mcbA",0,0,1
"654","yciE",0,0,1
"655","yciF",0,0,1
"656","yciG",0,0,1
"657","metE",0,0,1
"658","metR",0,0,1
"659","prpB",0,0,1
"660","prpC",0,0,1
"661","prpD",0,0,1
"662","prpR",0,0,1
"663","adiA",0,0,1
"666","hyaA",0,0,1
"672","araA",0,0,1
"673","araB",0,0,1
"674","araC",0,0,1
"675","araF",0,0,1
"676","caiA",0,0,1
"678","mlrA",2,0,1
"679","galS",1,0,1
"680","mglA",0,0,1
"681","mglB",0,0,1
"682","mglC",0,0,1
"683","glcA",0,0,1
"684","glcB",0,0,1
"685","glcD",0,0,1
"686","glcE",0,0,1
"687","glcF",0,0,1
"689","hcaR",0,0,1
"690","iscR",0,0,1
"691","nrdE",0,0,1
"692","nrdH",0,0,1
"693","nrdI",0,0,1
"694","sufA",0,0,1
"695","sufB",0,0,1
"696","sufC",0,0,1
"697","sufD",0,0,1
"698","sufE",0,0,1
"699","sufS",0,0,1
"701","fdhF",0,0,1
