"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"226","dinI",1,0,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"227","dinJ",1,0,0,0,0.2,0,0.4,0,0,0.4,0
"228","eptB",1,0,0,0.75,0,0,0,0,0,0.25,0
"229","fadL",1,0,0.125,0.25,0.25,0.125,0,0.125,0.125,0,0
"230","folD",0,1,0,0,0,0,0,0,0,0,0
"231","fucR",1,0,0,1,0,0,0,0,0,0,0
"232","glmU",0,1,0,0,0,0,0,0,0,0,0
"233","glpB",1,0,0,0.636363636363636,0.0909090909090909,0,0,0.0909090909090909,0,0.181818181818182,0
"234","glpC",1,0,0,0.636363636363636,0.0909090909090909,0,0,0.0909090909090909,0,0.181818181818182,0
"235","flgM",1,0,0,0.384615384615385,0.384615384615385,0,0.153846153846154,0,0,0.0769230769230769,0
"236","flgN",1,0,0,0.714285714285714,0.142857142857143,0,0,0,0,0.142857142857143,0
"237","fliA",1,0,0.1,0.25,0.3,0.05,0.15,0,0,0.15,0
"239","fliD",1,0,0,1,0,0,0,0,0,0,0
"240","fliE",1,0,0,0.714285714285714,0.142857142857143,0,0,0,0,0.142857142857143,0
"241","fliF",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"242","fliG",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"243","fliH",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"244","fliI",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"245","fliJ",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"246","fliK",1,0,0,0.625,0.125,0,0,0,0,0.25,0
"247","fliL",1,0,0,1,0,0,0,0,0,0,0
"248","fliM",1,0,0,1,0,0,0,0,0,0,0
"249","fliN",1,0,0,1,0,0,0,0,0,0,0
"250","fliO",1,0,0,1,0,0,0,0,0,0,0
"251","glpX",1,0,0,0.5,0,0,0,0,0,0.5,0
"252","glyA",1,0,0,0,0,0,0,0,0,1,0
"254","hisH",1,0,0,0.5,0,0,0,0.5,0,0,0
"256","hisJ",1,0,0,0.8,0,0,0,0,0,0.2,0
"257","ispE",0,1,0,0,0,0,0,0,0,0,0
"258","malT",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"259","fliS",1,0,0,1,0,0,0,0,0,0,0
"260","fliT",1,0,0,1,0,0,0,0,0,0,0
"261","fliZ",1,0,0.0666666666666667,0.3,0.4,0.0333333333333333,0.1,0,0,0.1,0
"262","galM",1,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0
"263","gdhA",1,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.363636363636364,0,0,0.363636363636364,0
"265","groL",1,0,0,1,0,0,0,0,0,0,0
"266","groS",1,0,0,0.4,0,0.2,0,0,0.2,0.2,0
"267","grpE",0,1,0,0,0,0,0,0,0,0,0
"268","hslO",0,1,0,0,0,0,0,0,0,0,0
"269","hslU",0,1,0,0,0,0,0,0,0,0,0
"270","hslV",0,1,0,0,0,0,0,0,0,0,0
"271","htpG",1,0,0,0.5,0,0,0,0,0,0.5,0
"272","ygiM",1,0,0,0,0,0,0,0,0,1,0
"273","osmB",1,0,0,1,0,0,0,0,0,0,0
"274","potD",0,1,0,0,0,0,0,0,0,0,0
"276","purC",1,0,0,0,0,0,0,0,0,1,0
"277","purH",1,0,0.25,0,0,0,0,0,0,0.75,0
"278","purK",1,0,0,0,0,0,0,0,0,1,0
"279","purM",1,0,0,0,0,0,0,0,0,1,0
"280","pyrB",0,1,0,0,0,0,0,0,0,0,0
"281","pyrC",1,0,0,0,0,0,0.333333333333333,0,0,0.666666666666667,0
"282","pyrL",0,1,0,0,0,0,0,0,0,0,0
"283","srkA",1,0,0,1,0,0,0,0,0,0,0
"284","lipB",1,0,0,1,0,0,0,0,0,0,0
"286","modB",1,0,0,1,0,0,0,0,0,0,0
"287","motA",0,1,0,0,0,0,0,0,0,0,0
"290","nlpA",1,0,0,0,1,0,0,0,0,0,0
"291","nupG",1,0,0,0,0,0,0,0,0,1,0
"292","ompT",1,0,0,0,0.5,0,0,0,0,0.5,0
"294","rbsB",1,0,0,0.2,0,0,0.2,0,0,0.6,0
"295","rbsD",1,0,0,0.2,0,0,0.2,0,0,0.6,0
"296","rbsK",1,0,0,0.142857142857143,0,0,0.285714285714286,0,0,0.571428571428571,0
"297","ymcE",0,1,0,0,0,0,0,0,0,0,0
"301","sucA",1,0,0.1,0.2,0.05,0.15,0.15,0.1,0,0.25,0
"302","sucD",1,0,0.111111111111111,0.222222222222222,0.0555555555555556,0.111111111111111,0.111111111111111,0.111111111111111,0,0.277777777777778,0
"303","tas",0,1,0,0,0,0,0,0,0,0,0
"307","uspD",0,1,0,0,0,0,0,0,0,0,0
"308","xseA",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0
"310","yagU",1,0,0,0.5,0,0,0,0.5,0,0,0
"311","ybaK",0,1,0,0,0,0,0,0,0,0,0
"313","cpoB",0,1,0,0,0,0,0,0,0,0,0
"314","hcxB",0,1,0,0,0,0,0,0,0,0,0
"315","ybjC",1,0,0,0.571428571428571,0,0,0,0.285714285714286,0,0.142857142857143,0
"316","tatD",0,1,0,0,0,0,0,0,0,0,0
"317","tgt",0,1,0,0,0,0,0,0,0,0,0
"320","treB",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"321","treC",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0
"322","ubiB",0,1,0,0,0,0,0,0,0,0,0
"324","pdeL",1,0,0,0,0,0,0,0,0,1,0
"325","yajC",0,1,0,0,0,0,0,0,0,0,0
"326","ybaL",0,1,0,0,0,0,0,0,0,0,0
"327","ybfA",0,1,0,0,0,0,0,0,0,0,0
"328","ybjN",1,0,0,0.444444444444444,0,0,0,0.222222222222222,0.111111111111111,0.222222222222222,0
"329","efeB",0,1,0,0,0,0,0,0,0,0,0
"331","bhsA",1,0,0,0.4,0,0,0.2,0,0.2,0.2,0
"332","ydgD",0,1,0,0,0,0,0,0,0,0,0
"333","nemR",1,0,0,0,0,0,0,0,0,1,0
"334","ydiH",0,1,0,0,0,0,0,0,0,0,0
"335","leuE",0,1,0,0,0,0,0,0,0,0,0
"337","tcyL",0,1,0,0,0,0,0,0,0,0,0
"338","yejG",0,1,0,0,0,0,0,0,0,0,0
"339","yfcA",0,1,0,0,0,0,0,0,0,0,0
"344","ygbE",0,1,0,0,0,0,0,0,0,0,0
"345","yccA",1,0,0,1,0,0,0,0,0,0,0
"347","ldtC",1,0,0,1,0,0,0,0,0,0,0
"348","ydhF",0,1,0,0,0,0,0,0,0,0,0
"349","raiA",1,0,0,1,0,0,0,0,0,0,0
"350","ygaH",0,1,0,0,0,0,0,0,0,0,0
"351","ygaZ",0,1,0,0,0,0,0,0,0,0,0
"352","ygdR",0,1,0,0,0,0,0,0,0,0,0
"353","trmB",0,1,0,0,0,0,0,0,0,0,0
"355","yghJ",0,1,0,0,0,0,0,0,0,0,0
"356","ygiB",1,0,0,0.5,0,0,0,0.5,0,0,0
"357","ygdQ",0,1,0,0,0,0,0,0,0,0,0
"358","argO",1,0,0,0.5,0,0.25,0,0.25,0,0,0
"359","rsmE",0,1,0,0,0,0,0,0,0,0,0
"360","ygiW",0,1,0,0,0,0,0,0,0,0,0
"361","yhcN",0,1,0,0,0,0,0,0,0,0,0
"362","tusD",0,1,0,0,0,0,0,0,0,0,0
"363","yheO",0,1,0,0,0,0,0,0,0,0,0
"366","yigI",0,1,0,0,0,0,0,0,0,0,0
"368","tabA",0,1,0,0,0,0,0,0,0,0,0
"371","ylaC",0,1,0,0,0,0,0,0,0,0,0
"372","yncD",0,1,0,0,0,0,0,0,0,0,0
"374","rcnB",1,0,0,0,0,0,0,0,0,1,0
"375","yraQ",0,1,0,0,0,0,0,0,0,0,0
"376","yhaL",0,1,0,0,0,0,0,0,0,0,0
"377","yhiI",0,1,0,0,0,0,0,0,0,0,0
"378","yjiA",0,1,0,0,0,0,0,0,0,0,0
"379","yjiX",0,1,0,0,0,0,0,0,0,0,0
"380","btsT",1,0,0,0,0,0,0,0.5,0,0.5,0
"384","yncE",1,0,0,1,0,0,0,0,0,0,0
"385","yqjA",1,0,0,0.75,0,0,0,0.25,0,0,0
"386","yqjC",0,1,0,0,0,0,0,0,0,0,0
"387","yqjD",0,1,0,0,0,0,0,0,0,0,0
"388","ytfJ",1,0,0,0,0,1,0,0,0,0,0
"389","recA",1,0,0,0,0.5,0,0,0,0,0.5,0
"392","slt",1,0,0,1,0,0,0,0,0,0,0
"393","speA",1,0,0,0,0,0,0,0,0,1,0
"394","speD",0,1,0,0,0,0,0,0,0,0,0
"395","spy",1,0,0,1,0,0,0,0,0,0,0
"398","ubiE",0,1,0,0,0,0,0,0,0,0,0
"399","uvrY",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
"402","yciI",0,1,0,0,0,0,0,0,0,0,0
"403","yebE",1,0,0,1,0,0,0,0,0,0,0
