"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"125","nrfB",1,0,0.219512195121951,0.121951219512195,0,0.439024390243903,0.024390243902439,0,0.0975609756097561,0,0.0975609756097561,0,0
"126","fis",1,0,0.2,0.2,0,0.6,0,0,0,0,0,0,0
"127","yhdH",0,1,0,0,0,0,0,0,0,0,0,0,0
"128","dadX",0,1,0,0,0,0,0,0,0,0,0,0,0
"129","nrdR",0,1,0,0,0,0,0,0,0,0,0,0,0
"130","fucK",1,0,0.2,0.4,0,0,0.2,0,0,0.2,0,0,0
"131","ispA",0,1,0,0,0,0,0,0,0,0,0,0,0
"132","nhaB",0,1,0,0,0,0,0,0,0,0,0,0,0
"133","gadA",1,0,0.178571428571429,0.321428571428571,0.142857142857143,0.107142857142857,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0.0178571428571429,0.0178571428571429,0
"134","ybaV",0,1,0,0,0,0,0,0,0,0,0,0,0
"135","yqaB",0,1,0,0,0,0,0,0,0,0,0,0,0
"136","gshB",0,1,0,0,0,0,0,0,0,0,0,0,0
"137","tpiA",1,0,0,0.5,0,0,0,0,0.5,0,0,0,0
"138","cysE",1,0,0,0,1,0,0,0,0,0,0,0,0
"139","gltA",1,0,0.2,0.4,0.1,0.3,0,0,0,0,0,0,0
"140","betB",1,0,0.5,0,0.5,0,0,0,0,0,0,0,0
"141","lnt",0,1,0,0,0,0,0,0,0,0,0,0,0
"142","glmU",0,1,0,0,0,0,0,0,0,0,0,0,0
"143","fadL",1,0,0.153846153846154,0.461538461538462,0.179487179487179,0.0256410256410256,0.0512820512820513,0,0.0769230769230769,0.0256410256410256,0,0.0256410256410256,0
"144","hybB",1,0,0,0,1,0,0,0,0,0,0,0,0
"145","prpD",1,0,0.75,0,0,0,0.25,0,0,0,0,0,0
"146","pheP",0,1,0,0,0,0,0,0,0,0,0,0,0
"147","ybiX",0,1,0,0,0,0,0,0,0,0,0,0,0
"148","ycfP",0,1,0,0,0,0,0,0,0,0,0,0,0
"149","mltC",0,1,0,0,0,0,0,0,0,0,0,0,0
"150","pepN",0,1,0,0,0,0,0,0,0,0,0,0,0
"151","ybiV",0,1,0,0,0,0,0,0,0,0,0,0,0
"152","yhfK",0,1,0,0,0,0,0,0,0,0,0,0,0
"153","fucR",0,1,0,0,0,0,0,0,0,0,0,0,0
"154","sufA",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"155","sufS",1,0,0.461538461538462,0.307692307692308,0,0.230769230769231,0,0,0,0,0,0,0
"156","amn",0,1,0,0,0,0,0,0,0,0,0,0,0
"157","yneE",0,1,0,0,0,0,0,0,0,0,0,0,0
"158","yodC",0,1,0,0,0,0,0,0,0,0,0,0,0
"159","aidB",1,0,0.2,0.4,0,0,0,0,0.2,0.2,0,0,0
"160","ygaZ",0,1,0,0,0,0,0,0,0,0,0,0,0
