"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"158","lldR",1,0,0,0,0,0,0,0,0,0,1
"159","fumB",1,0,0,0,0,0,0,0,0,0,1
"160","hybE",1,0,0,0,0,0,0,0,0,0,1
"161","hybB",1,0,0,0,0,0,0,0,0,0,1
"162","dmsA",1,0,0.25,0,0,0,0.166666666666667,0,0,0.166666666666667,0.416666666666667
"163","hybF",1,0,0,0,0,0,0,0,0,0,1
"164","hybO",1,0,0,0,0,0,0,0,0,0,1
"165","yncE",1,0,0,1,0,0,0,0,0,0,0
"166","tdcE",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0,0,0.222222222222222
"167","treC",1,0,0,0,0,0,0,0,0,0,1
"168","clpA",0,1,0,0,0,0,0,0,0,0,0
"169","entF",1,0,0,0,0,0,0,0,0,0,1
"170","tdcD",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0,0,0.222222222222222
"171","lysU",1,0,0,0,0,0,0,0,0,0,1
"172","ynfG",1,0,0,0,0,0,0,0,0,0,1
"173","pepE",0,1,0,0,0,0,0,0,0,0,0
"174","tdcC",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0,0,0.222222222222222
"175","ansB",1,0,0,0,0,0,0,0,0,0,1
"176","hybA",1,0,0,0,0,0,0,0,0,0,1
"177","ydcZ",0,1,0,0,0,0,0,0,0,0,0
"178","hypA",1,0,0,0.285714285714286,0,0.285714285714286,0,0.285714285714286,0,0,0.142857142857143
"179","tdcF",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0,0,0.222222222222222
"180","phoH",1,0,0,0,0,0,0,0,0,0,1
"181","hybD",1,0,0,0,0,0,0,0,0,0,1
"182","ynfF",1,0,0,0,0,0,0,0,0,0,1
"183","tdcB",1,0,0,0.555555555555556,0,0,0,0.222222222222222,0,0,0.222222222222222
"184","frdC",1,0,0,0,0,0,0,0,0,0,1
"185","tonB",0,1,0,0,0,0,0,0,0,0,0
"186","frdA",1,0,0,0,0,0,0,0,0,0,1
"187","treB",1,0,0,0,0,0,0,0,0,0,1
"188","hybC",1,0,0,0,0,0,0,0,0,0,1
