"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"209","exbD",0,1,0,0,0,0,0,0,0
"210","exuR",0,1,0,0,0,0,0,0,0
"211","exuT",0,1,0,0,0,0,0,0,0
"212","fabB",0,1,0,0,0,0,0,0,0
"213","fabI",0,1,0,0,0,0,0,0,0
"214","fadE",0,1,0,0,0,0,0,0,0
"215","fadL",0,1,0,0,0,0,0,0,0
"216","fadR",0,1,0,0,0,0,0,0,0
"217","fdhD",0,1,0,0,0,0,0,0,0
"218","fdhF",0,1,0,0,0,0,0,0,0
"219","fdnH",0,1,0,0,0,0,0,0,0
"220","fdnI",0,1,0,0,0,0,0,0,0
"221","fdoG",0,1,0,0,0,0,0,0,0
"222","fdoH",0,1,0,0,0,0,0,0,0
"223","fdx",0,1,0,0,0,0,0,0,0
"224","fecA",0,1,0,0,0,0,0,0,0
"225","fecB",0,1,0,0,0,0,0,0,0
"226","fecC",0,1,0,0,0,0,0,0,0
"227","fecD",0,1,0,0,0,0,0,0,0
"228","fecE",0,1,0,0,0,0,0,0,0
"229","fecI",0,1,0,0,0,0,0,0,0
"230","fecR",0,1,0,0,0,0,0,0,0
"231","fepA",0,1,0,0,0,0,0,0,0
"232","fepB",0,1,0,0,0,0,0,0,0
"233","fepC",0,1,0,0,0,0,0,0,0
"234","fepD",0,1,0,0,0,0,0,0,0
"235","fepG",0,1,0,0,0,0,0,0,0
"236","fes",0,1,0,0,0,0,0,0,0
"237","fhuA",0,1,0,0,0,0,0,0,0
"238","fhuC",0,1,0,0,0,0,0,0,0
"239","fhuD",0,1,0,0,0,0,0,0,0
"240","fhuE",0,1,0,0,0,0,0,0,0
"241","fhuF",0,1,0,0,0,0,0,0,0
"242","fimA",0,1,0,0,0,0,0,0,0
"243","fimC",0,1,0,0,0,0,0,0,0
"244","fimI",0,1,0,0,0,0,0,0,0
"245","fis",0,1,0,0,0,0,0,0,0
"246","flgA",0,1,0,0,0,0,0,0,0
"247","flgB",0,1,0,0,0,0,0,0,0
"248","flgC",0,1,0,0,0,0,0,0,0
