"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"107","ogt",1,0,0,1,0,0,0,0,0,0,0,0
"108","mntH",1,0,0,1,0,0,0,0,0,0,0,0
"109","leuC",0,1,0,0,0,0,0,0,0,0,0,0
"110","shiA",1,0,0,0,0,0,1,0,0,0,0,0
"111","fdnI",1,0,0,1,0,0,0,0,0,0,0,0
"112","dcuS",1,0,0,1,0,0,0,0,0,0,0,0
"113","leuB",0,1,0,0,0,0,0,0,0,0,0,0
"114","sdhB",1,0,0.142857142857143,0.571428571428571,0.142857142857143,0,0,0.142857142857143,0,0,0,0
"115","gcvR",0,1,0,0,0,0,0,0,0,0,0,0
"116","dadX",0,1,0,0,0,0,0,0,0,0,0,0
"117","entC",1,0,0,1,0,0,0,0,0,0,0,0
"118","ravA",1,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,0,0
"119","selA",0,1,0,0,0,0,0,0,0,0,0,0
"120","fucK",1,0,0.2,0.4,0,0,0.2,0,0,0.2,0,0
"121","iscR",0,1,0,0,0,0,0,0,0,0,0,0
"122","efeU",0,1,0,0,0,0,0,0,0,0,0,0
"123","manX",1,0,0,0.388888888888889,0.5,0,0,0,0,0.0555555555555556,0.0555555555555556,0
"124","ispU",0,1,0,0,0,0,0,0,0,0,0,0
"125","msrA",0,1,0,0,0,0,0,0,0,0,0,0
"126","fadE",1,0,0.0909090909090909,0.636363636363636,0.272727272727273,0,0,0,0,0,0,0
"127","ugpC",0,1,0,0,0,0,0,0,0,0,0,0
"128","manZ",1,0,0,0.454545454545455,0.363636363636364,0,0,0,0,0.0909090909090909,0.0909090909090909,0
"129","ccmD",1,0,0.242424242424242,0.0909090909090909,0,0.545454545454545,0,0,0.121212121212121,0,0,0
"130","rfe",0,1,0,0,0,0,0,0,0,0,0,0
"131","ydhY",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0,0
"132","fdnH",1,0,0,1,0,0,0,0,0,0,0,0
"133","yhjE",1,0,0,1,0,0,0,0,0,0,0,0
"134","fepC",0,1,0,0,0,0,0,0,0,0,0,0
"135","mgsA",0,1,0,0,0,0,0,0,0,0,0,0
"136","sucC",1,0,0.0810810810810811,0.324324324324324,0.189189189189189,0,0.162162162162162,0.0540540540540541,0.0540540540540541,0.0810810810810811,0,0.0540540540540541
"137","hypE",1,0,0.5,0,0,0.166666666666667,0,0,0.333333333333333,0,0,0
"138","gcvH",1,0,0.428571428571429,0.428571428571429,0,0,0.142857142857143,0,0,0,0,0
"139","tas",0,1,0,0,0,0,0,0,0,0,0,0
"140","folE",1,0,0,0,0.857142857142857,0,0,0,0,0,0.142857142857143,0
"141","csrD",0,1,0,0,0,0,0,0,0,0,0,0
"142","pykA",1,0,0.25,0,0,0.5,0,0,0.25,0,0,0
"143","yaeP",0,1,0,0,0,0,0,0,0,0,0,0
"144","trmA",1,0,1,0,0,0,0,0,0,0,0,0
"145","pepD",1,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0
"146","edd",1,0,0,1,0,0,0,0,0,0,0,0
"147","yciH",1,0,1,0,0,0,0,0,0,0,0,0
"148","metE",1,0,0,0.4,0.2,0,0.2,0,0,0,0.2,0
"149","dld",0,1,0,0,0,0,0,0,0,0,0,0
"150","pgi",1,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0
"151","galT",1,0,0,0.25,0.25,0,0,0,0.0833333333333333,0.0833333333333333,0.166666666666667,0.166666666666667
"152","yhdH",0,1,0,0,0,0,0,0,0,0,0,0
"153","ynfH",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0.166666666666667,0,0,0
"154","sodB",1,0,0,0,0.7,0,0.2,0.1,0,0,0,0
"155","sstT",1,0,0.142857142857143,0.571428571428571,0.142857142857143,0,0.142857142857143,0,0,0,0,0
"156","nadB",0,1,0,0,0,0,0,0,0,0,0,0
"157","ybjI",0,1,0,0,0,0,0,0,0,0,0,0
"158","purT",1,0,0,1,0,0,0,0,0,0,0,0
"159","fdoI",0,1,0,0,0,0,0,0,0,0,0,0
"160","exbB",1,0,0.25,0.5,0,0.25,0,0,0,0,0,0
"161","yebZ",0,1,0,0,0,0,0,0,0,0,0,0
"162","cyoC",1,0,0.146341463414634,0.487804878048781,0.170731707317073,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.0487804878048781,0
"163","pnuC",0,1,0,0,0,0,0,0,0,0,0,0
"164","rutE",1,0,0.428571428571429,0.571428571428571,0,0,0,0,0,0,0,0
"165","yeiE",0,1,0,0,0,0,0,0,0,0,0,0
"166","yncD",0,1,0,0,0,0,0,0,0,0,0,0
"167","moeA",1,0,0.2,0.4,0,0.2,0.2,0,0,0,0,0
"168","melA",0,1,0,0,0,0,0,0,0,0,0,0
"169","grpE",1,0,1,0,0,0,0,0,0,0,0,0
"170","cyoE",1,0,0.146341463414634,0.487804878048781,0.170731707317073,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.0487804878048781,0
"171","ilvE",0,1,0,0,0,0,0,0,0,0,0,0
"172","yddA",0,1,0,0,0,0,0,0,0,0,0,0
"173","cysE",1,0,0,0,1,0,0,0,0,0,0,0
"174","sanA",0,1,0,0,0,0,0,0,0,0,0,0
"175","manY",1,0,0.0588235294117647,0.470588235294118,0.235294117647059,0.0588235294117647,0,0,0,0.0588235294117647,0.117647058823529,0
"176","hisQ",1,0,0.384615384615385,0.461538461538462,0.153846153846154,0,0,0,0,0,0,0
"177","dfp",0,1,0,0,0,0,0,0,0,0,0,0
"178","ydiP",0,1,0,0,0,0,0,0,0,0,0,0
"179","cyoB",1,0,0.146341463414634,0.487804878048781,0.170731707317073,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.0487804878048781,0
"180","ycjY",0,1,0,0,0,0,0,0,0,0,0,0
"181","tdh",0,1,0,0,0,0,0,0,0,0,0,0
"182","ybjJ",0,1,0,0,0,0,0,0,0,0,0,0
"183","yhfK",0,1,0,0,0,0,0,0,0,0,0,0
"184","yibQ",0,1,0,0,0,0,0,0,0,0,0,0
"185","ccmF",1,0,0.242424242424242,0.0909090909090909,0,0.545454545454545,0,0,0.121212121212121,0,0,0
"186","nth",0,1,0,0,0,0,0,0,0,0,0,0
"187","recC",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0
"188","aegA",0,1,0,0,0,0,0,0,0,0,0,0
"189","uvrY",1,0,0,0.5,0,0,0,0,0,0,0.5,0
"190","fucR",0,1,0,0,0,0,0,0,0,0,0,0
"191","rpsQ",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"192","fepD",0,1,0,0,0,0,0,0,0,0,0,0
"193","aroP",1,0,0.166666666666667,0.583333333333333,0.0833333333333333,0,0,0,0.0833333333333333,0,0.0833333333333333,0
"194","yfeD",0,1,0,0,0,0,0,0,0,0,0,0
"195","aqpZ",0,1,0,0,0,0,0,0,0,0,0,0
"196","gltL",1,0,0.36,0,0,0.64,0,0,0,0,0,0
"197","nrfB",1,0,0.219512195121951,0.121951219512195,0,0.439024390243903,0.024390243902439,0,0.0975609756097561,0,0.0975609756097561,0
"198","cycA",1,0,0.2,0.45,0.15,0.05,0.1,0,0.05,0,0,0
"199","aroF",1,0,0,0.5,0,0,0.5,0,0,0,0,0
"200","betB",1,0,0.5,0,0.5,0,0,0,0,0,0,0
"201","nadE",1,0,0,1,0,0,0,0,0,0,0,0
"202","gcvP",1,0,0.428571428571429,0.428571428571429,0,0,0.142857142857143,0,0,0,0,0
"203","yebY",0,1,0,0,0,0,0,0,0,0,0,0
"204","mutM",1,0,0,0.75,0.25,0,0,0,0,0,0,0
"205","mdtC",1,0,1,0,0,0,0,0,0,0,0,0
"206","rcsB",0,1,0,0,0,0,0,0,0,0,0,0
"207","exbD",0,1,0,0,0,0,0,0,0,0,0,0
"208","ydhW",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0,0
"209","crl",0,1,0,0,0,0,0,0,0,0,0,0
"210","yieP",0,1,0,0,0,0,0,0,0,0,0,0
"211","znuB",0,1,0,0,0,0,0,0,0,0,0,0
"212","yeaC",0,1,0,0,0,0,0,0,0,0,0,0
