"","V1","FBL_number","No_FBL","FBL"
"297","yehX",0,0,1
"298","rstA",0,0,1
"299","yehY",0,0,1
"300","yccF",0,0,1
"301","dgcJ",0,0,1
"302","cysU",0,0,1
"303","fepE",0,0,1
"304","yeaW",0,0,1
"305","ynfM",0,0,1
"306","yidD",0,0,1
"307","eutG",0,0,1
"308","holD",0,0,1
"309","cysJ",0,0,1
"310","ybgO",0,0,1
"311","clsC",0,0,1
"312","abgT",0,0,1
"313","yaiW",0,0,1
"314","abgB",0,0,1
"315","yhfA",0,0,1
"316","dauA",0,0,1
"317","abgA",0,0,1
"318","ykgG",0,0,1
"319","ynjE",0,0,1
"320","tmcA",0,0,1
"321","uraA",0,0,1
"322","ygeV",0,0,1
"323","yadI",0,0,1
"324","mhpR",0,0,1
"325","rbsR",0,0,1
"326","yjfN",0,0,1
"327","curA",0,0,1
"328","ivy",0,0,1
"329","dhaL",0,0,1
"330","fruA",0,0,1
"331","astA",0,0,1
"332","astC",0,0,1
"333","hxpA",0,0,1
"334","ybaE",0,0,1
"335","ygfZ",0,0,1
"336","astD",0,0,1
"337","pflD",0,0,1
"338","ybgI",0,0,1
"339","ubiT",0,0,1
"340","yqeC",0,0,1
"341","sdaA",0,0,1
"342","ybeL",0,0,1
"343","dmlR",0,0,1
"344","opgE",0,0,1
"345","ykgE",0,0,1
"346","tolA",0,0,1
"347","yidF",0,0,1
"348","ybhQ",0,0,1
"349","yihX",0,0,1
"350","yaiZ",0,0,1
"351","yfdY",0,0,1
"352","yieK",0,0,1
"353","queC",0,0,1
"354","fadA",0,0,1
"355","yajO",0,0,1
"356","mltA",0,0,1
"357","yhfZ",0,0,1
"358","yahN",0,0,1
"359","yniA",0,0,1
"360","astB",0,0,1
"361","uspC",0,0,1
"362","smpB",0,0,1
"363","rpmG",0,0,1
"364","yfbU",0,0,1
"365","cspI",0,0,1
"366","uspA",0,0,1
"367","ttcA",0,0,1
"368","bioH",0,0,1
"369","symE",0,0,1
"370","ygcN",0,0,1
"371","ydhQ",0,0,1
"372","pyrS",0,0,1
"373","queE",0,0,1
"374","dacC",0,0,1
"375","hdfR",0,0,1
"376","sfsA",0,0,1
"377","mrr",0,0,1
"378","yqeF",0,0,1
"379","ugpB",0,0,1
"380","yhjV",0,0,1
"381","ynaE",0,0,1
"382","glgX",0,0,1
"383","panF",0,0,1
"384","sseA",0,0,1
"385","sbmA",0,0,1
"386","srmB",0,0,1
"387","hcaD",0,0,1
"388","yecA",0,0,1
"389","chaC",0,0,1
"390","mocA",0,0,1
"391","yfaQ",0,0,1
"392","cbrB",0,0,1
"393","tus",0,0,1
"394","yaeH",0,0,1
"395","rng",0,0,1
"396","malS",0,0,1
"397","yqjE",0,0,1
"398","yccX",0,0,1
"399","degQ",0,0,1
"400","yieL",0,0,1
"401","ypeB",0,0,1
"402","mdtB",0,0,1
"403","recB",0,0,1
"404","nrfE",0,0,1
"405","rseC",0,0,1
"406","lpxA",0,0,1
"407","tktB",0,0,1
"408","fkpA",0,0,1
"409","nusB",0,0,1
"410","rutG",0,0,1
"411","cho",0,0,1
"412","ligB",0,0,1
"413","ydbK",0,0,1
"414","yiiS",0,0,1
"415","yhjG",0,0,1
"416","grxB",0,0,1
"417","yacL",0,0,1
"418","ycjD",0,0,1
"419","poxB",0,0,1
"420","cmoB",0,0,1
"421","aldB",0,0,1
"422","ybhC",0,0,1
"423","arcA",16,0,1
"424","rutD",0,0,1
"425","infC",0,0,1
"426","nadD",0,0,1
"427","tsaC",0,0,1
"428","mscL",0,0,1
"429","ycaQ",0,0,1
"430","agp",0,0,1
"431","rlmG",0,0,1
"432","pqiA",0,0,1
"433","fadH",0,0,1
"434","ybeM",0,0,1
"435","rsmF",0,0,1
"436","fieF",0,0,1
"437","yjeI",0,0,1
"438","yhfY",0,0,1
"439","lpxH",0,0,1
"440","ybhF",0,0,1
"441","hdhA",0,0,1
"442","fadJ",0,0,1
"443","bamB",0,0,1
"444","yrdD",0,0,1
"445","ycbZ",0,0,1
"446","mutT",0,0,1
"447","yrdB",0,0,1
"448","ettA",0,0,1
"449","emtA",0,0,1
"450","yjdP",0,0,1
"451","osmE",0,0,1
