"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"164","pdhR",1,0,0,0,0,0,0,0,0,0,1
"165","pdxY",0,1,0,0,0,0,0,0,0,0,0
"166","proP",1,0,0,0,0,0,0,0,0,0,1
"167","rbsA",1,0,0,0,0,0,0,0,0,0,1
"168","rbsC",1,0,0,0,0,0,0,0,0,0,1
"169","rcsA",1,0,0,0,0,0,0,0,0,0,1
"170","rimI",0,1,0,0,0,0,0,0,0,0,0
"171","rpoE",1,0,0,0,0,0,0,0,0.173913043478261,0,0.826086956521739
"172","rseA",1,0,0,0.142857142857143,0,0.0285714285714286,0,0,0.0857142857142857,0,0.742857142857143
"173","rseB",1,0,0,0.151515151515152,0,0.0303030303030303,0,0,0.0909090909090909,0,0.727272727272727
"174","sdhA",1,0,0,0,0,0,0,0,0,0,1
"175","sdhB",1,0,0,0,0,0,0,0,0,0,1
"176","serV",0,1,0,0,0,0,0,0,0,0,0
"177","gcvT",1,0,0,0,0.25,0,0,0,0,0,0.75
"178","glgS",1,0,0,0,0,0,0,0,0.5,0,0.5
"179","glpA",1,0,0,0,0,0,0,0,0,0,1
"180","hflC",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667
"181","hflK",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667
"182","hflX",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667
"183","htpX",1,0,0,0,0,0,0,0,0,0,1
"184","ilvB",1,0,0,0,0,0,0,0,0,0,1
"185","ilvG",0,1,0,0,0,0,0,0,0,0,0
"186","ilvN",1,0,0,0,0,0,0,0,0,0,1
"187","ivbL",1,0,0,0,0,0,0,0,0,0,1
"188","katG",1,0,0,0,0.2,0,0,0,0,0,0.8
"189","maa",0,1,0,0,0,0,0,0,0,0,0
"190","manX",1,0,0,0,0,0,0,0,0,0,1
"191","mhpC",1,0,0,0,0,0,0,0,0,0,1
"192","miaA",1,0,0,0.5,0,0,0,0,0,0,0.5
"193","mutL",1,0,0,0.5,0,0,0,0,0,0,0.5
"194","nadA",0,1,0,0,0,0,0,0,0,0,0
"195","nmpC",0,1,0,0,0,0,0,0,0,0,0
"196","nrdD",1,0,0,0,0,0,0,0,0,0,1
"197","nrdG",1,0,0,0,0.25,0,0,0,0,0,0.75
"198","yjdM",0,1,0,0,0,0,0,0,0,0,0
"199","pitA",0,1,0,0,0,0,0,0,0,0,0
"200","pntA",1,0,0,0,0,0,0,0,0,0,1
"201","ppiA",1,0,0,0,0,0,0,0,0,0,1
"202","pppA",0,1,0,0,0,0,0,0,0,0,0
"203","proV",1,0,0,0.285714285714286,0,0,0,0,0,0,0.714285714285714
"204","purD",1,0,0,0,0,0,0,0,0,0,1
"205","purL",1,0,0,0,0,0,0,0,0,0,1
"206","purN",1,0,0,0,0,0,0,0,0,0,1
"207","putA",1,0,0,0,0,0,0,0,0,0,1
"208","recR",0,1,0,0,0,0,0,0,0,0,0
"209","rpoH",1,0,0,0.3,0,0,0,0.05,0,0,0.65
"210","rzpD",0,1,0,0,0,0,0,0,0,0,0
"211","sdaB",0,1,0,0,0,0,0,0,0,0,0
"212","sdaC",0,1,0,0,0,0,0,0,0,0,0
"213","secD",0,1,0,0,0,0,0,0,0,0,0
"214","dedA",0,1,0,0,0,0,0,0,0,0,0
"215","dinI",1,0,0,0,0,0,0,0,0,0,1
"216","dinJ",1,0,0,0,0,0,0,0,0,0,1
"217","eptB",1,0,0,0.25,0,0,0,0,0,0,0.75
"218","fadL",1,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0.142857142857143,0.571428571428571
"219","folD",0,1,0,0,0,0,0,0,0,0,0
"220","fucR",1,0,0,0,0,0,0,0,0,0,1
"221","glmU",0,1,0,0,0,0,0,0,0,0,0
"222","glpB",1,0,0,0,0,0,0,0,0,0,1
"223","glpC",1,0,0,0,0,0,0,0,0,0,1
"224","flgM",1,0,0,0,0,0.0769230769230769,0,0,0,0,0.923076923076923
"225","flgN",1,0,0,0,0,0.142857142857143,0,0,0,0,0.857142857142857
"226","fliA",1,0,0,0,0,0,0,0,0,0,1
"227","fliC",1,0,0,0,0,0,0,0,0,0,1
"228","fliD",1,0,0,0,0,0,0,0,0,0,1
"229","fliE",1,0,0,0,0,0.142857142857143,0,0,0,0,0.857142857142857
"230","fliF",1,0,0,0,0,0.125,0,0,0,0,0.875
"231","fliG",1,0,0,0,0,0.125,0,0,0,0,0.875
"232","fliH",1,0,0,0,0,0.125,0,0,0,0,0.875
"233","fliI",1,0,0,0,0,0.125,0,0,0,0,0.875
"234","fliJ",1,0,0,0,0,0.125,0,0,0,0,0.875
"235","fliK",1,0,0,0,0,0.125,0,0,0,0,0.875
"236","fliL",1,0,0,0,0,0,0,0,0,0,1
"237","fliM",1,0,0,0,0,0,0,0,0,0,1
"238","fliN",1,0,0,0,0,0,0,0,0,0,1
"239","fliO",1,0,0,0,0,0,0,0,0,0,1
"240","glpX",1,0,0,0,0,0,0,0,0,0,1
"241","glyA",1,0,0,0,0,0,0,0,0,0,1
"242","hisF",1,0,0,0,0,0,0,0,0,0,1
"243","hisH",1,0,0,0,0,0,0,0,0,0,1
"244","hisI",1,0,0,0,0,0,0,0,0,0,1
"245","hisJ",1,0,0,0,0,0,0,0,0,0,1
"246","ispE",0,1,0,0,0,0,0,0,0,0,0
"247","malT",1,0,0,0,0,0,0,0,0,0,1
"248","fliS",1,0,0,0,0,0,0,0,0,0,1
"249","fliT",1,0,0,0,0,0,0,0,0,0,1
"250","fliZ",1,0,0,0,0,0.0333333333333333,0,0,0,0,0.966666666666667
"251","galM",1,0,0,0,0,0,0,0,0,0,1
"252","gdhA",1,0,0,0,0.0909090909090909,0,0,0,0,0,0.909090909090909
"253","yhgH",1,0,0,0,0,0,0,0,0,0,1
"254","groL",1,0,0,0.5,0,0,0,0,0,0,0.5
"255","groS",1,0,0,0.2,0,0,0,0,0,0,0.8
"256","grpE",0,1,0,0,0,0,0,0,0,0,0
"257","hslO",0,1,0,0,0,0,0,0,0,0,0
"258","hslU",0,1,0,0,0,0,0,0,0,0,0
"259","hslV",0,1,0,0,0,0,0,0,0,0,0
"260","htpG",1,0,0,0,0,0,0,0,0,0,1
"261","ygiM",1,0,0,0,0,0,0,0,1,0,0
"262","osmB",1,0,0,0,0,0,0,0,0,0,1
"263","potD",0,1,0,0,0,0,0,0,0,0,0
"264","purA",1,0,0,0,0,0,0,0,0,0,1
"265","purC",1,0,0,0,0,0,0,0,0,0,1
"266","purH",1,0,0,0,0,0,0,0,0,0,1
"267","purK",1,0,0,0,0,0,0,0,0,0,1
"268","purM",1,0,0,0,0,0,0,0,0,0,1
"269","pyrB",0,1,0,0,0,0,0,0,0,0,0
"270","pyrC",1,0,0,0,0,0,0,0,0,0,1
"271","pyrL",0,1,0,0,0,0,0,0,0,0,0
"272","lipB",1,0,0,0.5,0,0,0,0,0,0,0.5
"273","lon",1,0,0,0.5,0,0,0,0,0,0,0.5
"274","modB",1,0,0,0,0,0,0,0,0,0,1
"275","motA",0,1,0,0,0,0,0,0,0,0,0
"276","motB",0,1,0,0,0,0,0,0,0,0,0
"277","nhaB",0,1,0,0,0,0,0,0,0,0,0
"278","nlpA",1,0,0,0,0,0,0,0,0,0,1
"279","nupG",1,0,0,0,0,0,0,0,0,0,1
"280","ompT",1,0,0,0,0,0,0,0,0,0,1
"281","prlC",0,1,0,0,0,0,0,0,0,0,0
"282","rbsB",1,0,0,0,0,0,0,0,0,0,1
"283","rbsD",1,0,0,0,0,0,0,0,0,0,1
"284","rbsK",1,0,0,0,0,0,0,0,0,0,1
"285","ymcE",0,1,0,0,0,0,0,0,0,0,0
"286","sthA",0,1,0,0,0,0,0,0,0,0,0
"287","sucA",1,0,0,0,0,0,0.0476190476190476,0,0.0952380952380952,0,0.857142857142857
"288","sucD",1,0,0,0,0,0,0,0,0.111111111111111,0,0.888888888888889
"289","tas",0,1,0,0,0,0,0,0,0,0,0
"290","tehA",0,1,0,0,0,0,0,0,0,0,0
"291","thrC",1,0,0,0,0,0,0,0,0,0,1
"292","trpB",1,0,0,0,0,0,0,0,0,0,1
"293","uspD",0,1,0,0,0,0,0,0,0,0,0
"294","xseA",1,0,0,0,0,0,0,0,0,0,1
"295","yagU",1,0,0,0,0,0,0,0,0,0,1
"296","ybaK",0,1,0,0,0,0,0,0,0,0,0
"297","ybfD",0,1,0,0,0,0,0,0,0,0,0
"298","ybjC",1,0,0,0,0,0,0,0,0,0,1
"299","tatD",0,1,0,0,0,0,0,0,0,0,0
"300","tgt",0,1,0,0,0,0,0,0,0,0,0
"301","tnaB",1,0,0,0,0,0,0,0,0,0,1
"302","tnaC",1,0,0,0,0,0,0,0,0,0,1
"303","treB",1,0,0,0,0,0,0,0,0,0,1
"304","treC",1,0,0,0,0,0,0,0,0,0,1
