"","V1","FBL","No_FBL","Inhibiting","Activating"
"400","yffB",0,1,0,0
"401","ygaZ",0,1,0,0
"402","ygiS",0,1,0,0
"403","yhhQ",0,1,0,0
"404","yiaD",0,1,0,0
"405","ykfB",0,1,0,0
"406","ymdA",0,1,0,0
"407","yneE",0,1,0,0
"408","ynfB",0,1,0,0
"409","zntR",0,1,0,0
"410","allA",0,1,0,0
"411","cdh",0,1,0,0
"412","dnaA",1,0,1,0
"413","dnaN",0,1,0,0
"414","entE",0,1,0,0
"415","fecA",0,1,0,0
"416","fecB",0,1,0,0
"417","fecC",0,1,0,0
"418","fecD",0,1,0,0
"419","fecE",0,1,0,0
"420","fepA",0,1,0,0
"421","fhuC",0,1,0,0
"422","frwB",0,1,0,0
"423","ftsA",0,1,0,0
"424","ftsQ",0,1,0,0
"425","fucK",0,1,0,0
"426","galK",0,1,0,0
"427","gntT",0,1,0,0
"428","gpmM",0,1,0,0
"429","gpsA",0,1,0,0
"430","hrpB",0,1,0,0
"431","hslR",0,1,0,0
"432","hupA",0,1,0,0
"433","hybA",0,1,0,0
"434","idnT",0,1,0,0
"435","lnt",0,1,0,0
"436","lpxB",0,1,0,0
"437","malF",0,1,0,0
"438","malG",0,1,0,0
"439","malK",0,1,0,0
"440","malM",0,1,0,0
"441","malP",0,1,0,0
"442","malQ",0,1,0,0
"443","mdlB",0,1,0,0
"444","menA",0,1,0,0
"445","mltB",0,1,0,0
"446","modC",0,1,0,0
"447","murG",0,1,0,0
"448","napC",0,1,0,0
"449","narY",0,1,0,0
"450","nrdF",0,1,0,0
"451","pflC",0,1,0,0
"452","pheA",0,1,0,0
"453","phoB",0,1,0,0
"454","phoU",0,1,0,0
"455","aceE",0,1,0,0
"456","acnB",0,1,0,0
"457","adk",0,1,0,0
"458","ahpC",0,1,0,0
"459","aldA",0,1,0,0
"460","apaG",0,1,0,0
"461","argS",0,1,0,0
"462","aspC",0,1,0,0
"463","avtA",0,1,0,0
"464","can",0,1,0,0
"465","wzzB",0,1,0,0
"466","cyoA",0,1,0,0
"467","cyoC",0,1,0,0
"468","cyoD",0,1,0,0
"469","cyoE",0,1,0,0
"470","cysZ",0,1,0,0
"471","dld",0,1,0,0
"472","dsbB",0,1,0,0
"473","emrA",0,1,0,0
"474","fabI",0,1,0,0
"475","fadR",0,1,0,0
"476","fdx",0,1,0,0
"477","fnr",1,0,1,0
"478","folE",0,1,0,0
"479","fpr",0,1,0,0
"480","galF",0,1,0,0
"481","gapC",0,1,0,0
"482","ghrA",0,1,0,0
"483","glf",0,1,0,0
"484","gloA",0,1,0,0
"485","gltX",0,1,0,0
"486","gmhA",0,1,0,0
"487","gnd",0,1,0,0
"488","gpt",0,1,0,0
"489","guaA",0,1,0,0
"490","hha",0,1,0,0
"491","hpt",0,1,0,0
"492","iadA",0,1,0,0
"493","insA1",0,1,0,0
"494","insA2",0,1,0,0
"495","kdsA",0,1,0,0
"496","kdsB",0,1,0,0
"497","lgt",0,1,0,0
"498","lldP",0,1,0,0
"499","lysP",0,1,0,0
"500","mdtJ",0,1,0,0
"501","mdtL",0,1,0,0
"502","menB",0,1,0,0
"503","mepA",0,1,0,0
"504","metG",0,1,0,0
"505","metK",0,1,0,0
"506","miaB",0,1,0,0
"507","mipA",0,1,0,0
"508","mreB",0,1,0,0
"509","mrp",0,1,0,0
"510","mtn",0,1,0,0
"511","nadE",0,1,0,0
