"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"136","rhlE",0,1,0,0,0,0,0,0,0,0,0,0
"137","yhbE",1,0,0,1,0,0,0,0,0,0,0,0
"138","rplM",1,0,0,0,1,0,0,0,0,0,0,0
"139","rplD",1,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0
"140","fecA",1,0,0.375,0.5,0,0,0,0,0.125,0,0,0
"141","lysP",0,1,0,0,0,0,0,0,0,0,0,0
"142","rplF",1,0,0,0,1,0,0,0,0,0,0,0
"143","yidC",0,1,0,0,0,0,0,0,0,0,0,0
"144","pdxY",0,1,0,0,0,0,0,0,0,0,0,0
"145","recO",0,1,0,0,0,0,0,0,0,0,0,0
"146","wecB",0,1,0,0,0,0,0,0,0,0,0,0
"147","rpsD",0,1,0,0,0,0,0,0,0,0,0,0
"148","rpsI",1,0,0,0,0.727272727272727,0,0,0.181818181818182,0,0,0,0.0909090909090909
"149","secA",0,1,0,0,0,0,0,0,0,0,0,0
"150","rpoA",0,1,0,0,0,0,0,0,0,0,0,0
"151","dbpA",0,1,0,0,0,0,0,0,0,0,0,0
"152","yihQ",0,1,0,0,0,0,0,0,0,0,0,0
"153","rplO",0,1,0,0,0,0,0,0,0,0,0,0
"154","rplP",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"155","hsdM",0,1,0,0,0,0,0,0,0,0,0,0
"156","gutQ",1,0,0.333333333333333,0.555555555555556,0,0,0,0,0.111111111111111,0,0,0
"157","hokB",0,1,0,0,0,0,0,0,0,0,0,0
"158","rimM",1,0,0,0,1,0,0,0,0,0,0,0
"159","rplV",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"160","rpmF",0,1,0,0,0,0,0,0,0,0,0,0
"161","dnaA",1,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.333333333333333
"162","cmk",0,1,0,0,0,0,0,0,0,0,0,0
"163","rplW",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"164","aroE",0,1,0,0,0,0,0,0,0,0,0,0
"165","yqgB",0,1,0,0,0,0,0,0,0,0,0,0
"166","tilS",0,1,0,0,0,0,0,0,0,0,0,0
"167","yebO",0,1,0,0,0,0,0,0,0,0,0,0
"168","yihL",0,1,0,0,0,0,0,0,0,0,0,0
"169","rnpA",0,1,0,0,0,0,0,0,0,0,0,0
"170","pyrG",0,1,0,0,0,0,0,0,0,0,0,0
"171","yebC",0,1,0,0,0,0,0,0,0,0,0,0
"172","ybgC",0,1,0,0,0,0,0,0,0,0,0,0
"173","pyrF",1,0,1,0,0,0,0,0,0,0,0,0
"174","rpsK",1,0,0,0,0.5,0,0.5,0,0,0,0,0
"175","gsk",0,1,0,0,0,0,0,0,0,0,0,0
"176","queA",0,1,0,0,0,0,0,0,0,0,0,0
"177","rpmD",0,1,0,0,0,0,0,0,0,0,0,0
"178","rplK",0,1,0,0,0,0,0,0,0,0,0,0
"179","rpsT",0,1,0,0,0,0,0,0,0,0,0,0
"180","entD",1,0,0,1,0,0,0,0,0,0,0,0
"181","ydcL",0,1,0,0,0,0,0,0,0,0,0,0
"182","rpsE",0,1,0,0,0,0,0,0,0,0,0,0
"183","prfB",0,1,0,0,0,0,0,0,0,0,0,0
"184","argA",1,0,0,0,1,0,0,0,0,0,0,0
"185","rpsF",1,0,0,1,0,0,0,0,0,0,0,0
"186","yadC",0,1,0,0,0,0,0,0,0,0,0,0
"187","lpxK",0,1,0,0,0,0,0,0,0,0,0,0
"188","proX",1,0,0.166666666666667,0.25,0,0.25,0,0,0.25,0.0833333333333333,0,0
"189","rplQ",1,0,0,0,0.5,0,0.5,0,0,0,0,0
"190","rpsH",1,0,0,0,1,0,0,0,0,0,0,0
"191","mipA",0,1,0,0,0,0,0,0,0,0,0,0
"192","serC",0,1,0,0,0,0,0,0,0,0,0,0
"193","fecR",0,1,0,0,0,0,0,0,0,0,0,0
"194","yhdZ",1,0,1,0,0,0,0,0,0,0,0,0
"195","thiL",1,0,0.5,0.5,0,0,0,0,0,0,0,0
"196","purM",1,0,0,0,0.5,0,0,0.5,0,0,0,0
"197","rplX",0,1,0,0,0,0,0,0,0,0,0,0
"198","aroM",1,0,0,0.5,0.5,0,0,0,0,0,0,0
"199","yhgF",0,1,0,0,0,0,0,0,0,0,0,0
"200","metG",0,1,0,0,0,0,0,0,0,0,0,0
"201","ilvH",0,1,0,0,0,0,0,0,0,0,0,0
"202","ycdZ",0,1,0,0,0,0,0,0,0,0,0,0
"203","rpmC",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"204","yjfC",0,1,0,0,0,0,0,0,0,0,0,0
"205","rpsG",0,1,0,0,0,0,0,0,0,0,0,0
"206","cvpA",1,0,0,0,1,0,0,0,0,0,0,0
"207","cusC",1,0,0.5,0,0,0.5,0,0,0,0,0,0
"208","prmA",0,1,0,0,0,0,0,0,0,0,0,0
"209","araF",1,0,0.272727272727273,0.272727272727273,0,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0,0
"210","rpsJ",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"211","atpB",0,1,0,0,0,0,0,0,0,0,0,0
"212","metK",1,0,0,0.333333333333333,0.333333333333333,0,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0
"213","bipA",0,1,0,0,0,0,0,0,0,0,0,0
"214","atpI",0,1,0,0,0,0,0,0,0,0,0,0
"215","feoB",1,0,0.2,0.4,0,0,0,0,0.4,0,0,0
"216","ldrC",0,1,0,0,0,0,0,0,0,0,0,0
"217","ydiY",0,1,0,0,0,0,0,0,0,0,0,0
"218","rplB",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0
"219","rffG",0,1,0,0,0,0,0,0,0,0,0,0
"220","soxS",1,0,0.0625,0.5,0.375,0,0.0625,0,0,0,0,0
"221","tauA",1,0,0.2,0.4,0,0,0,0,0.2,0,0.2,0
"222","adk",0,1,0,0,0,0,0,0,0,0,0,0
"223","nlpA",1,0,0,1,0,0,0,0,0,0,0,0
"224","yjjG",0,1,0,0,0,0,0,0,0,0,0,0
"225","yajR",0,1,0,0,0,0,0,0,0,0,0,0
"226","fhuC",0,1,0,0,0,0,0,0,0,0,0,0
