"","V1","FBL_number","No_FBL","FBL"
"510","rzoR",0,0,1
"511","ryfA",0,0,1
"512","ygaQ",0,0,1
"513","ydfJ",0,0,1
"514","yagH",0,0,1
"515","ybgP",0,0,1
"516","ybbA",0,0,1
"517","ybaP",0,0,1
"518","ybaM",0,0,1
"519","ybcN",0,0,1
"520","etp",0,0,1
"521","ybfG",0,0,1
"522","perR",0,0,1
"523","ybiA",0,0,1
"524","gsiA",0,0,1
"525","ybjO",0,0,1
"526","mltG",0,0,1
"527","paoB",0,0,1
"528","sieB",0,0,1
"529","ydiK",0,0,1
"530","ydjX",0,0,1
"531","yiaC",0,0,1
"532","yedP",0,0,1
"533","wcaL",0,0,1
"534","wcaC",0,0,1
"535","yehP",0,0,1
"536","ypdE",0,0,1
"537","eutP",0,0,1
"538","eutQ",0,0,1
"539","eutT",0,0,1
"540","yfhH",0,0,1
"541","afuB",0,0,1
"542","ygcR",0,0,1
"543","yqcE",0,0,1
"544","yqeI",0,0,1
"545","ygeL",0,0,1
"546","pbl",0,0,1
"547","ygfF",0,0,1
"548","yggL",0,0,1
"549","yghU",0,0,1
"550","rcbA",0,0,1
"551","ybfB",0,0,1
"552","eutJ",0,0,1
"553","agaA",0,0,1
"554","yraI",0,0,1
"555","rsmI",0,0,1
"556","yhhL",0,0,1
"557","yhhJ",0,0,1
"558","yhhH",0,0,1
"559","yhjY",0,0,1
"560","yidI",0,0,1
"561","yidR",0,0,1
"562","hemY",0,0,1
"563","frvX",0,0,1
"564","frvR",0,0,1
"565","frvB",0,0,1
"566","yjcE",0,0,1
"567","mdtP",0,0,1
"568","yjgL",0,0,1
"569","insG",0,0,1
"570","ecpB",0,0,1
"571","yjhE",0,0,1
"572","yjiG",0,0,1
"573","uacT",0,0,1
"574","yedD",0,0,1
"575","ypdI",0,0,1
"576","ymgF",0,0,1
"577","yicS",0,0,1
"578","yjiV",0,0,1
"579","rdlC",0,0,1
"580","yedN",0,0,1
"581","rdlA",0,0,1
"582","rdlB",0,0,1
"583","insZ",0,0,1
"584","yoeA",0,0,1
"585","ypfM",0,0,1
"586","sokA",0,0,1
"587","ybfI",0,0,1
"588","ythA",0,0,1
"589","yjhY",0,0,1
"590","rzoQ",0,0,1
"591","ibsA",0,0,1
"592","ibsB",0,0,1
"593","ibsE",0,0,1
"594","eyeA",0,0,1
"595","yohP",0,0,1
"596","yoaK",0,0,1
"597","yoaJ",0,0,1
"598","yjhR",0,0,1
"599","yaaI",0,0,1
"600","lfhA",0,0,1
"601","ykfC",0,0,1
"602","sfmF",0,0,1
"603","yaiI",0,0,1
"604","ybbD",0,0,1
"605","fetB",0,0,1
"606","ybeF",0,0,1
"607","cobC",0,0,1
"608","pxpC",0,0,1
"609","ybgD",0,0,1
"610","ycbX",0,0,1
"611","yceO",0,0,1
"612","yceF",0,0,1
"613","yfjS",0,0,1
"614","ycfT",0,0,1
"615","ymfA",0,0,1
"616","ymfJ",0,0,1
"617","tfaE",0,0,1
"618","tfaP",0,0,1
"619","ycfK",0,0,1
"620","yghE",0,0,1
"621","rzpR",0,0,1
"622","ydbH",0,0,1
"623","rem",0,0,1
"624","ynfL",0,0,1
"625","rsxC",0,0,1
"626","tqsA",0,0,1
"627","rsxB",0,0,1
"628","ydaY",0,0,1
"629","ydjG",0,0,1
"630","mmuP",0,0,1
"631","letA",0,0,1
"632","yecN",0,0,1
"633","yfcS",0,0,1
"634","yfdS",0,0,1
"635","cbeA",0,0,1
"636","cbtA",0,0,1
"637","wbbJ",0,0,1
"638","yehC",0,0,1
"639","yegW",0,0,1
"640","yehA",0,0,1
"641","yohD",0,0,1
"642","elaD",0,0,1
"643","fumE",0,0,1
"644","yfeN",0,0,1
"645","yfeH",0,0,1
"646","yfjZ",0,0,1
"647","truC",0,0,1
"648","yahC",0,0,1
"649","yqgE",0,0,1
"650","yggM",0,0,1
"651","ygjQ",0,0,1
"652","ypjC",0,0,1
"653","yhcF",0,0,1
"654","php",0,0,1
"655","yhgN",0,0,1
"656","yhiL",0,0,1
"657","intE",0,0,1
"658","ysaA",0,0,1
"659","yidP",0,0,1
"660","rarD",0,0,1
"661","yigF",0,0,1
"662","frvA",0,0,1
"663","yiiX",0,0,1
"664","ptsA",0,0,1
"665","fsaB",0,0,1
"666","yijF",0,0,1
"667","ycfL",0,0,1
"668","mdtN",0,0,1
"669","yjeO",0,0,1
"670","yjfI",0,0,1
"671","ybaA",0,0,1
"672","yjiS",0,0,1
"673","ykfA",0,0,1
"674","yjhQ",0,0,1
"675","fryC",0,0,1
"676","ubiV",0,0,1
"677","yaaY",0,0,1
"678","pmrR",0,0,1
"679","ypdJ",0,0,1
"680","topAI",0,0,1
"681","agrA",0,0,1
"682","rydB",0,0,1
"683","yigE",0,0,1
"684","ycgH",0,0,1
"685","sraB",0,0,1
