"","V1","Loop_number","No_loop","Loop"
"425","fkpB",2,0,1
"426","bolA",3,0,1
"427","pnp",8,0,1
"428","yfgJ",0,0,1
"429","yhcO",0,0,1
"430","prc",0,0,1
"431","dkgA",1,0,1
"432","narL",1,0,1
"433","pepT",0,0,1
"434","trg",1,0,1
"435","fadB",3,0,1
"436","aroC",0,0,1
"437","aroB",0,0,1
"438","holB",0,0,1
"439","nrdB",6,0,1
"440","secF",0,0,1
"441","ydcJ",0,0,1
"442","ydfK",0,0,1
"443","yeaH",1,0,1
"444","ygaM",0,0,1
"445","bioA",0,0,1
"446","melR",1,0,1
"447","yejO",0,0,1
"448","pta",1,0,1
"449","sodC",0,0,1
"450","ecnB",1,0,1
"451","yeaO",0,0,1
"452","fabA",1,0,1
"453","ycgB",0,0,1
"454","blc",0,0,1
"455","fadD",3,0,1
"456","yfcG",0,0,1
"457","recJ",5,0,1
"458","fbaB",0,0,1
"459","ychF",1,0,1
"460","pdxA",0,0,1
"461","pyrI",0,0,1
"462","slmA",0,0,1
"463","rluD",0,0,1
"464","xylE",3,0,1
"465","yjdI",0,0,1
"466","ydcI",0,0,1
"467","rihB",0,0,1
"468","ydbL",0,0,1
"469","ldhA",0,0,1
"470","ssuB",4,0,1
"471","yggF",0,0,1
"472","ytjA",0,0,1
"473","yidE",0,0,1
"474","rbfA",4,0,1
"475","yjfY",0,0,1
"476","yohJ",0,0,1
"477","csgC",16,0,1
"478","ynfN",0,0,1
"479","ymgE",0,0,1
"480","gspF",2,0,1
"481","iclR",0,0,1
"482","flgA",2,0,1
"483","proW",7,0,1
"484","flhB",2,0,1
"485","csdA",0,0,1
"486","ribF",0,0,1
"487","yjdC",0,0,1
"488","msbA",0,0,1
"489","narX",2,0,1
"490","aspS",0,0,1
"491","asnS",0,0,1
"492","otsA",0,0,1
"493","ybdG",0,0,1
"494","leuS",0,0,1
"495","folC",0,0,1
"496","hscB",0,0,1
"497","parC",0,0,1
"498","cof",0,0,1
"499","yciK",0,0,1
"500","ftsN",0,0,1
"501","yciT",0,0,1
"502","accA",3,0,1
"503","ispH",2,0,1
"504","rpoD",2,0,1
"505","ansP",0,0,1
"506","yhhS",0,0,1
"507","ligA",0,0,1
"508","pepA",0,0,1
"509","trkH",0,0,1
"510","sapA",0,0,1
"511","cysS",0,0,1
"512","topA",5,0,1
"513","ynfC",0,0,1
"514","ybaB",0,0,1
"515","waaQ",0,0,1
"516","sbcD",2,0,1
"517","glmS",1,0,1
"518","yheS",0,0,1
"519","udk",0,0,1
"520","nupC",3,0,1
"521","glyQ",0,0,1
"522","dsbD",0,0,1
"523","hisS",0,0,1
"524","rfbB",0,0,1
"525","bcp",0,0,1
"526","pspE",2,0,1
"527","ybjL",0,0,1
"528","nhaR",6,0,1
"529","dsbG",0,0,1
"530","ypjD",0,0,1
"531","pheT",0,0,1
"532","rpmA",3,0,1
"533","waaG",0,0,1
"534","fabF",0,0,1
"535","ydbJ",0,0,1
"536","waaA",1,0,1
"537","menE",0,0,1
"538","yobD",0,0,1
"539","creB",3,0,1
"540","narP",0,0,1
"541","yciA",0,0,1
"542","prfA",8,0,1
"543","valS",2,0,1
"544","yibN",2,0,1
"545","dacA",0,0,1
"546","recF",2,0,1
"547","evgS",5,0,1
"548","ileS",2,0,1
"549","ispG",0,0,1
"550","gyrA",5,0,1
"551","yqaA",0,0,1
"552","rfbA",0,0,1
"553","yjjA",0,0,1
"554","blr",0,0,1
"555","katE",1,0,1
"556","ibpA",2,0,1
"557","lolB",0,0,1
"558","yggT",0,0,1
"559","ydgK",0,0,1
"560","yccS",0,0,1
"561","sspB",0,0,1
"562","proY",0,0,1
"563","yjeH",2,0,1
"564","ybcI",0,0,1
"565","acrD",4,0,1
"566","holC",0,0,1
"567","acpT",0,0,1
"568","dacB",0,0,1
"569","accB",1,0,1
"570","dnaE",0,0,1
"571","rdgC",0,0,1
"572","yehM",0,0,1
"573","usg",0,0,1
"574","gudD",0,0,1
"575","nrdA",6,0,1
"576","ygeA",3,0,1
"577","evgA",2,0,1
"578","aat",0,0,1
"579","rpsU",4,0,1
"580","yfcO",0,0,1
"581","ispD",0,0,1
"582","tdk",0,0,1
"583","aroK",1,0,1
"584","aphA",0,0,1
"585","truB",4,0,1
"586","tyrP",4,0,1
"587","trxC",1,0,1
"588","purE",1,0,1
"589","hycH",7,0,1
"590","ibpB",8,0,1
"591","glpG",0,0,1
"592","ucpA",0,0,1
"593","ygdD",0,0,1
"594","fhuA",1,0,1
"595","artQ",2,0,1
"596","yqgF",0,0,1
"597","sbmC",0,0,1
"598","yfaA",0,0,1
"599","hisA",2,0,1
"600","yghW",0,0,1
"601","ygbA",0,0,1
"602","rnhB",0,0,1
"603","waaC",5,0,1
"604","infB",4,0,1
"605","yceJ",2,0,1
"606","yigL",0,0,1
"607","frwC",0,0,1
"608","dgoK",3,0,1
"609","dgoA",3,0,1
"610","ybgS",0,0,1
"611","hcaB",0,0,1
"612","recX",2,0,1
"613","nac",3,0,1
"614","yigB",0,0,1
"615","appY",5,0,1
"616","bioF",0,0,1
"617","mtr",7,0,1
"618","yaeF",0,0,1
"619","bcsC",0,0,1
"620","yegS",0,0,1
"621","yigZ",0,0,1
"622","exuR",4,0,1
"623","yicH",0,0,1
"624","fxsA",0,0,1
"625","yciU",0,0,1
"626","lexA",0,0,1
"627","yfaS",0,0,1
"628","yaaX",0,0,1
"629","talA",1,0,1
"630","galU",0,0,1
"631","asnC",0,0,1
"632","trpE",3,0,1
"633","pfkB",0,0,1
"634","fbp",0,0,1
"635","bfr",0,0,1
"636","ugpA",1,0,1
"637","ascG",0,0,1
"638","ybaY",0,0,1
"639","sgcX",0,0,1
"640","cadC",6,0,1
"641","ydhK",0,0,1
"642","yliI",0,0,1
"643","yeaG",2,0,1
"644","ybaQ",0,0,1
"645","chaB",0,0,1
"646","dcrB",0,0,1
"647","sapF",0,0,1
"648","ypfJ",0,0,1
"649","ycaN",0,0,1
"650","yggE",0,0,1
"651","yjjV",0,0,1
"652","yohC",0,0,1
"653","yaeR",0,0,1
"654","yjbJ",0,0,1
"655","ssuC",4,0,1
"656","ssuA",4,0,1
"657","narK",12,0,1
"658","ssuE",5,0,1
"659","degP",1,0,1
"660","ydeM",3,0,1
"661","metB",1,0,1
"662","mazG",4,0,1
"663","yfiR",2,0,1
"664","rpmI",5,0,1
"665","nuoM",14,0,1
"666","pbpG",0,0,1
"667","ygjK",0,0,1
"668","cysI",4,0,1
"669","holE",0,0,1
"670","dmsC",12,0,1
"671","dppF",7,0,1
"672","thiG",0,0,1
"673","thiF",0,0,1
"674","thiH",0,0,1
"675","thiE",0,0,1
"676","cpxP",3,0,1
"677","thiC",0,0,1
"678","thiS",0,0,1
"679","sohB",3,0,1
"680","bioD",0,0,1
"681","yneJ",0,0,1
"682","mltD",0,0,1
"683","gnsB",0,0,1
"684","accC",3,0,1
"685","ycaP",0,0,1
"686","ycaD",0,0,1
"687","yegP",0,0,1
"688","ubiX",1,0,1
"689","allB",0,0,1
"690","kch",0,0,1
"691","cspE",5,0,1
"692","yegZ",0,0,1
"693","tadA",0,0,1
"694","amiA",3,0,1
"695","carB",6,0,1
"696","ampG",0,0,1
"697","cysB",1,0,1
"698","uxaB",3,0,1
"699","cysP",2,0,1
"700","ykiA",0,0,1
"701","yfeR",0,0,1
"702","araH",5,0,1
"703","yahK",0,0,1
"704","ybiO",0,0,1
"705","yohF",0,0,1
"706","ydeI",0,0,1
"707","pphA",1,0,1
"708","gcl",0,0,1
"709","yghA",0,0,1
"710","ydfE",0,0,1
"711","ldcC",0,0,1
"712","ydeJ",1,0,1
"713","yrbL",1,0,1
"714","dsdX",2,0,1
"715","asnB",1,0,1
"716","ssnA",1,0,1
"717","dppD",7,0,1
"718","bglB",18,0,1
"719","ygiV",0,0,1
"720","yhjD",0,0,1
"721","ybhP",0,0,1
"722","yncG",0,0,1
"723","ybcM",0,0,1
"724","yqjK",0,0,1
"725","gntP",5,0,1
"726","artJ",1,0,1
"727","yqcA",0,0,1
"728","yibJ",0,0,1
"729","frmB",0,0,1
"730","uxuA",9,0,1
"731","argD",1,0,1
"732","lpxC",5,0,1
"733","ydjF",0,0,1
"734","dksA",1,0,1
"735","uidA",1,0,1
"736","ompA",1,0,1
