"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg"
"58","metJ",0,1,0,0,0,0,0,0,0,0,0,0
"59","mdtJ",1,0,0,0,1,0,0,0,0,0,0,0
"60","yjjI",0,1,0,0,0,0,0,0,0,0,0,0
"61","fepD",0,1,0,0,0,0,0,0,0,0,0,0
"62","yieP",0,1,0,0,0,0,0,0,0,0,0,0
"63","ybiV",0,1,0,0,0,0,0,0,0,0,0,0
"64","galP",1,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0
"65","ispA",0,1,0,0,0,0,0,0,0,0,0,0
"66","ypeC",0,1,0,0,0,0,0,0,0,0,0,0
"67","metJ",0,1,0,0,0,0,0,0,0,0,0,0
"68","yieP",0,1,0,0,0,0,0,0,0,0,0,0
"69","ispA",0,1,0,0,0,0,0,0,0,0,0,0
"70","ybiV",0,1,0,0,0,0,0,0,0,0,0,0
"71","miaA",1,0,1,0,0,0,0,0,0,0,0,0
"72","rplY",0,1,0,0,0,0,0,0,0,0,0,0
"73","ybfA",0,1,0,0,0,0,0,0,0,0,0,0
"74","soxS",1,0,0.0625,0.5,0.375,0,0.0625,0,0,0,0,0
"75","ndh",1,0,0,0,0.736842105263158,0,0.105263157894737,0.0526315789473684,0,0,0,0.105263157894737
"76","ynfM",0,1,0,0,0,0,0,0,0,0,0,0
"77","fdhF",1,0,0.5,0.333333333333333,0,0,0,0,0,0.166666666666667,0,0
"78","ydbK",1,0,0.5,0,0,0.5,0,0,0,0,0,0
"79","ybjX",0,1,0,0,0,0,0,0,0,0,0,0
"80","osmE",1,0,0,0.125,0.125,0,0.1875,0.1875,0.0625,0.1875,0,0.125
"81","rof",0,1,0,0,0,0,0,0,0,0,0,0
"82","holB",0,1,0,0,0,0,0,0,0,0,0,0
"83","ygiW",0,1,0,0,0,0,0,0,0,0,0,0
"84","ldhA",1,0,1,0,0,0,0,0,0,0,0,0
"85","rbfA",1,0,0,0.5,0.25,0.25,0,0,0,0,0,0
"86","proV",1,0,0.166666666666667,0.25,0,0.25,0,0,0.25,0.0833333333333333,0,0
"87","proW",1,0,0.166666666666667,0.25,0,0.25,0,0,0.25,0.0833333333333333,0,0
"88","yccA",0,1,0,0,0,0,0,0,0,0,0,0
"89","yjiX",0,1,0,0,0,0,0,0,0,0,0,0
"90","proP",1,0,0.428571428571429,0,0,0.142857142857143,0,0,0.428571428571429,0,0,0
"91","rdgC",0,1,0,0,0,0,0,0,0,0,0,0
"92","nrdA",1,0,0.125,0.5,0.125,0.125,0,0,0,0,0.125,0
"93","evgA",1,0,0,0.4,0,0,0.2,0,0.2,0.2,0,0
"94","slt",1,0,1,0,0,0,0,0,0,0,0,0
"95","ynfB",1,0,0,0.2,0,0.2,0.4,0,0,0,0.2,0
"96","dcrB",0,1,0,0,0,0,0,0,0,0,0,0
"97","dppC",1,0,0.1,0.2,0.1,0.3,0,0,0,0,0.2,0.1
"98","asnB",1,0,0.285714285714286,0.428571428571429,0,0.285714285714286,0,0,0,0,0,0
"99","yciF",1,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0
"100","yciE",1,0,0,0.5,0,0,0,0,0.25,0.25,0,0
"101","dinJ",1,0,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0,0
"102","ytfE",1,0,0,1,0,0,0,0,0,0,0,0
"103","ytfH",0,1,0,0,0,0,0,0,0,0,0,0
"104","treF",0,1,0,0,0,0,0,0,0,0,0,0
"105","yeaY",0,1,0,0,0,0,0,0,0,0,0,0
"106","yjgM",0,1,0,0,0,0,0,0,0,0,0,0
"107","htpX",1,0,0,0.5,0,0,0,0,0,0.5,0,0
"108","cbl",1,0,0.428571428571429,0.428571428571429,0,0,0.142857142857143,0,0,0,0,0
"109","yceK",0,1,0,0,0,0,0,0,0,0,0,0
"110","uspG",0,1,0,0,0,0,0,0,0,0,0,0
