"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"124","melA",0,1,0,0,0,0,0,0,0,0,0,0,0
"125","ilvE",0,1,0,0,0,0,0,0,0,0,0,0,0
"126","yddA",0,1,0,0,0,0,0,0,0,0,0,0,0
"127","cysE",1,0,0,0,1,0,0,0,0,0,0,0,0
"128","sanA",0,1,0,0,0,0,0,0,0,0,0,0,0
"129","manY",1,0,0.0588235294117647,0.470588235294118,0.235294117647059,0.0588235294117647,0,0,0,0.0588235294117647,0.117647058823529,0,0
"130","hisQ",1,0,0.384615384615385,0.461538461538462,0.153846153846154,0,0,0,0,0,0,0,0
"131","dfp",0,1,0,0,0,0,0,0,0,0,0,0,0
"132","ydiP",0,1,0,0,0,0,0,0,0,0,0,0,0
"133","maoP",0,1,0,0,0,0,0,0,0,0,0,0,0
"134","ycjY",0,1,0,0,0,0,0,0,0,0,0,0,0
"135","tdh",0,1,0,0,0,0,0,0,0,0,0,0,0
"136","ybjJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"137","yhfK",0,1,0,0,0,0,0,0,0,0,0,0,0
"138","yibQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"139","ccmF",1,0,0.242424242424242,0.0909090909090909,0,0.545454545454545,0,0,0.121212121212121,0,0,0,0
"140","nth",0,1,0,0,0,0,0,0,0,0,0,0,0
"141","recC",1,0,0.3125,0,0,0.6875,0,0,0,0,0,0,0
"142","preA",0,1,0,0,0,0,0,0,0,0,0,0,0
"143","gsiC",0,1,0,0,0,0,0,0,0,0,0,0,0
"144","aegA",0,1,0,0,0,0,0,0,0,0,0,0,0
"145","entH",1,0,0,1,0,0,0,0,0,0,0,0,0
"146","rpsQ",1,0,0,0.375,0.375,0,0.25,0,0,0,0,0,0
"147","fepD",0,1,0,0,0,0,0,0,0,0,0,0,0
"148","dtpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"149","yfeD",0,1,0,0,0,0,0,0,0,0,0,0,0
"150","entS",0,1,0,0,0,0,0,0,0,0,0,0,0
"151","aqpZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"152","gltL",1,0,0.36,0,0,0.64,0,0,0,0,0,0,0
"153","cycA",1,0,0.2,0.45,0.15,0.05,0.1,0,0.05,0,0,0,0
"154","aroF",1,0,0,0.5,0,0,0.5,0,0,0,0,0,0
"155","gcvP",1,0,0.428571428571429,0.428571428571429,0,0,0.142857142857143,0,0,0,0,0,0
"156","yebY",0,1,0,0,0,0,0,0,0,0,0,0,0
"157","mutM",1,0,0,0.75,0.25,0,0,0,0,0,0,0,0
"158","mdtC",1,0,1,0,0,0,0,0,0,0,0,0,0
"159","exbD",0,1,0,0,0,0,0,0,0,0,0,0,0
"160","ydhW",1,0,0.166666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.166666666666667,0,0,0
"161","crl",0,1,0,0,0,0,0,0,0,0,0,0,0
"162","znuB",0,1,0,0,0,0,0,0,0,0,0,0,0
"163","ghoT",0,1,0,0,0,0,0,0,0,0,0,0,0
"164","torD",1,0,0,1,0,0,0,0,0,0,0,0,0
"165","gltP",1,0,0,0.75,0.25,0,0,0,0,0,0,0,0
"166","agaV",1,0,0,1,0,0,0,0,0,0,0,0,0
"167","sucB",1,0,0.103448275862069,0.310344827586207,0.137931034482759,0,0.172413793103448,0.0689655172413793,0.0689655172413793,0.0689655172413793,0,0.0689655172413793,0
"168","yafD",1,0,1,0,0,0,0,0,0,0,0,0,0
"169","ilvM",1,0,0,0,1,0,0,0,0,0,0,0,0
"170","cdsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"171","pyrD",1,0,0,0,0.5,0,0.5,0,0,0,0,0,0
"172","glgC",1,0,0.166666666666667,0.416666666666667,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0
"173","amn",0,1,0,0,0,0,0,0,0,0,0,0,0
"174","uhpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"175","ybhG",0,1,0,0,0,0,0,0,0,0,0,0,0
"176","smrA",0,1,0,0,0,0,0,0,0,0,0,0,0
"177","pck",1,0,1,0,0,0,0,0,0,0,0,0,0
"178","rimJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"179","iscA",1,0,0,0,1,0,0,0,0,0,0,0,0
"180","chaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"181","ydhR",0,1,0,0,0,0,0,0,0,0,0,0,0
"182","pflB",1,0,0.351351351351351,0.324324324324324,0.027027027027027,0.0810810810810811,0.108108108108108,0,0.0540540540540541,0,0.0540540540540541,0,0
