"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"172","pgi",1,0,0,1,0,0,0,0,0,0
"173","galT",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"174","yhdH",0,1,0,0,0,0,0,0,0,0
"175","ynfH",1,0,0,0.5,0.25,0,0,0,0.25,0
"176","sodB",1,0,0,0,0,0,0.428571428571429,0,0.571428571428571,0
"177","sstT",1,0,0,0,0,0,0.5,0,0.5,0
"178","nadB",0,1,0,0,0,0,0,0,0,0
"179","ybjI",0,1,0,0,0,0,0,0,0,0
"180","purT",1,0,0,0.5,0,0,0,0,0.5,0
"181","fdoI",0,1,0,0,0,0,0,0,0,0
"182","exbB",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"183","yebZ",0,1,0,0,0,0,0,0,0,0
"184","cyoC",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"185","pnuC",0,1,0,0,0,0,0,0,0,0
"186","rutE",1,0,0,1,0,0,0,0,0,0
"187","yeiE",0,1,0,0,0,0,0,0,0,0
"188","yncD",0,1,0,0,0,0,0,0,0,0
"189","moeA",1,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0
"190","melA",1,0,0,1,0,0,0,0,0,0
"191","grpE",0,1,0,0,0,0,0,0,0,0
"192","cyoE",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"193","ilvE",1,0,0,0,0,0,0,0,1,0
"194","yddA",0,1,0,0,0,0,0,0,0,0
"195","cysE",0,1,0,0,0,0,0,0,0,0
"196","sanA",0,1,0,0,0,0,0,0,0,0
"197","manY",1,0,0,0.285714285714286,0,0,0.142857142857143,0,0.428571428571429,0.142857142857143
"198","hisQ",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"199","dfp",0,1,0,0,0,0,0,0,0,0
"200","ydiP",0,1,0,0,0,0,0,0,0,0
"201","cyoB",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"202","ycjY",0,1,0,0,0,0,0,0,0,0
"203","tdh",1,0,0,1,0,0,0,0,0,0
"204","ybjJ",0,1,0,0,0,0,0,0,0,0
"205","yhfK",0,1,0,0,0,0,0,0,0,0
"206","yibQ",0,1,0,0,0,0,0,0,0,0
"207","ccmF",1,0,0,0.5,0.166666666666667,0,0,0,0.333333333333333,0
"208","nth",0,1,0,0,0,0,0,0,0,0
"209","recC",1,0,0,1,0,0,0,0,0,0
"210","aegA",0,1,0,0,0,0,0,0,0,0
"211","uvrY",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0
"212","fucR",1,0,0,1,0,0,0,0,0,0
"213","rpsQ",1,0,0,0.111111111111111,0,0.222222222222222,0.222222222222222,0,0.444444444444444,0
"214","fepD",1,0,0,0,0,0,0,0,1,0
"215","aroP",1,0,0,0.5,0,0,0,0,0.5,0
"216","yfeD",0,1,0,0,0,0,0,0,0,0
"217","aqpZ",0,1,0,0,0,0,0,0,0,0
"218","gltL",1,0,0,1,0,0,0,0,0,0
"219","nrfB",1,0,0,0.75,0,0,0,0,0.25,0
"220","cycA",1,0,0.142857142857143,0,0.285714285714286,0,0.142857142857143,0.285714285714286,0,0.142857142857143
"221","aroF",1,0,0,0.5,0,0,0,0,0.5,0
"222","betB",1,0,0,0,0,0,0.25,0,0.75,0
"223","nadE",1,0,0,0,0,0,0,0,1,0
"224","gcvP",1,0,0,0.75,0,0,0,0,0.25,0
"225","yebY",0,1,0,0,0,0,0,0,0,0
"226","mutM",1,0,0,0,0,0,0,0,0,1
"227","mdtC",1,0,0,1,0,0,0,0,0,0
"228","rcsB",1,0,0,0,0,0,0,0,1,0
"229","exbD",1,0,0,0,0,0,0,0,1,0
"230","ydhW",1,0,0,0,1,0,0,0,0,0
"231","crl",0,1,0,0,0,0,0,0,0,0
"232","yieP",0,1,0,0,0,0,0,0,0,0
"233","znuB",1,0,0,1,0,0,0,0,0,0
"234","yeaC",0,1,0,0,0,0,0,0,0,0
"235","torD",1,0,0,0.5,0,0,0,0,0.5,0
"236","sdaB",0,1,0,0,0,0,0,0,0,0
"237","gltP",1,0,0.25,0,0.25,0,0.5,0,0,0
"238","agaV",1,0,0,0.5,0,0,0,0,0.5,0
"239","sucB",1,0,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0.277777777777778,0
"240","yafD",0,1,0,0,0,0,0,0,0,0
"241","aldA",1,0,0,0.461538461538462,0,0.0769230769230769,0.0769230769230769,0.153846153846154,0.230769230769231,0
"242","ilvM",1,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0
"243","codB",1,0,0,0,0,0,0,0,1,0
"244","cdsA",0,1,0,0,0,0,0,0,0,0
"245","pyrD",1,0,0,0,0,0,0,0,1,0
"246","yiaD",0,1,0,0,0,0,0,0,0,0
"247","glgC",1,0,0,0.333333333333333,0,0,0,0.166666666666667,0.5,0
"248","amn",1,0,0,0,0,1,0,0,0,0
"249","eco",0,1,0,0,0,0,0,0,0,0
"250","uhpB",0,1,0,0,0,0,0,0,0,0
"251","ybhG",1,0,0,0,0,0,0,0,1,0
"252","pck",1,0,0,1,0,0,0,0,0,0
"253","rimJ",0,1,0,0,0,0,0,0,0,0
"254","can",1,0,0,1,0,0,0,0,0,0
"255","iscA",1,0,0,0,0,0,0,0,1,0
"256","chaA",0,1,0,0,0,0,0,0,0,0
"257","ydhR",0,1,0,0,0,0,0,0,0,0
"258","pflB",1,0,0,0.4375,0.0625,0.0625,0,0.1875,0.25,0
"259","ydgJ",0,1,0,0,0,0,0,0,0,0
"260","acs",1,0,0.133333333333333,0.133333333333333,0,0.0666666666666667,0.133333333333333,0.0666666666666667,0.466666666666667,0
"261","asd",0,1,0,0,0,0,0,0,0,0
"262","tpx",1,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0
"263","emrD",1,0,0,0,0,1,0,0,0,0
"264","yjjP",0,1,0,0,0,0,0,0,0,0
"265","ydiE",0,1,0,0,0,0,0,0,0,0
"266","glgA",1,0,0,0.4,0,0,0,0.2,0.4,0
"267","yqaB",0,1,0,0,0,0,0,0,0,0
"268","glyA",1,0,0,0,0,0,0,0,1,0
"269","ais",0,1,0,0,0,0,0,0,0,0
"270","aroD",0,1,0,0,0,0,0,0,0,0
"271","folP",0,1,0,0,0,0,0,0,0,0
"272","yiiQ",0,1,0,0,0,0,0,0,0,0
"273","napH",1,0,0,0.428571428571429,0.142857142857143,0,0,0,0.428571428571429,0
"274","ccmH",1,0,0,0.428571428571429,0.285714285714286,0,0,0,0.285714285714286,0
"275","ybiV",0,1,0,0,0,0,0,0,0,0
"276","efp",0,1,0,0,0,0,0,0,0,0
"277","hemD",0,1,0,0,0,0,0,0,0,0
"278","yeaD",1,0,0,0,0,0,0,0,1,0
"279","nemA",1,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0
"280","pykF",1,0,0,1,0,0,0,0,0,0
"281","efeB",0,1,0,0,0,0,0,0,0,0
"282","yejG",0,1,0,0,0,0,0,0,0,0
"283","purC",1,0,0,0,0,0,0,0,1,0
"284","uspE",0,1,0,0,0,0,0,0,0,0
"285","cyoA",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"286","lldD",1,0,0,0,0,0,0,0,1,0
"287","ilvI",1,0,0,0,0,0,0,0,1,0
"288","glpK",1,0,0,0.5,0,0,0,0,0.5,0
"289","nrfC",1,0,0,0.75,0,0,0,0,0.25,0
"290","eda",1,0,0,0,0,0,0.25,0,0.75,0
"291","nirB",1,0,0.2,0.2,0,0,0.1,0.1,0.4,0
"292","pheP",0,1,0,0,0,0,0,0,0,0
"293","cysK",1,0,0,1,0,0,0,0,0,0
"294","csgE",1,0,0.0571428571428571,0.314285714285714,0.0428571428571429,0.285714285714286,0.0285714285714286,0.0857142857142857,0.171428571428571,0.0142857142857143
"295","napF",1,0,0,0.375,0.125,0,0,0,0.5,0
"296","ynaJ",0,1,0,0,0,0,0,0,0,0
"297","torA",1,0,0,0.5,0,0,0,0,0.5,0
"298","nanE",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0
"299","betA",1,0,0,0,0,0,0.25,0,0.75,0
"300","thiD",0,1,0,0,0,0,0,0,0,0
"301","ydhP",0,1,0,0,0,0,0,0,0,0
"302","galP",1,0,0,0.111111111111111,0,0,0.222222222222222,0,0.666666666666667,0
"303","yojI",1,0,0,1,0,0,0,0,0,0
"304","osmC",1,0,0,0.571428571428571,0,0.285714285714286,0,0,0.142857142857143,0
"305","cadA",1,0,0,0.434782608695652,0,0.260869565217391,0,0,0.217391304347826,0.0869565217391304
"306","yhbS",0,1,0,0,0,0,0,0,0,0
"307","sucA",1,0,0.0952380952380952,0.19047619047619,0.142857142857143,0.0476190476190476,0.142857142857143,0.0952380952380952,0.285714285714286,0
"308","msrB",1,0,0,0,0,0,0.25,0,0.75,0
"309","ung",0,1,0,0,0,0,0,0,0,0
"310","zraR",0,1,0,0,0,0,0,0,0,0
"311","tpiA",1,0,0,1,0,0,0,0,0,0
"312","trmH",1,0,0,0,0,0.5,0,0,0.5,0
"313","ybaN",0,1,0,0,0,0,0,0,0,0
"314","trpA",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"315","nrdG",1,0,0,0.25,0.25,0,0,0,0.5,0
"316","brnQ",0,1,0,0,0,0,0,0,0,0
"317","sdhC",1,0,0,0.214285714285714,0.285714285714286,0.142857142857143,0,0.0714285714285714,0.285714285714286,0
"318","add",1,0,0,1,0,0,0,0,0,0
"319","envC",0,1,0,0,0,0,0,0,0,0
"320","galE",1,0,0,0.25,0,0,0,0,0.75,0
"321","fumC",1,0,0,0.333333333333333,0,0.285714285714286,0.0952380952380952,0.0952380952380952,0.19047619047619,0
"322","bfd",0,1,0,0,0,0,0,0,0,0
"323","deoB",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"324","yjjW",0,1,0,0,0,0,0,0,0,0
"325","crr",1,0,0,0.571428571428571,0,0,0,0,0.428571428571429,0
"326","galK",1,0,0,0.25,0,0,0,0,0.75,0
"327","xseB",0,1,0,0,0,0,0,0,0,0
"328","kgtP",1,0,1,0,0,0,0,0,0,0
"329","wzzE",0,1,0,0,0,0,0,0,0,0
"330","moaB",0,1,0,0,0,0,0,0,0,0
"331","slyB",0,1,0,0,0,0,0,0,0,0
"332","fhuE",0,1,0,0,0,0,0,0,0,0
"333","yeeN",0,1,0,0,0,0,0,0,0,0
"334","hmp",1,0,0,0.25,0,0.25,0.25,0,0.25,0
"335","yfeX",0,1,0,0,0,0,0,0,0,0
"336","gltK",1,0,0,1,0,0,0,0,0,0
"337","yedE",0,1,0,0,0,0,0,0,0,0
"338","hisM",1,0,0,0.8,0,0,0,0,0.2,0
"339","putP",1,0,0,0,0,0,0.25,0,0.75,0
"340","speC",1,0,0,0,0,1,0,0,0,0
"341","menC",0,1,0,0,0,0,0,0,0,0
"342","moaE",0,1,0,0,0,0,0,0,0,0
"343","exuT",1,0,0,0,0.5,0,0,0.5,0,0
"344","ybjM",0,1,0,0,0,0,0,0,0,0
"345","iscU",1,0,0,0,0,0,0,0,1,0
"346","ilvC",1,0,0,1,0,0,0,0,0,0
"347","ybiT",0,1,0,0,0,0,0,0,0,0
"348","phoA",1,0,0,1,0,0,0,0,0,0
"349","yceH",0,1,0,0,0,0,0,0,0,0
"350","ulaD",1,0,0,0.25,0,0,0.5,0,0.25,0
"351","napA",1,0,0,0.428571428571429,0.142857142857143,0,0,0,0.428571428571429,0
"352","ubiE",0,1,0,0,0,0,0,0,0,0
"353","cusR",1,0,0,1,0,0,0,0,0,0
"354","potI",1,0,0,1,0,0,0,0,0,0
"355","ispA",0,1,0,0,0,0,0,0,0,0
"356","ylaC",0,1,0,0,0,0,0,0,0,0
"357","pldB",0,1,0,0,0,0,0,0,0,0
"358","yceB",0,1,0,0,0,0,0,0,0,0
"359","yjaH",0,1,0,0,0,0,0,0,0,0
"360","dsbA",1,0,0,1,0,0,0,0,0,0
"361","kefG",0,1,0,0,0,0,0,0,0,0
"362","adhE",1,0,0,0.6,0.2,0,0,0,0.2,0
"363","fepG",1,0,0,0,0,0,0,0,1,0
"364","nrdR",0,1,0,0,0,0,0,0,0,0
"365","menB",0,1,0,0,0,0,0,0,0,0
"366","pqqL",0,1,0,0,0,0,0,0,0,0
"367","ftsZ",1,0,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0.636363636363636,0
"368","glnH",1,0,0,0.25,0,0,0,0.75,0,0
"369","ypeC",0,1,0,0,0,0,0,0,0,0
"370","yqhD",0,1,0,0,0,0,0,0,0,0
"371","ubiB",0,1,0,0,0,0,0,0,0,0
"372","glnD",1,0,0,0.333333333333333,0,0.166666666666667,0,0.333333333333333,0.166666666666667,0
"373","thiM",0,1,0,0,0,0,0,0,0,0
"374","aroG",1,0,0,0.5,0,0,0,0,0.5,0
"375","ptsG",1,0,0,0.4,0,0,0,0,0.6,0
"376","ydcZ",0,1,0,0,0,0,0,0,0,0
"377","yhbW",1,0,0,0.5,0,0,0,0.5,0,0
"378","yhiM",1,0,0,0.2,0,0.4,0.2,0,0.2,0
"379","yibQ",0,1,0,0,0,0,0,0,0,0
"380","rutE",1,0,0,1,0,0,0,0,0,0
"381","mdtC",1,0,0,1,0,0,0,0,0,0
"382","rsxE",0,1,0,0,0,0,0,0,0,0
"383","cusR",1,0,0,1,0,0,0,0,0,0
"384","ydiP",0,1,0,0,0,0,0,0,0,0
"385","hybG",1,0,0,0,0,0,0,0,1,0
"386","ycgM",0,1,0,0,0,0,0,0,0,0
"387","ulaC",1,0,0,0.25,0,0,0.5,0,0.25,0
"388","yoaB",0,1,0,0,0,0,0,0,0,0
"389","ydjA",0,1,0,0,0,0,0,0,0,0
"390","rcsB",1,0,0,0,0,0,0,0,1,0
"391","trmA",0,1,0,0,0,0,0,0,0,0
"392","csrD",0,1,0,0,0,0,0,0,0,0
"393","zraR",0,1,0,0,0,0,0,0,0,0
"394","metJ",1,0,0,0,0,0,0,0,1,0
"395","speC",1,0,0,0,0,1,0,0,0,0
"396","uhpB",0,1,0,0,0,0,0,0,0,0
"397","fepG",1,0,0,0,0,0,0,0,1,0
"398","pck",1,0,0,1,0,0,0,0,0,0
"399","ybhG",1,0,0,0,0,0,0,0,1,0
"400","yieP",0,1,0,0,0,0,0,0,0,0
"401","grpE",0,1,0,0,0,0,0,0,0,0
"402","pgl",0,1,0,0,0,0,0,0,0,0
"403","pepD",1,0,0,0,0,0,0,0,1,0
"404","nrdI",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"405","hypD",1,0,0,0.6,0,0.2,0,0.2,0,0
"406","cyoE",1,0,0,0.222222222222222,0,0,0.166666666666667,0.111111111111111,0.333333333333333,0.166666666666667
"407","ccmH",1,0,0,0.428571428571429,0.285714285714286,0,0,0,0.285714285714286,0
"408","fadE",1,0,0,1,0,0,0,0,0,0
"409","gltL",1,0,0,1,0,0,0,0,0,0
"410","yncD",0,1,0,0,0,0,0,0,0,0
"411","moeA",1,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0,0,0.166666666666667,0
"412","kefB",0,1,0,0,0,0,0,0,0,0
"413","ybjM",0,1,0,0,0,0,0,0,0,0
"414","hybE",1,0,0,0,0,0,0,0,1,0
"415","mgsA",0,1,0,0,0,0,0,0,0,0
