"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"128","yjjI",0,1,0,0,0,0,0,0,0,0
"129","ogt",0,1,0,0,0,0,0,0,0,0
"130","mntH",1,0,0,0.25,0,0,0.25,0,0.5,0
"131","leuC",1,0,0,1,0,0,0,0,0,0
"132","shiA",1,0,0,1,0,0,0,0,0,0
"133","fdnI",1,0,0,1,0,0,0,0,0,0
"134","dcuS",1,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0
"135","leuB",1,0,0,1,0,0,0,0,0,0
"136","sdhB",1,0,0,0.375,0.25,0.125,0,0,0.25,0
"137","gcvR",0,1,0,0,0,0,0,0,0,0
"138","dadX",1,0,0,0,0,0,0,0,1,0
"139","entC",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0
"140","ravA",0,1,0,0,0,0,0,0,0,0
"141","selA",0,1,0,0,0,0,0,0,0,0
"142","fucK",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0
"143","iscR",1,0,0,0,0,0,0,0,1,0
"144","efeU",0,1,0,0,0,0,0,0,0,0
"145","manX",1,0,0,0.125,0.125,0,0.125,0,0.5,0.125
"146","ispU",0,1,0,0,0,0,0,0,0,0
"147","msrA",0,1,0,0,0,0,0,0,0,0
"148","fadE",1,0,0,1,0,0,0,0,0,0
"149","ugpC",1,0,0,1,0,0,0,0,0,0
"150","manZ",1,0,0,0.166666666666667,0,0,0.166666666666667,0,0.5,0.166666666666667
"151","ccmD",1,0,0,0.5,0.166666666666667,0,0,0,0.333333333333333,0
"152","rfe",1,0,0,0,0,0,0,0,1,0
"153","ydhY",1,0,0,0,1,0,0,0,0,0
"154","fdnH",1,0,0,1,0,0,0,0,0,0
"155","yhjE",1,0,0,0.5,0,0,0,0.5,0,0
"156","fepC",1,0,0,0,0,0,0,0,1,0
"157","mgsA",0,1,0,0,0,0,0,0,0,0
"158","sucC",1,0,0.1,0.2,0.15,0.05,0.1,0.1,0.3,0
"159","hypE",1,0,0,0.6,0,0.2,0,0.2,0,0
"160","gcvH",1,0,0,0.75,0,0,0,0,0.25,0
"161","tas",0,1,0,0,0,0,0,0,0,0
"162","folE",1,0,0,0,0,0,0,0,1,0
"163","csrD",0,1,0,0,0,0,0,0,0,0
"164","pykA",1,0,0,1,0,0,0,0,0,0
"165","yaeP",0,1,0,0,0,0,0,0,0,0
"166","trmA",0,1,0,0,0,0,0,0,0,0
"167","pepD",1,0,0,0,0,0,0,0,1,0
"168","edd",1,0,0,0.5,0,0,0,0,0.5,0
"169","yciH",1,0,0,1,0,0,0,0,0,0
"170","metE",1,0,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0
"171","dld",0,1,0,0,0,0,0,0,0,0
