"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"133","fepD",1,0,0,0,0,0,0,0,0,0,1
"134","yfeD",0,1,0,0,0,0,0,0,0,0,0
"135","aqpZ",0,1,0,0,0,0,0,0,0,0,0
"136","gltL",1,0,0,0,0,0,0,0,0,0,1
"137","cycA",1,0,0,0,0,0,0.142857142857143,0.285714285714286,0,0,0.571428571428571
"138","aroF",1,0,0,0,0,0,0,0,0,0,1
"139","gcvP",1,0,0,0,0,0,0,0,0,0,1
"140","yebY",0,1,0,0,0,0,0,0,0,0,0
"141","mutM",1,0,0,0,0,0,0,0,0,0,1
"142","mdtC",1,0,0,0,0,0,0,0,0,0,1
"143","exbD",1,0,0,0,0,0,0,0,0,0,1
"144","ydhW",1,0,0,0,0,0,0,0,0,0,1
"145","crl",0,1,0,0,0,0,0,0,0,0,0
"146","znuB",1,0,0,0,0,0,0,0,0,0,1
"147","torD",1,0,0,0,0,0,0,0,0,0,1
"148","gltP",1,0,0,0,0,0,0.25,0,0,0,0.75
"149","agaV",1,0,0,0,0,0,0,0,0,0,1
"150","sucB",1,0,0.111111111111111,0,0,0.0555555555555556,0.111111111111111,0,0,0,0.722222222222222
"151","yafD",0,1,0,0,0,0,0,0,0,0,0
"152","ilvM",1,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667
"153","cdsA",0,1,0,0,0,0,0,0,0,0,0
"154","pyrD",1,0,0,0,0,0,0,0,0,0,1
"155","glgC",1,0,0,0,0,0,0,0,0,0,1
"156","amn",1,0,0,0,0,0,0,0,0,0,1
"157","uhpB",0,1,0,0,0,0,0,0,0,0,0
"158","ybhG",1,0,0,0,0,0,0,0,0,0,1
"159","pck",1,0,0,0,0,0,0,0,0,0,1
"160","rimJ",0,1,0,0,0,0,0,0,0,0,0
"161","iscA",1,0,0,0,0,0,0,0,0,0,1
"162","chaA",0,1,0,0,0,0,0,0,0,0,0
"163","ydhR",0,1,0,0,0,0,0,0,0,0,0
"164","pflB",1,0,0,0.125,0,0,0,0.125,0.125,0,0.625
"165","ydgJ",0,1,0,0,0,0,0,0,0,0,0
"166","acs",1,0,0.133333333333333,0,0,0,0.133333333333333,0,0,0,0.733333333333333
"167","asd",0,1,0,0,0,0,0,0,0,0,0
"168","tpx",1,0,0,0,0,0,0,0,0,0,1
"169","emrD",1,0,0,0,0,0,0,0,0,0,1
"170","yjjP",0,1,0,0,0,0,0,0,0,0,0
"171","ydiE",0,1,0,0,0,0,0,0,0,0,0
"172","glgA",1,0,0,0,0,0,0,0,0,0,1
"173","yqaB",0,1,0,0,0,0,0,0,0,0,0
"174","ais",0,1,0,0,0,0,0,0,0,0,0
"175","aroD",0,1,0,0,0,0,0,0,0,0,0
"176","yiiQ",0,1,0,0,0,0,0,0,0,0,0
"177","napH",1,0,0,0,0,0,0,0,0.142857142857143,0,0.857142857142857
"178","ccmH",1,0,0,0,0,0,0,0,0.142857142857143,0,0.857142857142857
"179","ybiV",0,1,0,0,0,0,0,0,0,0,0
"180","efp",0,1,0,0,0,0,0,0,0,0,0
"181","hemD",0,1,0,0,0,0,0,0,0,0,0
"182","pykF",1,0,0,0,0,0,0,0,0,0,1
"183","efeB",0,1,0,0,0,0,0,0,0,0,0
"184","uspE",0,1,0,0,0,0,0,0,0,0,0
