"","V1","FBL","No_FBL","Inhibiting","Activating"
"631","ssuD",0,1,0,0
"632","tauA",0,1,0,0
"633","tauB",0,1,0,0
"634","tauC",0,1,0,0
"635","csgA",0,1,0,0
"636","csgD",1,0,1,0
"637","csgE",0,1,0,0
"638","csgF",0,1,0,0
"639","csgG",0,1,0,0
"640","iraP",0,1,0,0
"641","tcyJ",0,1,0,0
"642","yccT",0,1,0,0
"643","gadC",0,1,0,0
"644","gadE",1,0,0,1
"645","gadF",0,1,0,0
"646","gadX",1,0,0,1
"647","mdtE",0,1,0,0
"648","mdtF",0,1,0,0
"649","yhiD",0,1,0,0
"650","dctR",0,1,0,0
"651","glsA",0,1,0,0
"652","rpoS",1,0,0,1
"653","mcbA",0,1,0,0
"654","yciE",0,1,0,0
"655","yciF",0,1,0,0
"656","yciG",0,1,0,0
"657","metE",0,1,0,0
"658","metR",0,1,0,0
"659","prpB",0,1,0,0
"660","prpC",0,1,0,0
"661","prpD",0,1,0,0
"662","prpR",0,1,0,0
"663","adiA",0,1,0,0
"664","appC",0,1,0,0
"665","appX",0,1,0,0
"666","hyaA",0,1,0,0
"667","hyaB",0,1,0,0
"668","hyaC",0,1,0,0
"669","hyaD",0,1,0,0
"670","hyaE",0,1,0,0
"671","hyaF",0,1,0,0
"672","araA",0,1,0,0
"673","araB",0,1,0,0
"674","araC",0,1,0,0
"675","araF",0,1,0,0
"676","caiA",0,1,0,0
"677","ttdR",0,1,0,0
"678","mlrA",1,0,0,1
"679","galS",0,1,0,0
"680","mglA",0,1,0,0
"681","mglB",0,1,0,0
"682","mglC",0,1,0,0
"683","glcA",0,1,0,0
"684","glcB",0,1,0,0
"685","glcD",0,1,0,0
"686","glcE",0,1,0,0
"687","glcF",0,1,0,0
"688","glcG",0,1,0,0
"689","hcaR",0,1,0,0
"690","iscR",0,1,0,0
"691","nrdE",0,1,0,0
"692","nrdH",0,1,0,0
"693","nrdI",0,1,0,0
"694","sufA",0,1,0,0
"695","sufB",0,1,0,0
