"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"101","carA",1,0,0.130434782608696,0.391304347826087,0.130434782608696,0,0,0,0.173913043478261,0.0434782608695652,0.130434782608696,0,0
"102","coaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"103","codB",1,0,0,0,0,0,0,0,1,0,0,0,0
"104","cspD",1,0,0,0,0,0,0.25,0,0.5,0.25,0,0,0
"105","cvpA",1,0,0,1,0,0,0,0,0,0,0,0,0
"106","cydA",1,0,0,0.5,0,0,0,0,0,0.5,0,0,0
"107","cydB",1,0,0.5,0,0,0,0,0,0,0,0,0.5,0
"108","cydC",1,0,0.272727272727273,0.636363636363636,0.0909090909090909,0,0,0,0,0,0,0,0
"109","cydD",1,0,1,0,0,0,0,0,0,0,0,0,0
"110","dnaJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"111","dnaK",0,1,0,0,0,0,0,0,0,0,0,0,0
"112","dsbC",1,0,0,0.166666666666667,0.0833333333333333,0,0.166666666666667,0,0,0.25,0.166666666666667,0.166666666666667,0
"113","fdoH",0,1,0,0,0,0,0,0,0,0,0,0,0
"114","flgB",1,0,0.363636363636364,0,0,0.181818181818182,0,0,0.454545454545455,0,0,0,0
"115","flgC",1,0,0,0,0.363636363636364,0,0,0.181818181818182,0,0,0,0.454545454545455,0
"116","flgD",1,0,0,0.363636363636364,0,0,0.181818181818182,0,0,0.272727272727273,0.181818181818182,0,0
"117","flgE",1,0,0.363636363636364,0,0,0.181818181818182,0,0,0.454545454545455,0,0,0,0
"118","flgF",1,0,0,0.363636363636364,0,0,0.181818181818182,0,0,0.181818181818182,0.272727272727273,0,0
"119","flgG",1,0,0.363636363636364,0,0,0.181818181818182,0,0,0.454545454545455,0,0,0,0
"120","flgI",1,0,0,0,0.363636363636364,0,0,0.181818181818182,0,0,0,0.454545454545455,0
"121","flgJ",1,0,0,0.363636363636364,0,0,0.181818181818182,0,0,0.272727272727273,0.181818181818182,0,0
"122","flgK",0,1,0,0,0,0,0,0,0,0,0,0,0
"123","flgL",0,1,0,0,0,0,0,0,0,0,0,0,0
"124","gatA",1,0,0,1,0,0,0,0,0,0,0,0,0
"125","gatB",1,0,1,0,0,0,0,0,0,0,0,0,0
"126","gatC",1,0,0,1,0,0,0,0,0,0,0,0,0
"127","gatD",1,0,1,0,0,0,0,0,0,0,0,0,0
"128","gatZ",1,0,1,0,0,0,0,0,0,0,0,0,0
"129","glcC",1,0,0.2,0.4,0.2,0,0,0,0,0.2,0,0,0
"130","gltA",1,0,0.1,0.5,0.2,0,0,0,0,0.1,0,0.1,0
"131","gltB",1,0,0.184615384615385,0.338461538461538,0.123076923076923,0.0307692307692308,0.0153846153846154,0,0.107692307692308,0.0769230769230769,0.0923076923076923,0.0307692307692308,0
"132","gltD",1,0,0.430769230769231,0.2,0.0153846153846154,0.0307692307692308,0.0153846153846154,0,0.215384615384615,0.0461538461538462,0.0461538461538462,0,0
"133","gpmA",1,0,0,0.2,0,0,0,0.2,0,0.4,0,0.2,0
"134","grxA",0,1,0,0,0,0,0,0,0,0,0,0,0
"135","gshA",0,1,0,0,0,0,0,0,0,0,0,0,0
"136","gshB",0,1,0,0,0,0,0,0,0,0,0,0,0
"137","hemB",1,0,0,1,0,0,0,0,0,0,0,0,0
"138","hsdR",0,1,0,0,0,0,0,0,0,0,0,0,0
"139","hsdS",0,1,0,0,0,0,0,0,0,0,0,0,0
"140","hslJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"141","iap",0,1,0,0,0,0,0,0,0,0,0,0,0
"142","idi",0,1,0,0,0,0,0,0,0,0,0,0,0
"143","ispF",0,1,0,0,0,0,0,0,0,0,0,0,0
"144","kgtP",1,0,0,0,0,0,0,0,1,0,0,0,0
