"","V1","Loop_number","No_loop","Loop"
"561","nemA",2,0,1
"562","nuoG",29,0,1
"563","nuoH",29,0,1
"564","nuoI",29,0,1
"565","nuoJ",29,0,1
"566","nuoK",29,0,1
"567","nuoL",29,0,1
"568","ompR",4,0,1
"569","oppB",12,0,1
"570","oppC",12,0,1
"571","oppD",12,0,1
"573","pal",0,0,1
"575","pepB",0,0,1
"576","pepN",0,0,1
"578","pmrD",0,0,1
"579","psiF",0,0,1
"580","pstA",17,0,1
"581","pstB",22,0,1
"582","pstC",19,0,1
"583","pstS",19,0,1
"584","rne",0,0,1
"585","tdcB",12,0,1
"586","tdcC",12,0,1
"590","pflA",0,0,1
"591","pgi",3,0,1
"592","pheM",1,0,1
"594","ppsA",2,0,1
"597","ptsG",13,0,1
"598","ptsH",39,0,1
"599","ptsI",5,0,1
"600","purU",0,0,1
"601","pyrG",0,0,1
"602","rcsB",0,0,1
"603","relA",28,0,1
"605","rfbD",0,0,1
"606","rfe",0,0,1
"608","uxaC",8,0,1
"613","ycdZ",0,0,1
"614","ycjF",0,0,1
"616","yddB",0,0,1
"618","rho",0,0,1
"619","ribA",0,0,1
"620","rmf",13,0,1
"621","rnb",0,0,1
"622","rnt",0,0,1
"623","rsd",27,0,1
"624","rsuA",0,0,1
"625","sdhC",15,0,1
"627","serC",0,0,1
"631","surA",0,0,1
"632","tatE",0,0,1
"635","tolQ",0,0,1
"636","tpiA",2,0,1
"637","bipA",0,0,1
"638","yhdT",0,0,1
"643","yicG",0,0,1
"644","yihF",0,0,1
"645","yjaB",0,0,1
"646","yjeJ",0,0,1
"648","yjgM",0,0,1
"653","yaiA",2,0,1
"654","ybgC",0,0,1
"655","ybhB",0,0,1
"657","mepK",0,0,1
"659","ycdX",0,0,1
"660","ycdY",0,0,1
"661","ychH",0,0,1
"664","tcyP",0,0,1
"665","yeaC",0,0,1
"667","yeeN",0,0,1
"668","yjhD",0,0,1
"669","ykgF",0,0,1
"670","ymdB",22,0,1
"671","yoaE",0,0,1
"672","yohK",0,0,1
"673","yqfA",0,0,1
"674","nfeF",0,0,1
"677","yeeZ",0,0,1
"678","yehS",0,0,1
"679","btsR",0,0,1
"681","yfaE",8,0,1
"682","alaA",0,0,1
"683","epmC",0,0,1
"684","yfcZ",3,0,1
"687","pgpC",0,0,1
"689","ygdI",0,0,1
"692","yhjR",0,0,1
"693","yieP",0,0,1
"694","yjbQ",3,0,1
"698","aidB",5,0,1
"699","ssuD",4,0,1
"700","tauA",7,0,1
"702","tauC",4,0,1
"703","csgA",23,0,1
"705","csgE",183,0,1
"708","iraP",11,0,1
"709","tcyJ",140,0,1
"717","rpoS",57,0,1
"718","mcbA",0,0,1
"719","yciE",4,0,1
"720","yciF",3,0,1
"721","yciG",3,0,1
"722","metE",5,0,1
"723","metR",2,0,1
"724","prpB",4,0,1
"725","prpC",4,0,1
"726","prpD",4,0,1
"727","prpR",1,0,1
"728","adiA",7,0,1
"731","hyaA",30,0,1
"737","araA",0,0,1
"738","araB",1,0,1
"739","araC",1,0,1
"740","araF",11,0,1
"741","caiA",18,0,1
"743","mlrA",2,0,1
"744","galS",1,0,1
"745","mglA",65,0,1
"746","mglB",53,0,1
"747","mglC",60,0,1
"748","glcA",14,0,1
"749","glcB",14,0,1
"750","glcD",19,0,1
"751","glcE",14,0,1
"752","glcF",14,0,1
"754","hcaR",0,0,1
"755","iscR",0,0,1
"756","nrdE",3,0,1
"757","nrdH",3,0,1
"758","nrdI",3,0,1
"759","sufA",13,0,1
"760","sufB",13,0,1
"761","sufC",13,0,1
"762","sufD",13,0,1
"763","sufE",13,0,1
"764","sufS",13,0,1
"765","selO",0,0,1
"767","fdhF",6,0,1
"769","fdnH",1,0,1
"770","fdnI",1,0,1
"771","hcp",16,0,1
"773","nirB",23,0,1
"774","nirD",17,0,1
"776","nrfB",41,0,1
"777","nrfC",41,0,1
"778","nrfD",41,0,1
"779","ytfE",1,0,1
"780","amtB",4,0,1
"781","argT",6,0,1
"782","ddpA",4,0,1
"785","ddpX",4,0,1
"786","glnA",5,0,1
"788","glnK",10,0,1
"789","glnL",8,0,1
"790","hisM",8,0,1
"792","patA",4,0,1
"795","potH",1,0,1
"796","potI",1,0,1
"797","yhdW",0,0,1
"798","prpE",4,0,1
"801","betA",2,0,1
"802","betB",2,0,1
"803","betI",1,0,1
"805","lldR",0,0,1
"806","fumB",26,0,1
"812","tdcE",12,0,1
"813","clpA",0,0,1
"814","entF",7,0,1
"816","lysU",0,0,1
"822","hiuH",2,0,1
"823","grcA",13,0,1
"825","phoH",4,0,1
"826","hybD",1,0,1
"828","tonB",0,0,1
"829","hybC",1,0,1
"831","dcuB",11,0,1
"835","ybdZ",3,0,1
"836","leuA",0,0,1
"837","clpS",1,0,1
"839","sodA",70,0,1
"840","fis",10,0,1
"842","frdD",11,0,1
"843","hypD",12,0,1
"846","entB",1,0,1
"847","fhuF",2,0,1
"848","dcuA",11,0,1
"852","fepB",2,0,1
"853","yhbW",3,0,1
"854","mdtI",1,0,1
"855","fsr",0,0,1
"856","kbl",0,0,1
"858","msrP",2,0,1
"859","serA",0,0,1
"860","glpQ",24,0,1
