"","V1","FFL","No_FFL","Pos_pos","Pos_mixt","Pos_neg","Neg_pos","Neg_mixt","Neg_neg","Mixt_pos","Mixt_mixt_hom","Mixt_mixt_het","Mixt_neg","NP_X"
"124","tdh",0,1,0,0,0,0,0,0,0,0,0,0,0
"125","ybjJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"126","yhfK",0,1,0,0,0,0,0,0,0,0,0,0,0
"127","yibQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"128","ccmF",1,0,0.0606060606060606,0,0,0.242424242424242,0,0,0.121212121212121,0,0.575757575757575,0,0
"129","nth",0,1,0,0,0,0,0,0,0,0,0,0,0
"130","recC",1,0,0.0625,0,0,0.4375,0,0,0,0,0.5,0,0
"131","aegA",0,1,0,0,0,0,0,0,0,0,0,0,0
"132","rpsQ",1,0,0,0,0,0,0,0,0,0,1,0,0
"133","fepD",0,1,0,0,0,0,0,0,0,0,0,0,0
"134","yfeD",0,1,0,0,0,0,0,0,0,0,0,0,0
"135","aqpZ",0,1,0,0,0,0,0,0,0,0,0,0,0
"136","gltL",1,0,0.08,0,0,0.32,0,0,0,0,0.6,0,0
"137","cycA",1,0,0,0,0,0,0.1,0,0,0,0.9,0,0
"138","aroF",1,0,0,0,0,0,0,0,0,0,1,0,0
"139","gcvP",1,0,0,0,0,0,0,0,0,0,1,0,0
"140","yebY",0,1,0,0,0,0,0,0,0,0,0,0,0
"141","mutM",1,0,0,0,0,0,0,0,0,0,1,0,0
"142","mdtC",1,0,0,0,0,0,0,0,0,0,1,0,0
"143","exbD",0,1,0,0,0,0,0,0,0,0,0,0,0
"144","ydhW",1,0,0,0,0,0,0,0,0,0,1,0,0
"145","crl",0,1,0,0,0,0,0,0,0,0,0,0,0
"146","znuB",0,1,0,0,0,0,0,0,0,0,0,0,0
"147","torD",1,0,0,0,0,0,0,0,0,0,1,0,0
"148","gltP",1,0,0,0,0,0,0,0,0,0,1,0,0
"149","agaV",1,0,0,0,0,0,0,0,0,0,1,0,0
"150","sucB",1,0,0,0,0,0,0,0,0,0,0.93103448275862,0.0689655172413793,0
"151","yafD",1,0,0,0,0,0,0,0,0,0,1,0,0
"152","ilvM",1,0,0,0,0,0,0,0,0,0,1,0,0
"153","cdsA",0,1,0,0,0,0,0,0,0,0,0,0,0
"154","pyrD",1,0,0,0,0,0,0,0,0,0,1,0,0
"155","glgC",1,0,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0.833333333333333,0,0
"156","amn",0,1,0,0,0,0,0,0,0,0,0,0,0
"157","uhpB",0,1,0,0,0,0,0,0,0,0,0,0,0
"158","ybhG",0,1,0,0,0,0,0,0,0,0,0,0,0
"159","pck",1,0,0,0,0,0,0,0,0,0,1,0,0
"160","rimJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"161","iscA",1,0,0,0,0,0,0,0,0,0,1,0,0
"162","chaA",0,1,0,0,0,0,0,0,0,0,0,0,0
"163","ydhR",0,1,0,0,0,0,0,0,0,0,0,0,0
"164","pflB",1,0,0,0.0540540540540541,0,0,0,0,0.0540540540540541,0,0.891891891891891,0,0
"165","ydgJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"166","acs",1,0,0,0,0,0,0,0,0,0,0.935483870967741,0.0645161290322581,0
"167","asd",1,0,0,0,0,0,0,0,0,0,1,0,0
"168","tpx",1,0,0,0,0,0,0,0,0,0,1,0,0
"169","emrD",1,0,0,0,0,0,0,0,0,0,1,0,0
"170","yjjP",0,1,0,0,0,0,0,0,0,0,0,0,0
"171","ydiE",0,1,0,0,0,0,0,0,0,0,0,0,0
"172","glgA",1,0,0,0,0,0,0,0,0,0,1,0,0
"173","yqaB",0,1,0,0,0,0,0,0,0,0,0,0,0
"174","ais",0,1,0,0,0,0,0,0,0,0,0,0,0
"175","aroD",0,1,0,0,0,0,0,0,0,0,0,0,0
"176","yiiQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"177","napH",1,0,0.0540540540540541,0,0,0.216216216216216,0,0,0.108108108108108,0,0.621621621621621,0,0
"178","ccmH",1,0,0.0512820512820513,0,0,0.205128205128205,0,0,0.102564102564103,0,0.641025641025641,0,0
"179","ybiV",0,1,0,0,0,0,0,0,0,0,0,0,0
"180","efp",0,1,0,0,0,0,0,0,0,0,0,0,0
"181","hemD",0,1,0,0,0,0,0,0,0,0,0,0,0
"182","pykF",1,0,0,0,0,0,0,0,0,0,1,0,0
"183","efeB",0,1,0,0,0,0,0,0,0,0,0,0,0
"184","uspE",1,0,0,0,0,0,0,0,0,0,1,0,0
"185","ilvI",0,1,0,0,0,0,0,0,0,0,0,0,0
"186","glpK",0,1,0,0,0,0,0,0,0,0,0,0,0
"187","eda",1,0,0,0,0,0,0,0,0,0,1,0,0
"188","pheP",0,1,0,0,0,0,0,0,0,0,0,0,0
"189","cysK",0,1,0,0,0,0,0,0,0,0,0,0,0
"190","napF",1,0,0.0454545454545455,0,0,0.181818181818182,0,0,0.0909090909090909,0,0.681818181818182,0,0
"191","ynaJ",0,1,0,0,0,0,0,0,0,0,0,0,0
"192","torA",1,0,0,0,0,0,0,0,0,0,1,0,0
"193","nanE",1,0,0,0,0,0,0,0,0,0,1,0,0
"194","thiD",0,1,0,0,0,0,0,0,0,0,0,0,0
"195","ydhP",0,1,0,0,0,0,0,0,0,0,0,0,0
"196","galP",1,0,0,0,0,0,0,0,0,0,1,0,0
"197","yojI",0,1,0,0,0,0,0,0,0,0,0,0,0
"198","osmC",1,0,0,0,0,0,0,0,0,0.1,0.9,0,0
"199","cadA",1,0,0.0135135135135135,0,0,0,0.0135135135135135,0,0,0,0.972972972972972,0,0
"200","yhbS",0,1,0,0,0,0,0,0,0,0,0,0,0
"201","msrB",1,0,0,0,0,0,0,0,0,0,1,0,0
"202","ung",1,0,0,0,0,0,0,0,0,0,1,0,0
"203","zraR",1,0,0,0,0,0,0,0,0,0,1,0,0
"204","trmH",0,1,0,0,0,0,0,0,0,0,0,0,0
"205","ybaN",0,1,0,0,0,0,0,0,0,0,0,0,0
"206","trpA",1,0,0,0,0,0,0,0,0,0,1,0,0
"207","brnQ",0,1,0,0,0,0,0,0,0,0,0,0,0
"208","envC",0,1,0,0,0,0,0,0,0,0,0,0,0
"209","galE",1,0,0,0,0,0,0,0,0,0.0555555555555556,0.944444444444445,0,0
"210","fumC",1,0,0,0,0,0,0.025,0,0,0,0.975000000000001,0,0
"211","bfd",0,1,0,0,0,0,0,0,0,0,0,0,0
"212","yjjW",0,1,0,0,0,0,0,0,0,0,0,0,0
"213","crr",1,0,0,0,0,0,0,0,0,0,1,0,0
"214","xseB",0,1,0,0,0,0,0,0,0,0,0,0,0
"215","wzzE",0,1,0,0,0,0,0,0,0,0,0,0,0
"216","moaB",1,0,0,0,0,0,0,0,0,0,1,0,0
"217","slyB",0,1,0,0,0,0,0,0,0,0,0,0,0
"218","fhuE",0,1,0,0,0,0,0,0,0,0,0,0,0
"219","hmp",1,0,0,0,0,0,0,0,0,0,1,0,0
"220","yfeX",0,1,0,0,0,0,0,0,0,0,0,0,0
"221","gltK",1,0,0.08,0,0,0.32,0,0,0,0,0.6,0,0
"222","yedE",0,1,0,0,0,0,0,0,0,0,0,0,0
"223","putP",1,0,0,0,0,0,0,0,0,0,1,0,0
"224","speC",1,0,0,0,0,0,0,0,0,0,1,0,0
"225","menC",0,1,0,0,0,0,0,0,0,0,0,0,0
"226","moaE",1,0,0,0,0,0,0,0,0,0,1,0,0
"227","exuT",1,0,0,0,0,0,0,0,0,0,1,0,0
"228","ybjM",0,1,0,0,0,0,0,0,0,0,0,0,0
"229","iscU",1,0,0,0,0,0,0,0,0,0,1,0,0
"230","ilvC",0,1,0,0,0,0,0,0,0,0,0,0,0
"231","ybiT",1,0,0,0,0,0,0,0,0,0,1,0,0
"232","phoA",1,0,0,0,0,0,0,0,0,0,1,0,0
"233","yceH",0,1,0,0,0,0,0,0,0,0,0,0,0
"234","ulaD",1,0,0,0,0,0,0,0,0,0,1,0,0
"235","napA",1,0,0.0540540540540541,0,0,0.216216216216216,0,0,0.108108108108108,0,0.621621621621621,0,0
"236","cusR",1,0,0,0,0,0,0,0,0,0,1,0,0
"237","ispA",0,1,0,0,0,0,0,0,0,0,0,0,0
"238","pldB",0,1,0,0,0,0,0,0,0,0,0,0,0
"239","yceB",0,1,0,0,0,0,0,0,0,0,0,0,0
"240","yjaH",0,1,0,0,0,0,0,0,0,0,0,0,0
"241","dsbA",0,1,0,0,0,0,0,0,0,0,0,0,0
"242","kefG",0,1,0,0,0,0,0,0,0,0,0,0,0
"243","adhE",1,0,0.142857142857143,0,0,0,0,0,0,0,0.857142857142857,0,0
"244","fepG",0,1,0,0,0,0,0,0,0,0,0,0,0
"245","nrdR",0,1,0,0,0,0,0,0,0,0,0,0,0
"246","pqqL",0,1,0,0,0,0,0,0,0,0,0,0,0
"247","ftsZ",1,0,0,0,0,0,0,0,0,0,1,0,0
"248","glnH",1,0,0,0,0,0.166666666666667,0,0,0,0,0.833333333333333,0,0
"249","ypeC",0,1,0,0,0,0,0,0,0,0,0,0,0
"250","yqhD",0,1,0,0,0,0,0,0,0,0,0,0,0
"251","glnD",1,0,0,0,0,0,0.111111111111111,0,0,0,0.888888888888889,0,0
"252","thiM",0,1,0,0,0,0,0,0,0,0,0,0,0
"253","aroG",1,0,0,0,0,0,0,0,0,0,1,0,0
