"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"137","ygiW",0,1,0,0,0,0,0,0,0,0,0
"138","entA",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"139","pmrD",0,1,0,0,0,0,0,0,0,0,0
"140","ydhV",1,0,0,0,1,0,0,0,0,0,0
"141","phoA",1,0,0,1,0,0,0,0,0,0,0
"142","gsiC",0,1,0,0,0,0,0,0,0,0,0
"143","yqiA",0,1,0,0,0,0,0,0,0,0,0
"144","rcnB",1,0,0,0,0,0,0,0,1,0,0
"145","ppsR",0,1,0,0,0,0,0,0,0,0,0
"146","nanE",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0
"147","tusA",0,1,0,0,0,0,0,0,0,0,0
"148","nrfB",1,0,0,0.75,0,0,0,0,0.25,0,0
"149","fis",1,0,0,0.222222222222222,0,0.444444444444444,0,0.222222222222222,0.111111111111111,0,0
"150","mzrA",1,0,0,0.75,0,0,0,0.25,0,0,0
"151","yhdH",0,1,0,0,0,0,0,0,0,0,0
"152","dadX",1,0,0,0,0,0,0,0,1,0,0
"153","nrdR",0,1,0,0,0,0,0,0,0,0,0
"154","fucK",1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0,0
"155","ispA",0,1,0,0,0,0,0,0,0,0,0
"156","nhaB",0,1,0,0,0,0,0,0,0,0,0
"157","rsmJ",0,1,0,0,0,0,0,0,0,0,0
"158","gadA",1,0,0.0344827586206897,0.413793103448276,0.0344827586206897,0.275862068965517,0.0344827586206897,0.0344827586206897,0.172413793103448,0,0
"159","ybaV",0,1,0,0,0,0,0,0,0,0,0
"160","ghoT",0,1,0,0,0,0,0,0,0,0,0
"161","alaA",0,1,0,0,0,0,0,0,0,0,0
"162","yqaB",0,1,0,0,0,0,0,0,0,0,0
"163","gshB",0,1,0,0,0,0,0,0,0,0,0
"164","tpiA",1,0,0,1,0,0,0,0,0,0,0
"165","cysE",0,1,0,0,0,0,0,0,0,0,0
"166","gltA",1,0,0,0.25,0.125,0,0.125,0.25,0.25,0,0
"167","betB",1,0,0,0,0,0,0.25,0,0.75,0,0
"168","lnt",0,1,0,0,0,0,0,0,0,0,0
"169","glmU",0,1,0,0,0,0,0,0,0,0,0
"170","fadL",1,0,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0
"171","hybB",1,0,0,0,0,0,0,0,1,0,0
"172","preT",1,0,0,1,0,0,0,0,0,0,0
"173","ldtE",0,1,0,0,0,0,0,0,0,0,0
"174","rrrD",0,1,0,0,0,0,0,0,0,0,0
"175","prpD",1,0,0,0.5,0,0,0,0,0,0.5,0
"176","pheP",0,1,0,0,0,0,0,0,0,0,0
"177","ybiX",0,1,0,0,0,0,0,0,0,0,0
"178","ycfP",0,1,0,0,0,0,0,0,0,0,0
"179","mltC",0,1,0,0,0,0,0,0,0,0,0
"180","pepN",0,1,0,0,0,0,0,0,0,0,0
"181","ybiV",0,1,0,0,0,0,0,0,0,0,0
"182","yhfK",0,1,0,0,0,0,0,0,0,0,0
