"","V1","FFL","No_FFL","PP","PM","PN","NP","NM","NN","MP","MM2","MM1","MN","NonPl_X"
"46","ylaC",0,1,0,0,0,0,0,0,0,0,0,0,0
"47","yijD",0,1,0,0,0,0,0,0,0,0,0,0,0
"48","srlA",1,0,0.1875,0.1875,0,0,0.1875,0.0625,0.125,0.25,0,0,0
"49","srlB",1,0,0,0,0.222222222222222,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0,0,0
"50","srlD",1,0,0,0.222222222222222,0,0.222222222222222,0.222222222222222,0,0.222222222222222,0.111111111111111,0,0,0
"51","srlE",1,0,0.222222222222222,0,0,0.333333333333333,0.111111111111111,0,0,0,0.333333333333333,0,0
"52","entE",1,0,0,0,0,0,1,0,0,0,0,0,0
"53","fecA",1,0,0.25,0,0,0,0.125,0,0.25,0.25,0.125,0,0
"54","fepA",1,0,0,0.5,0,0,0,0.5,0,0,0,0,0
"55","galK",1,0,0.421052631578947,0.368421052631579,0,0.0526315789473684,0,0,0.157894736842105,0,0,0,0
"56","hybA",1,0,0,0,0,0,0,0,0,0,1,0,0
"57","malM",1,0,0,0,0,0,0,0,0,1,0,0,0
"58","folE",1,0,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0,0.571428571428571,0,0,0
"59","lysP",0,1,0,0,0,0,0,0,0,0,0,0,0
"60","yddB",0,1,0,0,0,0,0,0,0,0,0,0,0
"61","araA",0,1,0,0,0,0,0,0,0,0,0,0,0
"62","mglA",1,0,0.215384615384615,0.307692307692308,0,0.0307692307692308,0.0769230769230769,0.0153846153846154,0.0307692307692308,0.215384615384615,0.0769230769230769,0.0307692307692308,0
"63","mglB",1,0,0.0566037735849057,0.39622641509434,0.0943396226415094,0.0188679245283019,0.0754716981132075,0,0.0943396226415094,0.0943396226415094,0.169811320754717,0,0
"64","mglC",1,0,0.0666666666666667,0.333333333333333,0.0833333333333333,0.0333333333333333,0.1,0,0.0666666666666667,0.15,0.133333333333333,0.0333333333333333,0
"65","nirB",1,0,0.217391304347826,0.217391304347826,0,0.0869565217391304,0.0869565217391304,0,0.304347826086957,0,0.0869565217391304,0,0
"66","fumB",1,0,0.0384615384615385,0.0769230769230769,0,0.307692307692308,0.0384615384615385,0,0.346153846153846,0.0384615384615385,0.153846153846154,0,0
"67","grcA",1,0,0.153846153846154,0.153846153846154,0,0.0769230769230769,0.0769230769230769,0,0.384615384615385,0,0.153846153846154,0,0
"68","entB",1,0,0,0,0,1,0,0,0,0,0,0,0
"69","fepB",1,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"70","ompW",1,0,0.166666666666667,0,0,0.25,0,0,0.583333333333333,0,0,0,0
"71","efeO",0,1,0,0,0,0,0,0,0,0,0,0,0
"72","fes",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"73","entC",1,0,0,0,0,0,1,0,0,0,0,0,0
"74","fadE",1,0,0.625,0,0,0,0,0,0.0625,0.3125,0,0,0
"75","fepC",0,1,0,0,0,0,0,0,0,0,0,0,0
"76","galT",1,0,0.0833333333333333,0.5,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0
"77","yddA",0,1,0,0,0,0,0,0,0,0,0,0,0
"78","hisQ",1,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.307692307692308,0,0.153846153846154,0.0769230769230769,0.153846153846154,0.0769230769230769,0
"79","aroF",1,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0,0
"80","gcvP",1,0,0.142857142857143,0,0,0,0.142857142857143,0,0.285714285714286,0.428571428571429,0,0,0
"81","acs",1,0,0.032258064516129,0.0645161290322581,0.032258064516129,0.0645161290322581,0.290322580645161,0.0967741935483871,0.129032258064516,0.0967741935483871,0.161290322580645,0.032258064516129,0
"82","napF",1,0,0.340909090909091,0.136363636363636,0,0.113636363636364,0.0454545454545455,0,0.204545454545455,0.136363636363636,0,0.0227272727272727,0
"83","fepG",0,1,0,0,0,0,0,0,0,0,0,0,0
"84","yqhD",0,1,0,0,0,0,0,0,0,0,0,0,0
"85","aroG",1,0,0,0.5,0,0,0,0,0,0,0,0.5,0
"86","idnO",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"87","idnD",1,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0
"88","garR",1,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0
"89","lamB",1,0,0,0.5,0,0,0,0,0.5,0,0,0,0
"90","fecR",0,1,0,0,0,0,0,0,0,0,0,0,0
"91","cysM",1,0,0,0,0,0,0,0,1,0,0,0,0
"92","fecI",0,1,0,0,0,0,0,0,0,0,0,0,0
"93","cysD",0,1,0,0,0,0,0,0,0,0,0,0,0
"94","cysN",0,1,0,0,0,0,0,0,0,0,0,0,0
"95","cysU",1,0,0,0,0,0,0,0,1,0,0,0,0
"96","cysJ",1,0,0.142857142857143,0.285714285714286,0,0.142857142857143,0.285714285714286,0.142857142857143,0,0,0,0,0
"97","ccmG",1,0,0.0606060606060606,0.363636363636364,0,0.0303030303030303,0.121212121212121,0,0.0909090909090909,0.121212121212121,0.212121212121212,0,0
"98","yadS",1,0,0,0,0,0,1,0,0,0,0,0,0
"99","livG",0,1,0,0,0,0,0,0,0,0,0,0,0
