"","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"33",1,0,0,1,0.0263157894736842,0.0789473684210526,0.302631578947368,0.592105263157895,0
"34",0,1,0,0,0,0,0,0,0
"35",0,1,0,0,0,0,0,0,0
"36",1,0,0,0.999999999999998,0.0972222222222222,0.166666666666667,0.347222222222222,0.388888888888889,0
"37",1,0,0,1,0.130434782608696,0.217391304347826,0.434782608695652,0.217391304347826,0
"38",1,0,0,1,0.181818181818182,0.181818181818182,0.363636363636364,0.272727272727273,0
"39",1,0,1,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.636363636363636,0
"40",1,0,0.6,0.4,0.133333333333333,0.0666666666666667,0.6,0.2,0
"41",0,1,0,0,0,0,0,0,0
"42",1,0,0,1,0.08,0.2,0.4,0.32,0
"43",1,0,0,1,0.133333333333333,0.133333333333333,0.533333333333333,0.2,0
"44",0,1,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0
"46",0,1,0,0,0,0,0,0,0
"47",1,0,0.175438596491228,0.824561403508773,0.087719298245614,0.228070175438596,0.385964912280702,0.298245614035088,0
"48",1,0,0,0.999999999999999,0.111111111111111,0.185185185185185,0.462962962962963,0.240740740740741,0
"49",1,0,0.0714285714285714,0.928571428571428,0.285714285714286,0.142857142857143,0.428571428571428,0.142857142857143,0
"50",0,1,0,0,0,0,0,0,0
"51",1,0,0,1,0.0869565217391304,0.130434782608696,0.434782608695652,0.347826086956522,0
"52",0,1,0,0,0,0,0,0,0
"53",0,1,0,0,0,0,0,0,0
"54",0,1,0,0,0,0,0,0,0
"55",0,1,0,0,0,0,0,0,0
"56",1,0,0,1,0.111111111111111,0.111111111111111,0.555555555555556,0.222222222222222,0
"57",0,1,0,0,0,0,0,0,0
"58",1,0,0,1,0.272727272727273,0.363636363636364,0.272727272727273,0.0909090909090909,0
"59",1,0,0.5,0.5,1,0,0,0,0
"60",0,1,0,0,0,0,0,0,0
"61",0,1,0,0,0,0,0,0,0
"62",1,0,0,1,0.0588235294117647,0.0882352941176471,0.323529411764706,0.529411764705882,0
"63",0,1,0,0,0,0,0,0,0
"64",0,1,0,0,0,0,0,0,0
"65",0,1,0,0,0,0,0,0,0
"66",0,1,0,0,0,0,0,0,0
"67",1,0,0,1,0.107142857142857,0.178571428571429,0.321428571428571,0.392857142857143,0
"68",0,1,0,0,0,0,0,0,0
"69",1,0,0.140625,0.859375000000002,0.0364583333333333,0.114583333333333,0.28125,0.567708333333333,0
"70",1,0,0,0.999999999999997,0.0444444444444444,0.105555555555556,0.3,0.549999999999999,0
"71",1,0,0.460784313725491,0.53921568627451,0.0294117647058824,0.0686274509803922,0.225490196078431,0.676470588235294,0
"72",0,1,0,0,0,0,0,0,0
"73",1,0,0,1,0.0277777777777778,0.0555555555555556,0.277777777777778,0.638888888888889,0
"74",0,1,0,0,0,0,0,0,0
"75",1,0,0.409090909090909,0.590909090909091,0.0227272727272727,0.0454545454545455,0.159090909090909,0.772727272727272,0
"76",0,1,0,0,0,0,0,0,0
"77",1,0,0,1,0,0.0952380952380952,0.142857142857143,0.761904761904762,0
"78",0,1,0,0,0,0,0,0,0
"79",0,1,0,0,0,0,0,0,0
"80",1,0,0,0.999999999999999,0.027972027972028,0.0769230769230769,0.286713286713287,0.608391608391608,0
"81",1,0,0,0.999999999999999,0.0740740740740741,0.148148148148148,0.407407407407407,0.37037037037037,0
"82",1,0,0.247422680412371,0.752577319587628,0.0721649484536082,0.195876288659794,0.288659793814433,0.443298969072165,0
"83",1,0,0,1,0.5,0.25,0.25,0,0
"84",0,1,0,0,0,0,0,0,0
"85",0,1,0,0,0,0,0,0,0
"86",1,0,0,1,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0
"87",0,1,0,0,0,0,0,0,0
"88",0,1,0,0,0,0,0,0,0
"89",1,0,0,1,1,0,0,0,0
"90",1,0,0.1,0.9,0.2,0,0.3,0.5,0
"91",1,0,0,1,0.166666666666667,0.222222222222222,0.333333333333333,0.277777777777778,0
"92",0,1,0,0,0,0,0,0,0
"93",0,1,0,0,0,0,0,0,0
"94",1,0,0,1,0.133333333333333,0.133333333333333,0.733333333333333,0,0
"95",1,0,0.1,0.9,0.5,0.1,0.4,0,0
"96",0,1,0,0,0,0,0,0,0
"97",1,0,0,1,0.2,0.2,0.6,0,0
"98",1,0,0,1,0.5,0,0.5,0,0
"99",0,1,0,0,0,0,0,0,0
"100",1,0,0,1,1,0,0,0,0
"101",0,1,0,0,0,0,0,0,0
"102",0,1,0,0,0,0,0,0,0
"103",0,1,0,0,0,0,0,0,0
"104",0,1,0,0,0,0,0,0,0
"105",1,0,0,0.999999999999998,0.0338983050847458,0.076271186440678,0.26271186440678,0.627118644067796,0
"106",1,0,0.146666666666667,0.853333333333332,0.0533333333333333,0.173333333333333,0.373333333333333,0.4,0
"107",0,1,0,0,0,0,0,0,0
"108",0,1,0,0,0,0,0,0,0
"109",0,1,0,0,0,0,0,0,0
"110",1,0,0,1,0,0,0.470588235294118,0.529411764705882,0
"111",0,1,0,0,0,0,0,0,0
"112",0,1,0,0,0,0,0,0,0
"113",0,1,0,0,0,0,0,0,0
"114",1,0,0.4375,0.5625,0.125,0.0625,0.375,0.4375,0
"115",1,0,0.104477611940299,0.895522388059702,0.0597014925373134,0.0597014925373134,0.35820895522388,0.522388059701492,0
"116",0,1,0,0,0,0,0,0,0
"117",1,0,0,1.00000000000001,0.0273037542662116,0.0716723549488055,0.232081911262798,0.668941979522186,0
"118",1,0,0.195238095238095,0.804761904761903,0.0142857142857143,0.0619047619047619,0.238095238095238,0.685714285714284,0
"119",1,0,0,0.999999999999997,0.0232558139534884,0.0558139534883721,0.232558139534883,0.688372093023254,0
"120",0,1,0,0,0,0,0,0,0
"121",0,1,0,0,0,0,0,0,0
