"","V1","FFL","No_FFL","C3","C1","C2","C4","I2","I4","I3","I1","NonPl_X"
"62","mglA",1,0,0.142857142857143,0,0.0714285714285714,0.0714285714285714,0.142857142857143,0,0.5,0.0714285714285714,0
"63","mglB",1,0,0,0.416666666666667,0,0,0,0.25,0,0.333333333333333,0
"64","mglC",1,0,0,0.285714285714286,0,0.0714285714285714,0,0.214285714285714,0.0714285714285714,0.357142857142857,0
"65","nirB",1,0,0.1,0.1,0.2,0.1,0,0.2,0.3,0,0
"66","fumB",1,0,0,0.2,0.133333333333333,0,0,0.466666666666667,0,0.2,0
"67","grcA",1,0,0,0.5,0.125,0,0,0.25,0,0.125,0
"68","entB",1,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0
"69","fepB",1,0,0,0,0,0,0,0.5,0,0.5,0
"70","ompW",1,0,0,1,0,0,0,0,0,0,0
"71","efeO",0,1,0,0,0,0,0,0,0,0,0
"72","fes",1,0,0.25,0.25,0.25,0,0,0,0.25,0,0
"73","entC",1,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0
"74","fadE",1,0,0,0.5,0,0,0,0.5,0,0,0
"75","fepC",1,0,0,0,0,1,0,0,0,0,0
"76","galT",1,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0
"77","yddA",0,1,0,0,0,0,0,0,0,0,0
"78","hisQ",1,0,0,0.333333333333333,0,0.166666666666667,0,0.333333333333333,0,0.166666666666667,0
"79","aroF",1,0,0,0,0,0.5,0,0.5,0,0,0
"80","gcvP",1,0,0,0,0.25,0,0.25,0,0.5,0,0
"81","acs",1,0,0.2,0.133333333333333,0.133333333333333,0.0666666666666667,0.0666666666666667,0.2,0.0666666666666667,0.133333333333333,0
"82","napF",1,0,0,0.5,0,0.125,0.125,0,0,0.25,0
"83","fepG",1,0,0,0,1,0,0,0,0,0,0
"84","yqhD",0,1,0,0,0,0,0,0,0,0,0
"85","aroG",1,0,0,0,0,0.5,0,0,0,0.5,0
"86","idnO",1,0,0,0.5,0,0,0,0,0.5,0,0
"87","idnD",1,0,0,0,0,0,0,0,1,0,0
"88","garR",1,0,0,0.5,0,0,0,0.25,0,0.25,0
"89","lamB",1,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0
"90","fecR",1,0,0,0,0,0,0,1,0,0,0
"91","cysM",1,0,0,0.5,0,0,0,0.5,0,0,0
"92","fecI",1,0,0,0,0,0,0,1,0,0,0
"93","cysD",1,0,0,0,0,0,1,0,0,0,0
"94","cysN",1,0,0,0,1,0,0,0,0,0,0
"95","cysU",1,0,0,0.5,0,0,0,0.5,0,0,0
"96","cysJ",1,0,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0
"97","ccmG",1,0,0,0.5,0,0,0,0.333333333333333,0,0.166666666666667,0
"98","yadS",1,0,0,0,0,0,0,0,1,0,0
"99","livG",1,0,0,0,0,0,0,0,0,1,0
"100","alaE",0,1,0,0,0,0,0,0,0,0,0
"101","dgcT",1,0,0,0.5,0,0,0,0,0,0.5,0
"102","cysI",1,0,0,0.25,0.5,0,0,0.25,0,0,0
"103","allB",0,1,0,0,0,0,0,0,0,0,0
"104","carB",1,0,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0
"105","cysP",1,0,0,0.5,0,0,0,0.5,0,0,0
"106","tsuA",0,1,0,0,0,0,0,0,0,0,0
"107","argD",1,0,0,0,0,0,0,0,0,1,0
"108","uidA",1,0,1,0,0,0,0,0,0,0,0
"109","nanA",1,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0
"110","nagE",1,0,0,0,0,0,1,0,0,0,0
"111","ubiA",1,0,0.0714285714285714,0.214285714285714,0.142857142857143,0.0714285714285714,0.0714285714285714,0.214285714285714,0.0714285714285714,0.142857142857143,0
"112","lrhA",0,1,0,0,0,0,0,0,0,0,0
"113","garP",1,0,0.25,0,0.25,0,0,0,0.25,0.25,0
"114","tsuB",0,1,0,0,0,0,0,0,0,0,0
"115","cysC",1,0,0,0,1,0,0,0,0,0,0
"116","cysH",1,0,0,0.25,0,0.25,0,0.5,0,0,0
"117","cysA",1,0,0,0.5,0,0.5,0,0,0,0,0
"118","cysW",1,0,0,0,0,0,0.5,0,0.5,0,0
"119","tcyN",0,1,0,0,0,0,0,0,0,0,0
"120","psuK",0,1,0,0,0,0,0,0,0,0,0
