"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"215","motA",0,1,0,0,0,0,0,0,0
"216","nlpA",0,1,0,0,0,0,0,0,0
"217","rbsD",0,1,0,0,0,0,0,0,0
"218","sucD",0,1,0,0,0,0,0,0,0
"219","uspD",0,1,0,0,0,0,0,0,0
"220","yagU",0,1,0,0,0,0,0,0,0
"221","pdeL",0,1,0,0,0,0,0,0,0
"222","ybfA",0,1,0,0,0,0,0,0,0
"223","bhsA",0,1,0,0,0,0,0,0,0
"224","ydgD",0,1,0,0,0,0,0,0,0
"225","yejG",0,1,0,0,0,0,0,0,0
"226","yccA",0,1,0,0,0,0,0,0,0
"227","raiA",0,1,0,0,0,0,0,0,0
"228","ygdR",0,1,0,0,0,0,0,0,0
"229","ygdQ",0,1,0,0,0,0,0,0,0
"230","yhcN",0,1,0,0,0,0,0,0,0
"231","yigI",0,1,0,0,0,0,0,0,0
"232","tabA",0,1,0,0,0,0,0,0,0
"233","ylaC",0,1,0,0,0,0,0,0,0
"234","rcnB",0,1,0,0,0,0,0,0,0
"235","yraQ",0,1,0,0,0,0,0,0,0
"236","yhiI",0,1,0,0,0,0,0,0,0
"237","yjiX",0,1,0,0,0,0,0,0,0
"238","yqjC",0,1,0,0,0,0,0,0,0
"239","recA",0,1,0,0,0,0,0,0,0
"240","speA",0,1,0,0,0,0,0,0,0
"241","speD",0,1,0,0,0,0,0,0,0
"242","uvrY",0,1,0,0,0,0,0,0,0
"243","yciI",0,1,0,0,0,0,0,0,0
"244","ygiC",0,1,0,0,0,0,0,0,0
"245","yqgB",0,1,0,0,0,0,0,0,0
"246","tap",0,1,0,0,0,0,0,0,0
"247","tar",0,1,0,0,0,0,0,0,0
"248","tsr",0,1,0,0,0,0,0,0,0
"249","tsx",0,1,0,0,0,0,0,0,0
"250","ybjX",0,1,0,0,0,0,0,0,0
"251","yffB",0,1,0,0,0,0,0,0,0
"252","tusB",0,1,0,0,0,0,0,0,0
"253","rdcA",0,1,0,0,0,0,0,0,0
"254","ykfB",0,1,0,0,0,0,0,0,0
"255","ymdA",0,1,0,0,0,0,0,0,0
"256","zntR",0,1,0,0,0,0,0,0,0
"257","fucK",0,1,0,0,0,0,0,0,0
"258","gpsA",0,1,0,0,0,0,0,0,0
"259","hslR",0,1,0,0,0,0,0,0,0
"260","hupA",1,0,0,1,0,0,0.5,0.5,0
"261","phoB",1,0,0.333333333333333,0.666666666666667,0,0,0,1,0
