"","V1","Loop_number","No_loop","Loop"
"409","nusB",5,0,1
"410","rutG",1,0,1
"411","cho",2,0,1
"412","ligB",0,0,1
"413","ydbK",0,0,1
"414","yiiS",0,0,1
"415","yhjG",0,0,1
"416","grxB",0,0,1
"417","yacL",0,0,1
"418","ycjD",0,0,1
"419","poxB",11,0,1
"420","cmoB",0,0,1
"421","aldB",2,0,1
"422","ybhC",0,0,1
"423","arcA",0,0,1
"424","rutD",1,0,1
"425","infC",2,0,1
"426","nadD",0,0,1
"427","tsaC",0,0,1
"428","mscL",0,0,1
"429","ycaQ",0,0,1
"430","agp",0,0,1
"431","rlmG",0,0,1
"432","pqiA",4,0,1
"433","fadH",1,0,1
"434","ybeM",0,0,1
"435","rsmF",0,0,1
"436","fieF",0,0,1
"437","yjeI",0,0,1
"438","yhfY",0,0,1
"439","lpxH",0,0,1
"440","ybhF",1,0,1
"441","hdhA",0,0,1
"442","fadJ",2,0,1
"443","bamB",0,0,1
"444","yrdD",0,0,1
"445","ycbZ",0,0,1
"446","mutT",0,0,1
"447","yrdB",0,0,1
"448","ettA",0,0,1
"449","emtA",0,0,1
"450","yjdP",0,0,1
"451","osmE",9,0,1
"452","pinQ",0,0,1
"453","mraZ",1,0,1
"454","lepA",0,0,1
"455","rof",0,0,1
"456","yqjG",0,0,1
"457","fau",7,0,1
"458","treA",0,0,1
"459","astE",5,0,1
"460","yheT",0,0,1
"461","elaB",0,0,1
"462","ccmG",6,0,1
"463","smf",0,0,1
"464","ackA",4,0,1
"465","zntB",0,0,1
"466","ribE",3,0,1
"467","ybjP",0,0,1
"468","yhaH",0,0,1
"469","nusA",4,0,1
"470","lepB",0,0,1
"471","ygbI",0,0,1
"472","msyB",0,0,1
"473","hofQ",0,0,1
"474","cbpM",2,0,1
"475","rplT",3,0,1
"476","rsmC",0,0,1
"477","selD",0,0,1
"478","nlpI",0,0,1
"479","ychA",0,0,1
"480","hflD",1,0,1
"481","ytfK",4,0,1
"482","zapD",0,0,1
"483","bglH",0,0,1
"484","emrB",1,0,1
"485","narI",11,0,1
"486","tatC",0,0,1
"487","otsB",0,0,1
"488","yhbY",0,0,1
"489","ybjS",0,0,1
"490","puuD",5,0,1
"491","ybiB",2,0,1
"492","yhhA",0,0,1
"493","mcrC",0,0,1
"494","bioC",0,0,1
"495","rpsL",1,0,1
"496","proS",0,0,1
"497","sapB",0,0,1
"498","yfcL",0,0,1
