"","V1","FBL_number","No_FBL","FBL"
"358","argO",0,0,1
"359","rsmE",0,0,1
"360","ygiW",0,0,1
"361","yhcN",0,0,1
"362","tusD",0,0,1
"363","yheO",0,0,1
"364","yieE",0,0,1
"365","yieF",0,0,1
"366","yigI",0,0,1
"367","yjeM",0,0,1
"368","tabA",0,0,1
"369","yjjU",0,0,1
"370","ykgA",0,0,1
"371","ylaC",0,0,1
"372","yncD",0,0,1
"373","yodC",0,0,1
"374","rcnB",0,0,1
"375","yraQ",0,0,1
"376","yhaL",0,0,1
"377","yhiI",0,0,1
"378","yjiA",0,0,1
"379","yjiX",0,0,1
"380","btsT",0,0,1
"381","ykfF",0,0,1
"382","pdeB",0,0,1
"383","ylbF",0,0,1
"384","yncE",0,0,1
"385","yqjA",0,0,1
"386","yqjC",0,0,1
"387","yqjD",0,0,1
"388","ytfJ",0,0,1
"389","recA",0,0,1
"390","rnk",0,0,1
"391","serU",0,0,1
"392","slt",0,0,1
"393","speA",0,0,1
"394","speD",0,0,1
"395","spy",0,0,1
"396","tatA",0,0,1
"397","tatB",0,0,1
"398","ubiE",0,0,1
"399","uvrY",0,0,1
"400","yciB",0,0,1
"401","yciC",0,0,1
"402","yciI",0,0,1
"403","yebE",0,0,1
"404","mtfA",0,0,1
"405","btsS",0,0,1
"406","patZ",0,0,1
"407","ygiC",0,0,1
"408","adeP",0,0,1
"409","yihA",0,0,1
"410","yijD",0,0,1
"411","bsmA",0,0,1
"412","rraB",0,0,1
"413","ynfD",0,0,1
"414","yqaE",0,0,1
"415","yqgB",0,0,1
"416","mzrA",0,0,1
"417","speG",0,0,1
"418","srlA",0,0,1
"419","srlB",0,0,1
"420","srlD",0,0,1
"421","srlE",0,0,1
"422","srlR",1,0,1
"423","tap",0,0,1
"424","tar",0,0,1
"425","tsr",0,0,1
"426","tsx",0,0,1
"427","udp",0,0,1
"428","yafE",0,0,1
"429","yafY",0,0,1
"430","cnoX",0,0,1
"431","ybeX",0,0,1
"432","ybeY",0,0,1
"433","ybeZ",0,0,1
"434","pxpA",0,0,1
"435","ybiX",0,0,1
"436","ybjX",0,0,1
"437","ycgR",0,0,1
"438","ycjX",0,0,1
"439","yeaD",0,0,1
"440","yebW",0,0,1
"441","yecR",0,0,1
"442","yeeR",0,0,1
"443","yffB",0,0,1
"444","cas2",0,0,1
"445","ygiS",0,0,1
"446","tusB",0,0,1
"447","yhhQ",0,0,1
"448","pdeH",0,0,1
"449","yiaD",0,0,1
"450","rdcA",0,0,1
"451","ykfB",0,0,1
"452","ymdA",0,0,1
"453","yneE",0,0,1
"454","ynfB",0,0,1
"455","zntR",0,0,1
"456","allA",0,0,1
"457","cdh",0,0,1
"458","dnaA",13,0,1
"459","dnaN",0,0,1
"460","entE",0,0,1
"461","fecA",0,0,1
"462","fecB",0,0,1
"463","fecC",0,0,1
"464","fecD",0,0,1
"465","fecE",0,0,1
"466","fepA",0,0,1
"467","fhuC",0,0,1
"468","frwB",0,0,1
"469","ftsA",0,0,1
"470","ftsQ",0,0,1
"471","fucK",0,0,1
"472","galK",0,0,1
"473","gntT",0,0,1
"474","gpmM",0,0,1
"475","gpsA",0,0,1
"476","hrpB",0,0,1
"477","hslR",0,0,1
"478","hupA",2,0,1
"479","hybA",0,0,1
"480","idnT",0,0,1
"481","lnt",0,0,1
"482","lpxB",0,0,1
"483","malF",0,0,1
"484","malG",0,0,1
"485","malK",0,0,1
"486","malM",0,0,1
"487","malP",0,0,1
"488","malQ",0,0,1
"489","mdlB",0,0,1
"490","menA",0,0,1
"491","mltB",0,0,1
"492","modC",0,0,1
"493","murG",0,0,1
"494","napC",0,0,1
"495","narY",0,0,1
"496","nrdF",0,0,1
"497","pflC",0,0,1
"498","pheA",0,0,1
"499","phoB",9,0,1
"500","phoU",0,0,1
"501","aceE",0,0,1
"502","acnB",0,0,1
"503","adk",0,0,1
"504","ahpC",0,0,1
"505","aldA",0,0,1
"506","apaG",0,0,1
"507","argS",0,0,1
"508","aspC",0,0,1
"509","avtA",0,0,1
"510","can",0,0,1
"511","wzzB",0,0,1
"512","cyoA",0,0,1
"513","cyoC",0,0,1
"514","cyoD",0,0,1
"515","cyoE",0,0,1
"516","cysZ",0,0,1
"517","dld",0,0,1
"518","dsbB",0,0,1
"519","emrA",0,0,1
"520","fabI",0,0,1
"521","fadR",0,0,1
"522","fdx",0,0,1
"523","fnr",15,0,1
"524","folE",0,0,1
"525","fpr",0,0,1
