"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"232","fliI",0,1,0,0,0,0,0,0,0
"233","fliJ",0,1,0,0,0,0,0,0,0
"234","fliK",0,1,0,0,0,0,0,0,0
"235","fliL",0,1,0,0,0,0,0,0,0
"236","fliM",0,1,0,0,0,0,0,0,0
"237","fliN",0,1,0,0,0,0,0,0,0
"238","fliO",0,1,0,0,0,0,0,0,0
"239","glpX",0,1,0,0,0,0,0,0,0
"240","glyA",0,1,0,0,0,0,0,0,0
"241","hisF",0,1,0,0,0,0,0,0,0
"242","hisH",0,1,0,0,0,0,0,0,0
"243","hisI",0,1,0,0,0,0,0,0,0
"244","hisJ",0,1,0,0,0,0,0,0,0
"245","ispE",0,1,0,0,0,0,0,0,0
"246","malT",0,1,0,0,0,0,0,0,0
"247","fliS",0,1,0,0,0,0,0,0,0
"248","fliT",0,1,0,0,0,0,0,0,0
"249","fliZ",1,0,1,0,0.107142857142857,0.142857142857143,0.178571428571429,0.571428571428571,0
"250","galM",0,1,0,0,0,0,0,0,0
"251","gdhA",0,1,0,0,0,0,0,0,0
"252","yhgH",0,1,0,0,0,0,0,0,0
"253","groL",0,1,0,0,0,0,0,0,0
"254","groS",0,1,0,0,0,0,0,0,0
"255","grpE",0,1,0,0,0,0,0,0,0
"256","hslO",0,1,0,0,0,0,0,0,0
"257","hslU",0,1,0,0,0,0,0,0,0
"258","hslV",0,1,0,0,0,0,0,0,0
"259","htpG",0,1,0,0,0,0,0,0,0
"260","ygiM",0,1,0,0,0,0,0,0,0
"261","osmB",0,1,0,0,0,0,0,0,0
"262","potD",0,1,0,0,0,0,0,0,0
"263","purA",0,1,0,0,0,0,0,0,0
"264","purC",0,1,0,0,0,0,0,0,0
"265","purH",0,1,0,0,0,0,0,0,0
"266","purK",0,1,0,0,0,0,0,0,0
"267","purM",0,1,0,0,0,0,0,0,0
"268","pyrB",0,1,0,0,0,0,0,0,0
"269","pyrC",0,1,0,0,0,0,0,0,0
"270","pyrL",0,1,0,0,0,0,0,0,0
"271","lipB",0,1,0,0,0,0,0,0,0
"272","lon",0,1,0,0,0,0,0,0,0
"273","modB",0,1,0,0,0,0,0,0,0
"274","motA",0,1,0,0,0,0,0,0,0
"275","motB",0,1,0,0,0,0,0,0,0
"276","nhaB",0,1,0,0,0,0,0,0,0
"277","nlpA",0,1,0,0,0,0,0,0,0
"278","nupG",0,1,0,0,0,0,0,0,0
"279","ompT",0,1,0,0,0,0,0,0,0
"280","prlC",0,1,0,0,0,0,0,0,0
"281","rbsB",0,1,0,0,0,0,0,0,0
"282","rbsD",0,1,0,0,0,0,0,0,0
"283","rbsK",0,1,0,0,0,0,0,0,0
"284","ymcE",0,1,0,0,0,0,0,0,0
"285","sthA",0,1,0,0,0,0,0,0,0
"286","sucA",0,1,0,0,0,0,0,0,0
"287","sucD",0,1,0,0,0,0,0,0,0
"288","tas",0,1,0,0,0,0,0,0,0
"289","tehA",0,1,0,0,0,0,0,0,0
"290","thrC",0,1,0,0,0,0,0,0,0
"291","trpB",0,1,0,0,0,0,0,0,0
"292","uspD",0,1,0,0,0,0,0,0,0
"293","xseA",0,1,0,0,0,0,0,0,0
"294","yagU",0,1,0,0,0,0,0,0,0
"295","ybaK",0,1,0,0,0,0,0,0,0
"296","ybfD",0,1,0,0,0,0,0,0,0
"297","ybjC",0,1,0,0,0,0,0,0,0
"298","tatD",0,1,0,0,0,0,0,0,0
"299","tgt",0,1,0,0,0,0,0,0,0
"300","tnaB",0,1,0,0,0,0,0,0,0
"301","tnaC",0,1,0,0,0,0,0,0,0
"302","treB",0,1,0,0,0,0,0,0,0
"303","treC",0,1,0,0,0,0,0,0,0
"304","ubiB",0,1,0,0,0,0,0,0,0
"305","yagE",0,1,0,0,0,0,0,0,0
"306","yajC",0,1,0,0,0,0,0,0,0
"307","ybaL",0,1,0,0,0,0,0,0,0
"308","ybfA",0,1,0,0,0,0,0,0,0
"309","ybjN",0,1,0,0,0,0,0,0,0
"310","ycfP",0,1,0,0,0,0,0,0,0
"311","ydgD",0,1,0,0,0,0,0,0,0
"312","ydiH",0,1,0,0,0,0,0,0,0
"313","yecD",0,1,0,0,0,0,0,0,0
"314","yejG",0,1,0,0,0,0,0,0,0
"315","yfcA",0,1,0,0,0,0,0,0,0
"316","yfcD",0,1,0,0,0,0,0,0,0
"317","yfcE",0,1,0,0,0,0,0,0,0
"318","yfjF",0,1,0,0,0,0,0,0,0
"319","ygbE",0,1,0,0,0,0,0,0,0
