"","V1","FBL","No_FBL","Inhibiting","Activating","Size2","Size3","Size4","Size5","Size6"
"186","mrcA",0,1,0,0,0,0,0,0,0
"187","greA",0,1,0,0,0,0,0,0,0
"188","murA",0,1,0,0,0,0,0,0,0
"189","recG",0,1,0,0,0,0,0,0,0
"190","rplC",0,1,0,0,0,0,0,0,0
"191","parE",0,1,0,0,0,0,0,0,0
"192","rplR",0,1,0,0,0,0,0,0,0
"193","ygiQ",0,1,0,0,0,0,0,0,0
"194","rpsC",0,1,0,0,0,0,0,0,0
"195","fhuB",0,1,0,0,0,0,0,0,0
"196","ybfE",0,1,0,0,0,0,0,0,0
"197","cysM",0,1,0,0,0,0,0,0,0
"198","rluC",0,1,0,0,0,0,0,0,0
"199","proB",0,1,0,0,0,0,0,0,0
"200","mhpB",0,1,0,0,0,0,0,0,0
"201","spoT",0,1,0,0,0,0,0,0,0
"202","rpsB",0,1,0,0,0,0,0,0,0
"203","narG",0,1,0,0,0,0,0,0,0
"204","rpiB",0,1,0,0,0,0,0,0,0
"205","yhdY",0,1,0,0,0,0,0,0,0
"206","ydhL",0,1,0,0,0,0,0,0,0
"207","fecI",0,1,0,0,0,0,0,0,0
"208","purF",0,1,0,0,0,0,0,0,0
"209","znuA",0,1,0,0,0,0,0,0,0
"210","mutY",0,1,0,0,0,0,0,0,0
"211","narH",0,1,0,0,0,0,0,0,0
"212","suhB",0,1,0,0,0,0,0,0,0
"213","hcaE",0,1,0,0,0,0,0,0,0
"214","modA",0,1,0,0,0,0,0,0,0
"215","yfcJ",0,1,0,0,0,0,0,0,0
"216","mreC",0,1,0,0,0,0,0,0,0
"217","lysS",0,1,0,0,0,0,0,0,0
"218","lysA",0,1,0,0,0,0,0,0,0
"219","frmR",0,1,0,0,0,0,0,0,0
"220","mrdA",0,1,0,0,0,0,0,0,0
"221","cysD",0,1,0,0,0,0,0,0,0
"222","fusA",0,1,0,0,0,0,0,0,0
"223","tig",0,1,0,0,0,0,0,0,0
"224","priB",0,1,0,0,0,0,0,0,0
"225","prfC",0,1,0,0,0,0,0,0,0
"226","metF",0,1,0,0,0,0,0,0,0
"227","thrA",0,1,0,0,0,0,0,0,0
"228","yeiR",0,1,0,0,0,0,0,0,0
"229","purB",0,1,0,0,0,0,0,0,0
"230","yeiB",0,1,0,0,0,0,0,0,0
"231","tsf",0,1,0,0,0,0,0,0,0
"232","recQ",0,1,0,0,0,0,0,0,0
"233","kdpA",0,1,0,0,0,0,0,0,0
"234","cobS",0,1,0,0,0,0,0,0,0
"235","yjeT",0,1,0,0,0,0,0,0,0
"236","rpsR",1,0,1,0,1,0,0,0,0
"237","gutM",1,0,0,1,1,0,0,0,0
"238","ydiJ",0,1,0,0,0,0,0,0,0
"239","ycfZ",0,1,0,0,0,0,0,0,0
"240","ynjD",0,1,0,0,0,0,0,0,0
"241","yfhL",0,1,0,0,0,0,0,0,0
"242","narJ",0,1,0,0,0,0,0,0,0
"243","apt",0,1,0,0,0,0,0,0,0
"244","yieH",0,1,0,0,0,0,0,0,0
"245","cysN",0,1,0,0,0,0,0,0,0
"246","yqeB",0,1,0,0,0,0,0,0,0
"247","yehX",0,1,0,0,0,0,0,0,0
"248","rstA",0,1,0,0,0,0,0,0,0
"249","yehY",0,1,0,0,0,0,0,0,0
"250","yccF",0,1,0,0,0,0,0,0,0
"251","cysU",0,1,0,0,0,0,0,0,0
"252","fepE",0,1,0,0,0,0,0,0,0
"253","yeaW",0,1,0,0,0,0,0,0,0
"254","ynfM",0,1,0,0,0,0,0,0,0
"255","yidD",0,1,0,0,0,0,0,0,0
"256","eutG",0,1,0,0,0,0,0,0,0
"257","holD",0,1,0,0,0,0,0,0,0
"258","cysJ",0,1,0,0,0,0,0,0,0
"259","ybgO",0,1,0,0,0,0,0,0,0
"260","abgT",0,1,0,0,0,0,0,0,0
"261","yaiW",0,1,0,0,0,0,0,0,0
"262","abgB",0,1,0,0,0,0,0,0,0
"263","yhfA",0,1,0,0,0,0,0,0,0
"264","abgA",0,1,0,0,0,0,0,0,0
"265","ykgG",0,1,0,0,0,0,0,0,0
"266","ynjE",0,1,0,0,0,0,0,0,0
"267","uraA",0,1,0,0,0,0,0,0,0
"268","ygeV",0,1,0,0,0,0,0,0,0
"269","yadI",0,1,0,0,0,0,0,0,0
"270","mhpR",0,1,0,0,0,0,0,0,0
"271","rbsR",0,1,0,0,0,0,0,0,0
"272","yjfN",0,1,0,0,0,0,0,0,0
"273","dhaK",0,1,0,0,0,0,0,0,0
"274","dhaL",0,1,0,0,0,0,0,0,0
"275","fruA",0,1,0,0,0,0,0,0,0
"276","astA",0,1,0,0,0,0,0,0,0
"277","astC",0,1,0,0,0,0,0,0,0
"278","ybaE",0,1,0,0,0,0,0,0,0
"279","ygfZ",0,1,0,0,0,0,0,0,0
"280","astD",0,1,0,0,0,0,0,0,0
"281","pflD",0,1,0,0,0,0,0,0,0
"282","ybgI",0,1,0,0,0,0,0,0,0
"283","yqeC",0,1,0,0,0,0,0,0,0
"284","sdaA",0,1,0,0,0,0,0,0,0
"285","ybeL",0,1,0,0,0,0,0,0,0
"286","ykgE",0,1,0,0,0,0,0,0,0
"287","tolA",0,1,0,0,0,0,0,0,0
"288","yidF",0,1,0,0,0,0,0,0,0
"289","ybhQ",0,1,0,0,0,0,0,0,0
"290","yihX",0,1,0,0,0,0,0,0,0
"291","yaiZ",0,1,0,0,0,0,0,0,0
"292","yfdY",0,1,0,0,0,0,0,0,0
"293","yieK",0,1,0,0,0,0,0,0,0
"294","fadA",0,1,0,0,0,0,0,0,0
"295","yajO",0,1,0,0,0,0,0,0,0
"296","mltA",0,1,0,0,0,0,0,0,0
"297","yhfZ",0,1,0,0,0,0,0,0,0
"298","yahN",0,1,0,0,0,0,0,0,0
"299","yniA",0,1,0,0,0,0,0,0,0
"300","astB",0,1,0,0,0,0,0,0,0
"301","smpB",0,1,0,0,0,0,0,0,0
"302","rpmG",0,1,0,0,0,0,0,0,0
"303","yfbU",0,1,0,0,0,0,0,0,0
"304","cspI",0,1,0,0,0,0,0,0,0
"305","uspA",0,1,0,0,0,0,0,0,0
"306","bioH",0,1,0,0,0,0,0,0,0
"307","dhaM",0,1,0,0,0,0,0,0,0
"308","ygcN",0,1,0,0,0,0,0,0,0
"309","ydhQ",0,1,0,0,0,0,0,0,0
"310","dacC",0,1,0,0,0,0,0,0,0
"311","hdfR",0,1,0,0,0,0,0,0,0
"312","sfsA",0,1,0,0,0,0,0,0,0
"313","mrr",0,1,0,0,0,0,0,0,0
"314","yqeF",0,1,0,0,0,0,0,0,0
"315","ugpB",0,1,0,0,0,0,0,0,0
"316","yhjV",0,1,0,0,0,0,0,0,0
"317","ynaE",0,1,0,0,0,0,0,0,0
"318","glgX",0,1,0,0,0,0,0,0,0
"319","panF",0,1,0,0,0,0,0,0,0
"320","sseA",0,1,0,0,0,0,0,0,0
"321","sbmA",0,1,0,0,0,0,0,0,0
"322","srmB",0,1,0,0,0,0,0,0,0
"323","hcaD",0,1,0,0,0,0,0,0,0
"324","yecA",0,1,0,0,0,0,0,0,0
"325","chaC",0,1,0,0,0,0,0,0,0
"326","yfaQ",0,1,0,0,0,0,0,0,0
"327","tus",0,1,0,0,0,0,0,0,0
"328","yaeH",0,1,0,0,0,0,0,0,0
"329","rng",0,1,0,0,0,0,0,0,0
"330","malS",0,1,0,0,0,0,0,0,0
"331","yqjE",0,1,0,0,0,0,0,0,0
"332","yccX",0,1,0,0,0,0,0,0,0
"333","degQ",0,1,0,0,0,0,0,0,0
"334","yieL",0,1,0,0,0,0,0,0,0
"335","ypeB",0,1,0,0,0,0,0,0,0
"336","recB",0,1,0,0,0,0,0,0,0
"337","nrfE",0,1,0,0,0,0,0,0,0
"338","rseC",0,1,0,0,0,0,0,0,0
"339","lpxA",0,1,0,0,0,0,0,0,0
"340","tktB",0,1,0,0,0,0,0,0,0
